Àš išvykstù kẽletui mė́nesių į̃ šmė́klų ir̃ vaiduõklių šãlį.	Aš išvykstu keletui mėnesių į šmėklų ir vaiduoklių šalį.	I may be away for several month, dear Ellen, away in a country of ghosts and robbers.	šalį	8	šalis	Ncfsan-	3fem
Šì móteris tùri labaĩ grãžų kãklą.	Ši moteris turi labai gražų kaklą.	Your wife has a beautiful neck.	kaklą	5	kaklas	Ncmsan-	1mascIAS
Bèt àš žinaũ, kàd nãktį jõs síela girdė́jo šaũksmą.	Bet aš žinau, kad naktį jos siela girdėjo šauksmą.	But I know that in that night her soul had heard the call of death.	naktį	5	naktis	Ncfsan-	3fem
Bèt àš žinaũ, kàd nãktį jõs síela girdė́jo šaũksmą.	Bet aš žinau, kad naktį jos siela girdėjo šauksmą.	But I know that in that night her soul had heard the call of death.	šauksmą	9	šauksmas	Ncmsan-	1mascIAS
Vãkar valstiẽčiai àtnešė jį̃ į̃ ligóninę.	Vakar valstiečiai atnešė jį į ligoninę.	The peasants brought him into the hospital yesterday.	ligoninę	5	ligoninė	Ncfsan-	2femĖ
Šią̃ nãktį į̃ jū́rą tùri nueitì paláiminimas.	Šią naktį į jūrą turi nueiti palaiminimas.	The ship must set sail this night.	naktį	1	naktis	Ncfsan-	3fem
Šią̃ nãktį į̃ jū́rą tùri nueitì paláiminimas.	Šią naktį į jūrą turi nueiti palaiminimas.	The ship must set sail this night.	jūrą	3	jūra	Ncfsan-	2femIA
Profèsorius papãsakojo sàvo studeñtams apiẽ mė̃sėdžio áugalo egzistãvimą.	Profesorius papasakojo savo studentams apie mėsėdžio augalo egzistavimą.	At the same time, professor Bulwar explained to his pupils the cruelty of carnivorous plants.	egzistavimą	7	egzistavimas	Ncmsan-	1mascIAS
Lýg kokià epidèmija, taĩ išplìto põ vìsą laĩvą.	Lyg kokia epidemija, tai išplito po visą laivą.	Like an epidemic it spread over the entire ship.	laivą	8	laivas	Ncmsan-	1mascIAS
Jìs stẽbi manè kiekvíeną vãkarą.	Jis stebi mane kiekvieną vakarą.	Look! Every night, in front of me.	vakarą	4	vakaras	Ncmsan-	1mascIAS
Tikriáusiai kàs nórs jàs įkìšo į̃ màno pòrtfelį.	Tikriausiai kas nors jas įkišo į mano portfelį.	Somebody must have put them in my briefcase.	mano	6	portfelis	Ncmsan-	1mascIS
Jéi kàs nórs nóri mán kompãniją palaikýti	Jei kas nors nori man kompaniją palaikyti	Ifsomeone wants to accompany me	man	4	kompanija	Ncfsan-	2femIA
Výrą, tìkrą výrą Mán nusibódo jaunuõliai	Vyrą, tikrą vyrą Man nusibodo jaunuoliai	A man, a real man I'm fed up with the young ones	Vyrą	0	vyras	Ncmsan-	1mascIAS
Výrą, tìkrą výrą Mán nusibódo jaunuõliai	Vyrą, tikrą vyrą Man nusibodo jaunuoliai	A man, a real man I'm fed up with the young ones	vyrą	3	vyras	Ncmsan-	1mascIAS
