Ar̃ nèskamba šìs var̃das kaĩp vidùrnakčio Mirtiẽs šaũksmas?	Ar neskamba šis vardas kaip vidurnakčio Mirties šauksmas?	Does not this name sound like the very midnight call of Death?	vidurnakčio	5	vidurnaktis	Ncmsgn-	1mascIS
Ar̃ nèskamba šìs var̃das kaĩp vidùrnakčio Mirtiẽs šaũksmas?	Ar neskamba šis vardas kaip vidurnakčio Mirties šauksmas?	Does not this name sound like the very midnight call of Death?	Mirties	6	mirtis	Ncfsgn-	3fem
Plaũstas pasiródė įtar̃tinas dė̃l jų̃ plùkdomo kraupaũs króvinio.	Plaustas pasirodė įtartinas dėl jų plukdomo kraupaus krovinio.	The raftsmen little suspected what terrible cargo they carried down the valley.	krovinio	7	krovinys	Ncmsgn-	1mascIS
Sãkė, kàd jìs nukrìto nuõ kálno.	Sakė, kad jis nukrito nuo kalno.	They said he fell from a mountain.	kalno	6	kalnas	Ncmsgn-	1mascIAS
Profèsorius papãsakojo sàvo studeñtams apiẽ mė̃sėdžio áugalo egzistãvimą.	Profesorius papasakojo savo studentams apie mėsėdžio augalo egzistavimą.	At the same time, professor Bulwar explained to his pupils the cruelty of carnivorous plants.	mėsėdžio	5	mėsėdis	Ncmsgn-	1mascIS
Profèsorius papãsakojo sàvo studeñtams apiẽ mė̃sėdžio áugalo egzistãvimą.	Profesorius papasakojo savo studentams apie mėsėdžio augalo egzistavimą.	At the same time, professor Bulwar explained to his pupils the cruelty of carnivorous plants.	augalo	6	augalas	Ncmsgn-	1mascIAS
- Pãnika añt bòrto - Trỹs výrai mìršta	- Panika ant borto - Trys vyrai miršta	- Panic on board - Three men dead already - mate out of his mind	borto	3	bortas	Ncmsgn-	1mascIAS
- Padėjė́jas išprotė́ja - Žiùrkės laĩvo triumè.	- Padėjėjas išprotėja - Žiurkės laivo triume.	- Rats in the hold - I fear the plague...	laivo	5	laivas	Ncmsgn-	1mascIAS
Kõl kàs jì negãli atsispìrti keistam̃ knỹgos žãvesiui.	Kol kas ji negali atsispirti keistam knygos žavesiui.	Yet she was unable to withstand its strange fascination.	keistam	5	knyga	Ncfsgn-	2femIA
Markàs Antònijus nebūtų̃ pasãkęs sàvo kalbõs?	Markas Antonijus nebūtų pasakęs savo kalbos?	Mark Anthony hadn't held his oration?	kalbos	5	kalba	Ncfsgn-	2femIA
Bèt màno pianòlos Niẽkas negaũs paliestì	Bet mano pianolos Niekas negaus paliesti	But as formypianola No one gets to touch it	pianolos	2	pianola	Ncfsgn-	2femIA
Jū̃s vẽdat ìš kẽlio màno mókinius.	Jūs vedat iš kelio mano mokinius.	You are corrupting my students.	kelio	3	kelias	Ncmsgn-	1mascIAS
Mán labaĩ malonù susipažìnti sù víena miẽsto iškilių̃ asmenýbių.	Man labai malonu susipažinti su viena miesto iškilių asmenybių.	I am delighted to meet one of the town's eminent personalities.	miesto	6	miestas	Ncmsgn-	1mascIAS
Àš atėjaũ, nès jū̃s vẽdate ìš kẽlio màno mókinius.	Aš atėjau, nes jūs vedate iš kelio mano mokinius.	I am here because you harbor my students.	kelio	7	kelias	Ncmsgn-	1mascIAS
Ir̃ tù atėjaĩ nė̃ trupùčio dė̃l manę̃s?	Ir tu atėjai nė trupučio dėl manęs?	And you didn't come because of me at all?	trupučio	4	truputis	Ncmsgn-	1mascIS
Tõ jūreĩvio pinigìnė plýšta per̃ siūlès.	To jūreivio piniginė plyšta per siūles.	That's sailor's wallet is bursting.	jūreivio	1	jūreivis	Ncmsgn-	1mascIS
Kaĩp tù drįstì kabinė́tis priẽ šiõs dãmos?	Kaip tu drįsti kabinėtis prie šios damos?	How dare you molest this lady?	damos	6	dama	Ncfsgn-	2femIA
Dė̃l Diẽvo méilės, kàs atsitìko, Profèsoriau?	Dėl Dievo meilės, kas atsitiko, Profesoriau?	For God's sake, what's wrong, Professor?	Dievo	1	dievas	Ncmsgn-	1mascIAS
Dė̃l Diẽvo méilės, kàs atsitìko, Profèsoriau?	Dėl Dievo meilės, kas atsitiko, Profesoriau?	For God's sake, what's wrong, Professor?	meilės	2	meilė	Ncfsgn-	2femĖ
Dúosiu jùms ypatìngų váistų ìš sàvo asmenìnės váistinės.	Duosiu jums ypatingų vaistų iš savo asmeninės vaistinės.	I'll get you some special medicine from my personal pharmacy.	vaistinės	7	vaistinė	Ncfsgn-	2femĖ
Nuõ galvõs ikì kójų pir̃štų àš sutvérta méilei	Nuo galvos iki kojų pirštų aš sutverta meilei	From head to toe l'm programmed forlove	galvos	1	galva	Ncfsgn-	2femIA
Nuõ galvõs ikì kójų pir̃štų àš sutvérta méilei	Nuo galvos iki kojų pirštų aš sutverta meilei	From head to toe l'm programmed forlove	galvos	1	galva	Ncfsgn-	2femIA
Ir̃ ar̃ galiù tuõ pačiù paprašýti jū́sų rañkos?	Ir ar galiu tuo pačiu paprašyti jūsų rankos?	And may I at the same time ask for your hand?	jūsų	6	ranka	Ncfsgn-	2femIA
Tikiúosi, màno vaikè, suprantì šiõs prógos rimtùmą.	Tikiuosi, mano vaike, supranti šios progos rimtumą.	I hope, my child, you realize the seriousness of this occasion.	progos	7	proga	Ncfsgn-	2femIA
Jū̃s taĩp pàt nenùmetėt daũg svõrio.	Jūs taip pat nenumetėt daug svorio.	You haven't lost much weight, either.	daug	4	svoris	Ncmsgn-	1mascIS
Kaĩ tìk àš gẽros núotaikos, tù sténgiesi ją̃ sugadìnti!	Kai tik aš geros nuotaikos, tu stengiesi ją sugadinti!	Every time I'm in a good mood you try to spoil it!	nuotaikos	4	nuotaika	Ncfsgn-	2femIA
Põnai ir̃ põnios, prašaũ atleistì ùž vėlãvimą...	Ponai ir ponios, prašau atleisti už vėlavimą...	Ladies and gentlemen, I apologize for the delay...	ponios	2	ponia	Ncfsgn-	2femIA
Põnai ir̃ põnios, léiskite jùms pristatýti...	Ponai ir ponios, leiskite jums pristatyti...	Ladies and gentlemen, allow me to introduce to you...	ponios	2	ponia	Ncfsgn-	2femIA
Ìš Augùsto nósies àš dabar̃ ištráuksiu kelìs kiaušiniùs.	Iš Augusto nosies aš dabar ištrauksiu kelis kiaušinius.	From under August's nose, I will now conjure up some eggs.	Augusto	1	Augustas	Npmsgnf	1mascIAS
Ìš Augùsto nósies àš dabar̃ ištráuksiu kelìs kiaušiniùs.	Iš Augusto nosies aš dabar ištrauksiu kelis kiaušinius.	From under August's nose, I will now conjure up some eggs.	nosies	2	nosis	Ncfsgn-	3fem
Jū̃s mãnote, kàd Augùstas tùri kiaušiniùs añt galvõs.	Jūs manote, kad Augustas turi kiaušinius ant galvos.	You all think August has the eggs under his head.	galvos	8	galva	Ncfsgn-	2femIA
Nuõ galvõs ikì kójų pir̃štų àš sutvérta méilei	Nuo galvos iki kojų pirštų aš sutverta meilei	From head to toe l'm programmed forlove	galvos	1	galva	Ncfsgn-	2femIA
Nuõ galvõs ikì kójų pir̃štų àš sutvérta méilei	Nuo galvos iki kojų pirštų aš sutverta meilei	From head to toe l'm programmed forlove	galvos	1	galva	Ncfsgn-	2femIA
- Tùrime pasiektì smùklę ikì saulė́lydžio.	- Turime pasiekti smuklę iki saulėlydžio.	- We must reach the inn before sundown.	saulėlydžio	5	saulėlydis	Ncmsgn-	1mascIS
Atléiskite, bèt manè pasitiñka karietà vidùrnaktį Bòrgo pérėjoje.	Atleiskite, bet mane pasitinka karieta vidurnaktį Borgo perėjoje.	Well, I'm sorry, but there's a carriage meeting me at Borgo Pass at midnight.	Borgo	7	Borgas	Npmsgns	1mascIAS
Paáiškinau vežìkui, kàd taĩ – ver̃slo reĩkalas.	Paaiškinau vežikui, kad tai – verslo reikalas.	I've explained to the driver that it's a matter of business with me.	verslo	6	verslas	Ncmsgn-	1mascIAS
Jéi privãlote važiúoti, dėvė́kite jį̃ vardañ sàvo mótinos.	Jei privalote važiuoti, dėvėkite jį vardan savo motinos.	If you must go, wear this, for your mother's sake.	motinos	8	motina	Ncfsgn-	2femIA
Esù tikràs, šì piliẽs dalìs jùms pasiródys svetingèsnė.	Esu tikras, ši pilies dalis jums pasirodys svetingesnė.	I'm sure you will find this part of my castle more inviting.	pilies	4	pilis	Ncfsgn-	3fem
Nè žmõgiškų, bèt menkų̃, tùrinčių kraũjo.	Ne žmogiškų, bet menkų, turinčių kraujo.	Not human lives, but small ones... with blood in them.	kraujo	7	kraujas	Ncmsgn-	1mascIAS
Jì mán prìmena apgriùvusias dantýtas màno piliẽs Transilvãnijoje síenas.	Ji man primena apgriuvusias dantytas mano pilies Transilvanijoje sienas.	It reminds me of the broken battlements... of my own castle in Transylvania.	pilies	6	pilis	Ncfsgn-	3fem
Ỹra daũg baisesnių̃ dalỹkų, láukiančių žmogaũs, neĩ mirtìs.	Yra daug baisesnių dalykų, laukiančių žmogaus, nei mirtis.	There are far worse things... awaiting man... than death.	žmogaus	6	žmogus	Ncmsgn-	exception
Jì mán prìmena apgriùvusias dantýtas màno piliẽs Transilvãnijoje síenas.	Ji man primena apgriuvusias dantytas mano pilies Transilvanijoje sienas.	It reminds me... of the broken battlements... of my own castle in Transylvania.	pilies	6	pilis	Ncfsgn-	3fem
Nenatūralùs kraũjo netekìmas, kuriõ nepàjėgėme sulaikýti.	Nenatūralus kraujo netekimas, kurio nepajėgėme sulaikyti.	An unnatural loss of blood... which we've been powerless to check.	kraujo	1	kraujas	Ncmsgn-	1mascIAS
Bèt sãkote, kàd jìs pabė́ga ìš sàvo kam̃bario.	Bet sakote, kad jis pabėga iš savo kambario.	But you tell me that he escapes from his room.	kambario	8	kambarys	Ncmsgn-	1mascIS
Bèt nemanaũ, kàd taĩp artì nuõ Lòndono ỹra vilkų̃.	Bet nemanau, kad taip arti nuo Londono yra vilkų.	But I hardly think there are wolves so near London.	Londono	7	Londonas	Npmsgng	1mascIAS
Galė́jau matýti tìk lémpą priẽ lóvos, kibirkštė̃lę rūkè.	Galėjau matyti tik lempą prie lovos, kibirkštėlę rūke.	I could just see the lamp by the bed, a tiny spark in the fog.	lovos	5	lova	Ncfsgn-	2femIA
Žymùs mókslininkas, kuriõ var̃dą žìnome nètgi Transilvãnijos týruose.	Žymus mokslininkas, kurio vardą žinome netgi Transilvanijos tyruose.	A most distinguished scientist whose name we know... even in the wilds of Transylvania.	Transilvanijos	7	Transilvanija	Npfsgng	2femIA
Jìs tùri gautì kraũjo, arbà žùs.	Jis turi gauti kraujo, arba žus.	It must have blood or it dies.	kraujo	3	kraujas	Ncmsgn-	1mascIAS
Jìs tùri gãlią tìk nuõ saulė́lydžio ikì saulė́tekio.	Jis turi galią tik nuo saulėlydžio iki saulėtekio.	Its power lasts only from sunset to sunrise.	saulėlydžio	5	saulėlydis	Ncmsgn-	1mascIS
Jìs tùri gãlią tìk nuõ saulė́lydžio ikì saulė́tekio.	Jis turi galią tik nuo saulėlydžio iki saulėtekio.	Its power lasts only from sunset to sunrise.	saulėtekio	7	saulėtekis	Ncmsgn-	1mascIS
Dienõs valandomìs jìs tùri ilsė́tis žẽmėje, kuriojè bùvo paláidotas.	Dienos valandomis jis turi ilsėtis žemėje, kurioje buvo palaidotas.	During the hours of the day, it must rest in the earth in which it was buried.	Dienos	0	diena	Ncfsgn-	2femIA
Jìs turė́jo atsivèžti gim̃tojo dirvóžemio, pìlnas dėžès.	Jis turėjo atsivežti gimtojo dirvožemio, pilnas dėžes.	Then he must have brought his native soil with him, boxes of it.	dirvožemio	4	dirvožemis	Ncmsgn-	1mascIS
Dėžès žẽmės, pakañkamai dìdeles, kàd galė́tų josè ilsė́tis.	Dėžes žemės, pakankamai dideles, kad galėtų jose ilsėtis.	Boxes of earth large enough for him to rest in.	žemės	1	žemė	Ncfsgn-	2femĖ
Tadà jõs véido ìšraiška tãpo siaubìnga.	Tada jos veido išraiška tapo siaubinga.	The most horrible expression came over her face.	veido	2	veidas	Ncmsgn-	1mascIAS
Tuõj diñgs paskutìniai sáulės spinduliaĩ, mùs vė̃l apgaũbs naktìs.	Tuoj dings paskutiniai saulės spinduliai, mus vėl apgaubs naktis.	The last rays of the day's sun will soon be gone, and another night will be upon us.	saulės	3	saulė	Ncfsgn-	2femĖ
Ràsiu tàvo žẽmės dė̃žę ir̃ mietù pérkalsiu tàvo šìrdį.	Rasiu tavo žemės dėžę ir mietu perkalsiu tavo širdį.	I will find your earth box and drive that stake through your heart.	žemės	2	žemė	Ncfsgn-	2femĖ
- Rẽgi, kaĩp geraĩ matýti žvaigždė̃s?	- Regi, kaip gerai matyti žvaigždės?	- See how plain you can see the stars?	žvaigždės	6	žvaigždė	Ncfsgn-	2femĖ
Gyvéndama jì tàps nelabù naktiẽs pãdaru kaĩp jìs.	Gyvendama ji taps nelabu nakties padaru kaip jis.	In life she will now become the foul thing of the night that he is.	nakties	4	naktis	Ncfsgn-	3fem
Bèt tìk vãkar sãkei, kàd bijaĩ naktiẽs.	Bet tik vakar sakei, kad bijai nakties.	But only yesterday you said you were afraid of the night.	nakties	7	naktis	Ncfsgn-	3fem
Brangùsis, nebū́čiau galė́jusi pasakýti tókio kvaĩlo dalỹko.	Brangusis, nebūčiau galėjusi pasakyti tokio kvailo dalyko.	But, darling, I could never have said anything so silly.	dalyko	7	dalykas	Ncmsgn-	1mascIAS
Negaliù mirtì sù tíek gyvýbių añt sàvo są́žinės!	Negaliu mirti su tiek gyvybių ant savo sąžinės!	I can't die with all those lives on my conscience!	sąžinės	7	sąžinė	Ncfsgn-	2femĖ
Girdė́jau, kàd šaukeĩ, bèt negalė́jau nė̃ žõdžio pratartì.	Girdėjau, kad šaukei, bet negalėjau nė žodžio pratarti.	I heard you calling, but I couldn't say anything.	žodžio	8	žodis	Ncmsgn-	1mascIS
Jéi tìk bū́tum mãtęs jõ véido ìšraišką.	Jei tik būtum matęs jo veido išraišką.	Oh, if you could have seen the look on his face.	veido	5	veidas	Ncmsgn-	1mascIAS
Kalbõs apiẽ kãrą sugadìna visùs pókylius.	Kalbos apie karą sugadina visus pokylius.	This war talk's spoiling all the fun at every party.	Kalbos	0	kalba	Ncfsgn-	2femIA
Kur̃ éini bè skarõs? Jaũ vėlù.	Kur eini be skaros? Jau vėlu.	Where are you going without your shawl and the night air coming?	skaros	3	skara	Ncfsgn-	2femIA
Negãli ródyti krūtìnės priẽš trẽčią vãlandą!	Negali rodyti krūtinės prieš trečią valandą!	You can't show your bosom before 3:00!	krūtinės	2	krūtinė	Ncfsgn-	2femĖ
Jéi ką̃ nórs pasakýsi mãmai, neválgysiu neĩ kąsnẽlio.	Jei ką nors pasakysi mamai, nevalgysiu nei kąsnelio.	If you say one word to mother, I won't eat a bite.	nei	7	kąsnelis	Ncmsgn-	1mascIS
Tikiúosi, kàd pasilìksiu ilgám, ir̃ mẽs tàpsime tìkros draũgės.	Tikiuosi, kad pasiliksiu ilgam, ir mes tapsime tikros draugės.	I hope I shall stay long enough for us to become real friends.	draugės	10	draugė	Ncfsgn-	2femĖ
Priẽ stãlo mergìnai patarnáuja tìk ìš dviejų̃ pùsių.	Prie stalo merginai patarnauja tik iš dviejų pusių.	A girl hasn't got but two sides to her at a table.	stalo	1	stalas	Ncmsgn-	1mascIAS
Pasisèks, jéi nepraràsi tõ Kènedžio sù žandenomìs.	Pasiseks, jei neprarasi to Kenedžio su žandenomis.	You'll be lucky you don't lose whisker-face Kennedy.	Kenedžio	5	Kenedis	Npmsgns	1mascIS
