Sulìg príeblanda ir̃ grėsmìngais šešė́liais tùščia pilìs vė̃l atgìjo.	Sulig prieblanda ir grėsmingais šešėliais tuščia pilis vėl atgijo.	With twilight the empty castle came alive again with menacing shadows.	šešėliais	4	šešėlis	Ncmpin-	1mascIS
Atstók nuõ manę̃s sù sàvo ángliškom nesą́monėm!	Atstok nuo manęs su savo angliškom nesąmonėm!	Leave me alone with that English nonsense!	nesąmonėm	6	nesąmonė	Ncfpin-	2femĖ
Atstókit nuõ manę̃s sù tõm nesą́monėm.	Atstokit nuo manęs su tom nesąmonėm.	Leave me alone with that nonsense.	nesąmonėm	5	nesąmonė	Ncfpin-	2femĖ
Dienõs valandomìs jìs tùri ilsė́tis žẽmėje, kuriojè bùvo paláidotas.	Dienos valandomis jis turi ilsėtis žemėje, kurioje buvo palaidotas.	During the hours of the day, it must rest in the earth in which it was buried.	valandomis	1	valanda	Ncfpin-	2femIA
Màno kraũjas dabar̃ tẽka jõs gýslomis.	Mano kraujas dabar teka jos gyslomis.	My blood now flows through her veins.	gyslomis	5	gysla	Ncfpin-	2femIA
Bùs lengviaũ pérkalti miẽtais jų̃ šìrdis.	Bus lengviau perkalti mietais jų širdis.	It will help me drive the stake through their hearts.	mietais	3	mietas	Ncmpin-	1mascIAS
Neflirtúok sù kitomìs mergìnomis, nès àš pavydė́siu.	Neflirtuok su kitomis merginomis, nes aš pavydėsiu.	Don't go philandering with any other girl, because I'm mighty jealous.	merginomis	3	mergina	Ncfpin-	2femIA
Lýg negalė́čiau rastì gerèsnio neĩ tàs sénbernis sù žandenomìs.	Lyg negalėčiau rasti geresnio nei tas senbernis su žandenomis.	As if I couldn't do better than that old maid in britches.	žandenomis	8	žandena	Ncfpin-	2femIA
Pasisèks, jéi nepraràsi tõ Kènedžio sù žandenomìs.	Pasiseks, jei neprarasi to Kenedžio su žandenomis.	You'll be lucky you don't lose whisker-face Kennedy.	žandenomis	7	žandena	Ncfpin-	2femIA
Àš manaũ, kàd karà sunkù laimė́ti žõdžiais.	Aš manau, kad kara sunku laimėti žodžiais.	I think it's hard winning a war with words.	žodžiais	7	žodis	Ncmpin-	1mascIS
Ar̃ negãlim pamirštì, kàd kadà taĩ sãkėm?	Ar negalim pamiršti, kad kada tai sakėm?	Can't we go away and forget we ever said these things?	sakėm	7	sakė	Ncfpin-	2femĖ
Výrai flirtúoja sù tokiomìs mergìnomis, bèt nèveda jų̃.	Vyrai flirtuoja su tokiomis merginomis, bet neveda jų.	Men flirt with girls like that, but they don't marry them.	merginomis	4	mergina	Ncfpin-	2femIA
Jìs vẽda manè tiesõs keliaĩs jõ vardañ.	Jis veda mane tiesos keliais jo vardan.	He leadeth me in the paths of righteousness for His name's sake.	keliais	4	kelias	Ncmpin-	1mascIAS
Mán pasãkė, kàd jìs garažè sù sužeistaĩs kareĩviais...	Man pasakė, kad jis garaže su sužeistais kareiviais...	A man told me that the doctor's down at the car shed... with the wounded soldiers...	kareiviais	8	kareivis	Ncmpin-	1mascIS
Savanaũdžiai ir̃ gùdrūs, bèt gãlime vadìnti dalykùs tikraĩs vardaĩs.	Savanaudžiai ir gudrūs, bet galime vadinti dalykus tikrais vardais.	Selfish and shrewd, but able to look things in the eye and call them by name.	vardais	9	vardas	Ncmpin-	1mascIAS
Negaliù rū́pintis ir̃ kū̃dikiu, ir̃ ligóniais!	Negaliu rūpintis ir kūdikiu, ir ligoniais!	I can't take care of that baby and sick folkses too!	ligoniais	6	ligonis	Nccpin-	
Sù pavaldiniaĩs tùri būtì tvìrta, bèt švelnì.	Su pavaldiniais turi būti tvirta, bet švelni.	You must be firm with inferiors, but gentle with them.	pavaldiniais	1	pavaldinys	Ncmpin-	1mascIS
Jéi bū́čiau sù pantalònais, panaudóčiau juõs.	Jei būčiau su pantalonais, panaudočiau juos.	If I had on pantalets, I'd use them.	pantalonais	3	pantalonai	Ncmpin-	1mascIAS
Kàs pasidãro sù žmonėmìs, kaĩ jų̃ civilizãcija žluñga?	Kas pasidaro su žmonėmis, kai jų civilizacija žlunga?	What becomes of people when their civilization breaks up?	žmonėmis	3	žmogus	Ncmpin-	exception
Atnèšk mamõs dė̃žę sù suknẽlių ìškarpomis.	Atnešk mamos dėžę su suknelių iškarpomis.	Go and get Ma's old box of dress patterns.	iškarpomis	5	iškarpa	Ncfpin-	2femIA
Ar̃ pažį́sti móterį sù dažýtais plaukaĩs?	Ar pažįsti moterį su dažytais plaukais?	You know a dyed-haired woman?	plaukais	5	plaukas	Ncmpin-	1mascIAS
Susidraugáusiu sù avantiūrìstais ir̃ susidorósiu sù jaĩs jų̃ príemonėmis.	Susidraugausiu su avantiūristais ir susidorosiu su jais jų priemonėmis.	I'll befriend Carpetbaggers and beat them at their own game.	avantiūristais	2	avantiūristas	Ncmpin-	1mascIAS
Susidraugáusiu sù avantiūrìstais ir̃ susidorósiu sù jaĩs jų̃ príemonėmis.	Susidraugausiu su avantiūristais ir susidorosiu su jais jų priemonėmis.	I'll befriend Carpetbaggers and beat them at their own game.	priemonėmis	8	priemonė	Ncfpin-	2femĖ
Padarýsiu vìską, ką̃ galiù - nèt ir̃ sù jánkiais.	Padarysiu viską, ką galiu - net ir su jankiais.	I intend to make the best of things, even if they are Yankee things.	su	8	jankis	Ncmpin-	1mascIS
Pasakýk, ar̃ nesudžiū́sti nuõ vedýbų sù výrais, kurių̃ nemýli?	Pasakyk, ar nesudžiūsti nuo vedybų su vyrais, kurių nemyli?	Tell me, do you never shrink from marrying men you don't love?	vyrais	7	vyras	Ncmpin-	1mascIAS
Tõs põnios nebekalbė̃s sù sàvo výrais.	Tos ponios nebekalbės su savo vyrais.	These ladies won't be speaking with their husbands.	vyrais	5	vyras	Ncmpin-	1mascIAS
Bèt mẽs palaikýsim ryšiùs sù visomìs tomìs móterimis...	Bet mes palaikysim ryšius su visomis tomis moterimis...	But as it is, we're going to cultivate every female dragon of the Old Guard...	moterimis	7	moteris	Ncfpin-	3fem
Õ nè klaidìnti manè sàvo kalbomìs apiẽ gar̃bę.	O ne klaidinti mane savo kalbomis apie garbę.	And not left me dangling with your talk of honor.	kalbomis	5	kalba	Ncfpin-	2femIA
Panelè, jìs niekadà nègeria sù klieñtais.	Panele, jis niekada negeria su klientais.	Madame, he never drinks with customers.	klientais	6	klientas	Ncmpin-	1mascIAS
Jū̃s čià atvỹkote ìš Parỹžiaus okupãcijos mẽtais?	Jūs čia atvykote iš Paryžiaus okupacijos metais?	I understand you came here from Paris during the occupation.	metais	6	metai	Ncmpin-	1mascIAS
Jū́sų výrai àpvertė aukštỹn kójom šią̃ viẽtą.	Jūsų vyrai apvertė aukštyn kojom šią vietą.	That's some going-over your men gave my place.	kojom	4	koja	Ncfpin-	2femIA
Nórs ir̃ skirtìngais bū̃dais, bèt síekėte tõ pãčio tìkslo.	Nors ir skirtingais būdais, bet siekėte to pačio tikslo.	In your way you were fighting for the same thing.	skirtingais	2	būdas	Ncmpin-	1mascIAS
Dvíem keleĩviams sù tranzìtiniais laiškaĩs léidžiama skristì Į̃ Lisabòną.	Dviem keleiviams su tranzitiniais laiškais leidžiama skristi Į Lisaboną.	There'll be two letters of transit for Lisbon. There's to be no trouble about them.	laiškais	4	laiškas	Ncmpin-	1mascIAS
Jùs maitìna rỹžiais, õ pãtys válgo šiẽną.	Jus maitina ryžiais, o patys valgo šieną.	They're feeding you on rice, and living on millet	ryžiais	2	ryžis	Ncmpin-	1mascIS
Mãtai, greĩtai prasidė̃s kovà sù plėšìkais.	Matai, greitai prasidės kova su plėšikais.	Outrageous! Forgive me. You see, a war is about to start with a band of bandits	plėšikais	6	plėšikas	Ncmpin-	1mascIAS
Bèt mačiaũ jõ vyriškùmą sàvo akimìs.	Bet mačiau jo vyriškumą savo akimis.	A lost fish looks big But, I saw his prowess with my own eyes	akimis	5	akis	Ncfpin-	3fem
Geraĩ pasilìnksminkite sù sàvo žmonomìs nãktį.	Gerai pasilinksminkite su savo žmonomis naktį.	Listen, men! Love your wives plenty tonight	žmonomis	4	žmona	Ncfpin-	2femIA
Padė́siu táu ir̃ tàpsime geraĩs bičiùliais, ar̃ nè?	Padėsiu tau ir tapsime gerais bičiuliais, ar ne?	Give me your sickle! I'll cut a lot for you	bičiuliais	5	bičiulis	Ncmpin-	1mascIS
Dejà, visì tùrime vyktì skirtìngais keliaĩs.	Deja, visi turime vykti skirtingais keliais.	Unfortunately, we all have to make journeys to different destinations.	keliais	6	kelias	Ncmpin-	1mascIAS
Tùri būtì sù manimì, sàvo vaikaĩs ir̃ sàvo bróliu.	Turi būti su manimi, savo vaikais ir savo broliu.	Your place is with me and your children and your brother.	vaikais	6	vaikas	Ncmpin-	1mascIAS
Tàvo viẽtoje sù pinigaĩs el̃gčiausi atsargiaũ.	Tavo vietoje su pinigais elgčiausi atsargiau.	If I were you, I'd be more careful with my money.	pinigais	3	pinigas	Ncmpin-	1mascIAS
Mẽs sù mergáitėmis Aleksèjų Tolstòjų mãtėme.	Mes su mergaitėmis Aleksejų Tolstojų matėme.	We once saw Alexei Tolstoy.	mergaitėmis	2	mergaitė	Ncfpin-	2femĖ
