Sulìg príeblanda ir̃ grėsmìngais šešė́liais tùščia pilìs vė̃l atgìjo.	Sulig prieblanda ir grėsmingais šešėliais tuščia pilis vėl atgijo.	With twilight the empty castle came alive again with menacing shadows.	prieblanda	1	prieblanda	Ncfsin-	2femIA
Sù kókiu tipù tù čià dabar̃ šlaistaĩsi?	Su kokiu tipu tu čia dabar šlaistaisi?	What fruit are you hanging out with now?	tipu	2	tipas	Ncmsin-	1mascIAS
Šįvãkar jū̃s čià nè oficialiù reĩkalu, manýčiau.	Šįvakar jūs čia ne oficialiu reikalu, manyčiau.	Tonight you're not here in official capacity, I assume.	reikalu	5	reikalas	Ncmsin-	1mascIAS
Bèt tàvo výras tàps dìdele žvaigždè!	Bet tavo vyras taps didele žvaigžde!	But your husband has become a big shot!	žvaigžde	5	žvaigždė	Ncfsin-	2femĖ
Pažiūrė́k į̃ kontrãktą, kurį̃ patvìrtinau telegrafù.	Pažiūrėk į kontraktą, kurį patvirtinau telegrafu.	Look at the contract, sealed via telegraph.	telegrafu	6	telegrafas	Ncmsin-	1mascIAS
Paliẽka sàvo karstùs nãktį ir̃ miñta gyvų̃jų kraujù.	Palieka savo karstus naktį ir minta gyvųjų krauju.	They leave their coffins at night... and they feed on the blood of the living.	krauju	7	kraujas	Ncmsin-	1mascIAS
Šeimininkè, jùk ištesė́site sàvo pãžadą, kaĩ nusigáusime į̃ Lòndoną?	Šeimininke, juk ištesėsite savo pažadą, kai nusigausime į Londoną?	You will keep your promise when we get to London, won't you, Master?	Šeimininke	0	šeimininkė	Ncfsin-	2femĖ
Jìs paliẽka dvì žaizdelès, báltas, raudónu vìduriu.	Jis palieka dvi žaizdeles, baltas, raudonu viduriu.	It leaves two little wounds, white with red centers.	viduriu	8	vidurys	Ncmsin-	1mascIS
Õ jū̃s, mìs Minà, atródote ýpač...	O jūs, mis Mina, atrodote ypač...	And you, Miss Mina. You're looking exceptionally...	Mina	4	mina	Ncfsin-	2femIA
Mir̃site kančiosè, jéi jū́sų síela bùs sùtepta nekaltù kraujù.	Mirsite kančiose, jei jūsų siela bus sutepta nekaltu krauju.	You will die in torment if you die with innocent blood on your soul.	krauju	9	kraujas	Ncmsin-	1mascIAS
- Jókiu būdù šią̃nakt negãlima atidarýti šių̃ langų̃.	- Jokiu būdu šiąnakt negalima atidaryti šių langų.	- And under no circumstances... must these windows be opened tonight.	būdu	2	būdas	Ncmsin-	1mascIAS
Jìs atė̃jo ir̃ sustójo põ màno lángu mėnesíenoje.	Jis atėjo ir sustojo po mano langu mėnesienoje.	He came and stood below my window in the moonlight.	langu	6	langas	Ncmsin-	1mascIAS
Ràsiu tàvo žẽmės dė̃žę ir̃ mietù pérkalsiu tàvo šìrdį.	Rasiu tavo žemės dėžę ir mietu perkalsiu tavo širdį.	I will find your earth box and drive that stake through your heart.	mietu	5	mietas	Ncmsin-	1mascIAS
Mìs Minà bùvo atsikė́lusi, apsireñgusi ir̃ išė̃jusi į̃ terãsą.	Mis Mina buvo atsikėlusi, apsirengusi ir išėjusi į terasą.	Miss Mina was up and dressed and out on the terrace.	Mina	1	mina	Ncfsin-	2femIA
Gyvéndama jì tàps nelabù naktiẽs pãdaru kaĩp jìs.	Gyvendama ji taps nelabu nakties padaru kaip jis.	In life she will now become the foul thing of the night that he is.	padaru	5	padaras	Ncmsin-	1mascIAS
Visái nenorė́jau vilkė́ti tàvo negražià suknelè!	Visai nenorėjau vilkėti tavo negražia suknele!	I didn't want your tacky dress anyhow!	suknele	5	suknelė	Ncfsin-	2femĖ
Tvar̃ko są́skaitas sù prižiūrė́toju, bèt jì ateĩs vėliaũ.	Tvarko sąskaitas su prižiūrėtoju, bet ji ateis vėliau.	She's settling accounts with the overseer, but she'll be along tonight.	prižiūrėtoju	3	prižiūrėtojas	Ncmsin-	1mascIAS
Kadà galiù pakalbė́ti sù jū́sų tė́vu?	Kada galiu pakalbėti su jūsų tėvu?	- When may I speak to your father?	tėvu	5	tėvas	Ncmsin-	1mascIAS
Bùs sunkù mylė́ti výrą sù žmóna ir̃ vaikù.	Bus sunku mylėti vyrą su žmona ir vaiku.	It'll be hard loving a man with a wife and baby clinging to him.	žmona	5	žmona	Ncfsin-	2femIA
Bùs sunkù mylė́ti výrą sù žmóna ir̃ vaikù.	Bus sunku mylėti vyrą su žmona ir vaiku.	It'll be hard loving a man with a wife and baby clinging to him.	vaiku	7	vaikas	Ncmsin-	1mascIAS
Nóri, kàd jì trankýtųsi keliù ir̃ pagimdýtų per̃ ankstì?	Nori, kad ji trankytųsi keliu ir pagimdytų per anksti?	Want her to be jounced over rough roads and have the baby ahead of time?	keliu	5	kelias	Ncmsin-	1mascIAS
Dėdè Pèteri, mán reĩkia kvapniõsios drùskos!	Dėde Peteri, man reikia kvapniosios druskos!	Uncle Peter, my smelling salt!	Dėde	0	dėdė	Ncmsin-	
Tą̃, sù unifòrma, kurì atródė kaĩp móteriškos kélnės?	Tą, su uniforma, kuri atrodė kaip moteriškos kelnės?	The one with the uniform like ladies' red flannels?	uniforma	3	uniforma	Ncfsin-	2femIA
Prašaũ, atvažiúokit sù sàvo vežimù pàs mùs!	Prašau, atvažiuokit su savo vežimu pas mus!	Please come and bring your carriage for us right away!	vežimu	5	vežimas	Ncmsin-	1mascIAS
Nóri keliáuti teñ sù ser̃gančia móterimi, kū̃dikiu ir̃ negriukè?	Nori keliauti ten su sergančia moterimi, kūdikiu ir negriuke?	You're going to parade through there with a sick woman, a baby and a darkie?	moterimi	5	moteris	Ncfsin-	3fem
Nóri keliáuti teñ sù ser̃gančia móterimi, kū̃dikiu ir̃ negriukè?	Nori keliauti ten su sergančia moterimi, kūdikiu ir negriuke?	You're going to parade through there with a sick woman, a baby and a darkie?	kūdikiu	7	kūdikis	Nccsin-	
Nóri prisimiñti tàvo bùčinius mū̃šio metù.	Nori prisiminti tavo bučinius mūšio metu.	Wants to carry the memory of your kisses into battle.	metu	5	metas	Ncmsin-	1mascIAS
Prirìšk ją̃ priẽ vežìmo sàvo sijonù.	Pririšk ją prie vežimo savo sijonu.	Tie her onto the back of the wagon with your petticoat.	sijonu	5	sijonas	Ncmsin-	1mascIAS
Paguldžiaũ į̃ lóvą, kartù sù kū̃dikiu.	Paguldžiau į lovą, kartu su kūdikiu.	I done slapped her in bed, along with the baby.	kūdikiu	6	kūdikis	Nccsin-	
Negaliù rū́pintis ir̃ kū̃dikiu, ir̃ ligóniais!	Negaliu rūpintis ir kūdikiu, ir ligoniais!	I can't take care of that baby and sick folkses too!	kūdikiu	3	kūdikis	Nccsin-	
Triñkitės tuõ muilù, kõl àš jū́sų nepradė́jau trintì.	Trinkitės tuo muilu, kol aš jūsų nepradėjau trinti.	Scrub yourself with that lye soap, 'fore I scrub you myself.	muilu	2	muilas	Ncmsin-	1mascIAS
Jū̃s negãlite taĩp kalbė́ti sù màno žmóna.	Jūs negalite taip kalbėti su mano žmona.	You can't speak that way to my wife.	žmona	6	žmona	Ncfsin-	2femIA
Àš vỹksiu sù tavimì ir̃ tà naũja suknelè.	Aš vyksiu su tavimi ir ta nauja suknele.	I's going with you and that new dress.	suknele	7	suknelė	Ncfsin-	2femĖ
Jiẽ màno, kàd pabė́gau sù Konfederãcijos iždù.	Jie mano, kad pabėgau su Konfederacijos iždu.	They think I made off with the Confederate treasury.	iždu	7	iždas	Ncmsin-	1mascIAS
Jái nusibódo lauktì, jì bijójo liktì sénmerge, ir̃...	Jai nusibodo laukti, ji bijojo likti senmerge, ir...	She got tired of waiting, was afraid she'd be an old maid and...	senmerge	7	senmergė	Ncfsin-	2femĖ
Jì eĩtų gatvè núoga, jéi taĩ ką̃ nórs sudõmintų.	Ji eitų gatve nuoga, jei tai ką nors sudomintų.	If she thought anybody'd notice, she'd walk the street naked.	gatve	2	gatvė	Ncfsin-	2femĖ
Tù vìsiškai neišáuklėtas výras, atėjaĩ tókiu metù...	Tu visiškai neišauklėtas vyras, atėjai tokiu metu...	You really are the most ill-bred man to come here at a time...	metu	7	metas	Ncmsin-	1mascIAS
Jausmù, kurìs ỹra gražèsnis, tyrèsnis ir̃ šventèsnis...	Jausmu, kuris yra gražesnis, tyresnis ir šventesnis...	A feeling more beautiful, more pure, more sacred...	Jausmu	0	jausmas	Ncmsin-	1mascIAS
Taĩ garbìngas pasiū́lymas padarýtas, màno mãnymu, gerù momentù.	Tai garbingas pasiūlymas padarytas, mano manymu, geru momentu.	This is an honorable proposal of marriage... made at what I consider a most opportune moment.	manymu	6	manymas	Ncmsin-	1mascIAS
Taĩ garbìngas pasiū́lymas padarýtas, màno mãnymu, gerù momentù.	Tai garbingas pasiūlymas padarytas, mano manymu, geru momentu.	This is an honorable proposal of marriage... made at what I consider a most opportune moment.	momentu	9	momentas	Ncmsin-	1mascIAS
Padarýk jà puikià plantãcija, kokià jì anksčiaũ bùvo.	Padaryk ja puikia plantacija, kokia ji anksčiau buvo.	Make it as fine a plantation as it ever was.	plantacija	3	plantacija	Ncfsin-	2femIA
Patèpkit chininù ir̃ jì greĩtai liaũsis čiul̃pusi.	Patepkit chininu ir ji greitai liausis čiulpusi.	Put quinine on her thumb and she'll stop sucking it quick enough.	chininu	1	chininas	Ncmsin-	1mascIAS
Žinaĩ, kàd visadà žavė́jausi tàvo charãkteriu, brangióji.	Žinai, kad visada žavėjausi tavo charakteriu, brangioji.	You know, I've always admired your spirit, my dear.	charakteriu	6	charakteris	Ncmsin-	1mascIS
Manaũ, kàd jų̃ šiuõ metù neturiù.	Manau, kad jų šiuo metu neturiu.	I don't have them on me.	metu	5	metas	Ncmsin-	1mascIAS
Tókiu ãtveju, tùrite vyktì sù mumìs.	Tokiu atveju, turite vykti su mumis.	In that case, you'll have to come along.	atveju	1	atvejis	Ncmsin-	1mascIS
Panelè, jìs niekadà nègeria sù klieñtais.	Panele, jis niekada negeria su klientais.	Madame, he never drinks with customers.	Panele	0	panelė	Ncfsin-	2femĖ
Õ dabar̃ léiskite pasidalìnti sėkmè sù ruletè.	O dabar leiskite pasidalinti sėkme su rulete.	I'll share my good luck with your roulette wheel.	sėkme	4	sėkmė	Ncfsin-	2femĖ
Õ dabar̃ léiskite pasidalìnti sėkmè sù ruletè.	O dabar leiskite pasidalinti sėkme su rulete.	I'll share my good luck with your roulette wheel.	rulete	6	ruletė	Ncfsin-	2femĖ
