Ar̃ nèskamba šìs var̃das kaĩp vidùrnakčio Mirtiẽs šaũksmas?	Ar neskamba šis vardas kaip vidurnakčio Mirties šauksmas?	Does not this name sound like the very midnight call of Death?	vardas	3	vardas	Ncmsnn-	1mascIAS
Ar̃ nèskamba šìs var̃das kaĩp vidùrnakčio Mirtiẽs šaũksmas?	Ar neskamba šis vardas kaip vidurnakčio Mirties šauksmas?	Does not this name sound like the very midnight call of Death?	šauksmas	7	šauksmas	Ncmsnn-	1mascIAS
Sulìg príeblanda ir̃ grėsmìngais šešė́liais tùščia pilìs vė̃l atgìjo.	Sulig prieblanda ir grėsmingais šešėliais tuščia pilis vėl atgijo.	With twilight the empty castle came alive again with menacing shadows.	pilis	6	pilis	Ncfsnn-	3fem
Šì móteris tùri labaĩ grãžų kãklą.	Ši moteris turi labai gražų kaklą.	Your wife has a beautiful neck.	moteris	1	moteris	Ncfsnn-	3fem
Bèt àš žinaũ, kàd nãktį jõs síela girdė́jo šaũksmą.	Bet aš žinau, kad naktį jos siela girdėjo šauksmą.	But I know that in that night her soul had heard the call of death.	siela	7	siela	Ncfsnn-	2femIA
Plaũstas pasiródė įtar̃tinas dė̃l jų̃ plùkdomo kraupaũs króvinio.	Plaustas pasirodė įtartinas dėl jų plukdomo kraupaus krovinio.	The raftsmen little suspected what terrible cargo they carried down the valley.	Plaustas	0	plaustas	Ncmsnn-	1mascIAS
Sãkė, kàd jìs nukrìto nuõ kálno.	Sakė, kad jis nukrito nuo kalno.	They said he fell from a mountain.	Sakė	0	sakė	Ncfsnn-	2femĖ
Šią̃ nãktį į̃ jū́rą tùri nueitì paláiminimas.	Šią naktį į jūrą turi nueiti palaiminimas.	The ship must set sail this night.	palaiminimas	6	palaiminimas	Ncmsnn-	1mascIAS
Profèsorius papãsakojo sàvo studeñtams apiẽ mė̃sėdžio áugalo egzistãvimą.	Profesorius papasakojo savo studentams apie mėsėdžio augalo egzistavimą.	At the same time, professor Bulwar explained to his pupils the cruelty of carnivorous plants.	Profesorius	0	profesorius	Ncmsnn-	4masc
Lýg kokià epidèmija, taĩ išplìto põ vìsą laĩvą.	Lyg kokia epidemija, tai išplito po visą laivą.	Like an epidemic it spread over the entire ship.	epidemija	2	epidemija	Ncfsnn-	2femIA
Sãko, kàd kajùtėje ỹra keistàs keleĩvis.	Sako, kad kajutėje yra keistas keleivis.	Mate has begun to hallicunate, says a strange passenger is below deck. Course: SE.	keleivis	6	keleivis	Ncmsnn-	1mascIS
- Pãnika añt bòrto - Trỹs výrai mìršta	- Panika ant borto - Trys vyrai miršta	- Panic on board - Three men dead already - mate out of his mind	Panika	1	panika	Ncfsnn-	2femIA
