Jìs nóri dár kar̃tą mùs pamatýti.	Jis nori dar kartą mus pamatyti.	He wants to see us again.	kartą	3	kartas	Ncmsan-	1mascIAS
Àš sakaũ táu tiẽsą.	Aš sakau tau tiesą.	I tell you the truth.	tiesą	3	tiesa	Ncfsan-	2femIA
Jìs mán vãkar pasãkė tiẽsą.	Jis man vakar pasakė tiesą.	Yesterday, he told me the truth.	tiesą	4	tiesa	Ncfsan-	2femIA
Jìs pasãkė tiẽsą.	Jis pasakė tiesą.	He told the truth.	tiesą	2	tiesa	Ncfsan-	2femIA
Kažkàs pasãkė jái vìsą tiẽsą.	Kažkas pasakė jai visą tiesą.	Somebody told her the whole truth.	tiesą	4	tiesa	Ncfsan-	2femIA
Móteris nóri žinóti tiẽsą.	Moteris nori žinoti tiesą.	The woman wants to know the truth.	tiesą	3	tiesa	Ncfsan-	2femIA
Turiù rytój pasakýti jái tiẽsą.	Turiu rytoj pasakyti jai tiesą.	I have to tell her the truth tomorrow.	tiesą	4	tiesa	Ncfsan-	2femIA
Výras nóri žinóti tiẽsą.	Vyras nori žinoti tiesą.	The man wants to know the truth.	tiesą	3	tiesa	Ncfsan-	2femIA
Vìsą gyvẽnimą výrai ỹra vaikaĩ.	Visą gyvenimą vyrai yra vaikai.	Men are children their whole life.	gyvenimą	1	gyvenimas	Ncmsan-	1mascIAS
Šį̃ kar̃tą turė́tum tą̃ padarýti pàts.	Šį kartą turėtum tą padaryti pats.	This time you should do it by yourself.	kartą	1	kartas	Ncmsan-	1mascIAS
Àš mačiaũ ją̃ priẽš saváitę.	Aš mačiau ją prieš savaitę.	I saw her a week ago.	savaitę	4	savaitė	Ncfsan-	2femĖ
Visadà sakýk tiẽsą.	Visada sakyk tiesą.	Always tell the truth.	tiesą	2	tiesa	Ncfsan-	2femIA
Àš manaũ, kàd ỹra svarbù pasakýti tiẽsą.	Aš manau, kad yra svarbu pasakyti tiesą.	I think it's important to tell the truth.	tiesą	7	tiesa	Ncfsan-	2femIA
Ar̃gi nè tiesà kàd tù tùri giñklą?	Argi ne tiesa kad tu turi ginklą?	Isn't it true that you own a gun?	ginklą	6	ginklas	Ncmsan-	1mascIAS
Ar̃ žinaĩ kẽlią?	Ar žinai kelią?	Do you know the way?	kelią	2	kelias	Ncmsan-	1mascIAS
Ar̃ žìnote kẽlią?	Ar žinote kelią?	Do you know the way?	kelią	2	kelias	Ncmsan-	1mascIAS
Berniùkas nóri žinóti tiẽsą.	Berniukas nori žinoti tiesą.	The boy wants to know the truth.	tiesą	3	tiesa	Ncfsan-	2femIA
Kìtą kar̃tą, àš padarýsiu tą̃ patì.	Kitą kartą, aš padarysiu tą pati.	Next time, I'll do it myself.	kartą	1	kartas	Ncmsan-	1mascIAS
Kìtą kar̃tą, àš padarýsiu tą̃ pàts.	Kitą kartą, aš padarysiu tą pats.	Next time, I'll do it myself.	kartą	1	kartas	Ncmsan-	1mascIAS
Àš žinaũ jõ var̃dą.	Aš žinau jo vardą.	I know what his name is.	vardą	3	vardas	Ncmsan-	1mascIAS
