Dė̃l Diẽvo méilės niẽkam tõ nesakýk.	Dėl Dievo meilės niekam to nesakyk.	For God's sake don't tell it to anyone.	niekam	3	niekas	Ncmpdn-	1mascIAS
Léiskite žmonė́ms ramiaĩ gyvénti!	Leiskite žmonėms ramiai gyventi!	Let people live peacefully!	žmonėms	1	žmogus	Ncmpdn-	exception
Àš daviaũ sàvo knygàs tíems žmonė́ms.	Aš daviau savo knygas tiems žmonėms.	I gave my books to those people.	žmonėms	5	žmogus	Ncmpdn-	exception
Jìs retaĩ rãšo sàvo tėváms.	Jis retai rašo savo tėvams.	He seldom writes to his parents.	tėvams	4	tėvai	Ncmpdn-	1mascIAS
Tòmas dažnaĩ rãšo tėváms.	Tomas dažnai rašo tėvams.	Tom often writes to his parents.	tėvams	3	tėvai	Ncmpdn-	1mascIAS
Vaikáms kar̃tais trū́ksta kantrýbės.	Vaikams kartais trūksta kantrybės.	Children sometimes lack patience.	Vaikams	0	vaikas	Ncmpdn-	1mascIAS
Mokiniaĩ nenorė́jo niẽko sakýti sàvo tėváms.	Mokiniai nenorėjo nieko sakyti savo tėvams.	The students didn't want to tell anything to their parents.	tėvams	5	tėvai	Ncmpdn-	1mascIAS
Japònija mán dãro labaĩ dìdelį į́spūdį, àš jáučiu dìdelę pãgarbą Japònijos gyvéntojams.	Japonija man daro labai didelį įspūdį, aš jaučiu didelę pagarbą Japonijos gyventojams.	Japan impresses me very much and I feel profound respect for the Japanese people.	gyventojams	12	gyventojas	Ncmpdn-	1mascIAS
Àš daviaũ šunìms šíek tíek vandeñs.	Aš daviau šunims šiek tiek vandens.	I gave some water to the dogs.	šunims	2	šuo	Ncmpdn-	exception
Jìs papãsakojo vaikáms apiẽ sàvo núotykius Ãfrikoje.	Jis papasakojo vaikams apie savo nuotykius Afrikoje.	He told the children about his adventures in Africa.	vaikams	2	vaikas	Ncmpdn-	1mascIAS
Paplūdimỹs ỹra idealì vietà vaikáms žaistì.	Paplūdimys yra ideali vieta vaikams žaisti.	The beach is an ideal place for children to play.	vaikams	4	vaikas	Ncmpdn-	1mascIAS
Pùsryčiams mẽs válgėme sumuštiniùs.	Pusryčiams mes valgėme sumuštinius.	We ate sandwiches for breakfast.	Pusryčiams	0	pusrytis	Ncmpdn-	1mascIS
Ar̃ pasidareĩ kažką̃ sàvo plaukáms?	Ar pasidarei kažką savo plaukams?	Did you do something new with your hair?	plaukams	4	plaukas	Ncmpdn-	1mascIAS
Penkióms dienóms šìtiek užtèks.	Penkioms dienoms šitiek užteks.	It's enough for five days.	dienoms	1	diena	Ncfpdn-	2femIA
