Taĩ ỹra tiesà.	Tai yra tiesa.	That's true.	tiesa	2	tiesa	Ncfsnn-	2femIA
Taĩ ỹra tiesà.	Tai yra tiesa.	That's true.	tiesa	2	tiesa	Ncfsnn-	2femIA
Nè, taĩ negãli būtì tiesà.	Ne, tai negali būti tiesa.	No, it cannot be true.	tiesa	5	tiesa	Ncfsnn-	2femIA
Taĩ negãli būtì tiesà.	Tai negali būti tiesa.	That can't be true.	tiesa	3	tiesa	Ncfsnn-	2femIA
Àš nežinaũ kóks jìs per̃ žmogùs.	Aš nežinau koks jis per žmogus.	I don't know what kind of person he is.	žmogus	5	žmogus	Ncmsnn-	exception
Jìs ỹra labaĩ sveikàs žmogùs.	Jis yra labai sveikas žmogus.	He's a very healthy person.	žmogus	4	žmogus	Ncmsnn-	exception
Maniaũ kàd taĩ bùvo tiesà.	Maniau kad tai buvo tiesa.	I thought it was true.	tiesa	4	tiesa	Ncfsnn-	2femIA
Taĩ, ką̃ jiẽ sãko, ỹra tiesà.	Tai, ką jie sako, yra tiesa.	What they say is true.	tiesa	7	tiesa	Ncfsnn-	2femIA
Àš esù tàvo tė́vas.	Aš esu tavo tėvas.	I'm your father.	tėvas	3	tėvas	Ncmsnn-	1mascIAS
Àš esù výras.	Aš esu vyras.	I'm a man.	vyras	2	vyras	Ncmsnn-	1mascIAS
Àš suprataũ ką̃ jì sãkė.	Aš supratau ką ji sakė.	I got what she was saying.	sakė	4	sakė	Ncfsnn-	2femĖ
Àš suprataũ ką̃ jìs sãkė.	Aš supratau ką jis sakė.	I understood what she said.	sakė	4	sakė	Ncfsnn-	2femĖ
Jìs tìk ỹra výras.	Jis tik yra vyras.	He is only a man.	vyras	3	vyras	Ncmsnn-	1mascIAS
Jìs ỹra màno tė́vas.	Jis yra mano tėvas.	He is my father.	tėvas	3	tėvas	Ncmsnn-	1mascIAS
Taĩ nebùvo tiesà.	Tai nebuvo tiesa.	That wasn't the truth.	tiesa	2	tiesa	Ncfsnn-	2femIA
Tàs žmogùs visái netùri pinigų̃.	Tas žmogus visai neturi pinigų.	That person doesn't have any money at all.	žmogus	1	žmogus	Ncmsnn-	exception
Kur̃ ỹra màno tė̃tis?	Kur yra mano tėtis?	Where's my father?	tėtis	3	tėtis	Ncmsnn-	1mascIS
Vìskas ką̃ jìs pasãkė bùvo tiesà.	Viskas ką jis pasakė buvo tiesa.	All he said was true.	tiesa	5	tiesa	Ncfsnn-	2femIA
Ar̃ àš esù jū́sų draũgas?	Ar aš esu jūsų draugas?	Am I your friend?	draugas	4	draugas	Ncmsnn-	1mascIAS
Ar̃ àš esù tàvo draũgas?	Ar aš esu tavo draugas?	Am I your friend?	draugas	4	draugas	Ncmsnn-	1mascIAS
Ar̃ tù esì màno draũgas?	Ar tu esi mano draugas?	Are you my friend?	draugas	4	draugas	Ncmsnn-	1mascIAS
Àš nesù geràs žmogùs.	Aš nesu geras žmogus.	I'm not a good person.	žmogus	3	žmogus	Ncmsnn-	exception
Màno draũgas čià ỹra.	Mano draugas čia yra.	My friend is here.	draugas	1	draugas	Ncmsnn-	1mascIAS
Tàvo draũgas čià ỹra.	Tavo draugas čia yra.	Your friend is here.	draugas	1	draugas	Ncmsnn-	1mascIAS
Ar̃ taĩ ỹra tìkra tiesà?	Ar tai yra tikra tiesa?	Is this the real truth?	tiesa	4	tiesa	Ncfsnn-	2femIA
Àš esù móteris.	Aš esu moteris.	I'm a woman.	moteris	2	moteris	Ncfsnn-	3fem
Àš nóriu būtì vaĩkas.	Aš noriu būti vaikas.	I want to be a child.	vaikas	3	vaikas	Ncmsnn-	1mascIAS
Jì màno žmonà.	Ji mano žmona.	She's my wife.	žmona	2	žmona	Ncfsnn-	2femIA
Jì ỹra màno žmóna.	Ji yra mano žmona.	She's my wife.	žmona	3	žmona	Ncfsnn-	2femIA
Kur̃ ỹra màno sū́nus?	Kur yra mano sūnus?	Where is my son?	sūnus	3	sūnus	Ncmsnn-	4masc
Móteris nóri žinóti tiẽsą.	Moteris nori žinoti tiesą.	The woman wants to know the truth.	Moteris	0	moteris	Ncfsnn-	3fem
Nèt vaĩkas gãli tą̃ padarýti.	Net vaikas gali tą padaryti.	Even a child can do it.	vaikas	1	vaikas	Ncmsnn-	1mascIAS
Tàs žmogùs nenóri niẽko darýti.	Tas žmogus nenori nieko daryti.	That person doesn't want to do anything.	žmogus	1	žmogus	Ncmsnn-	exception
Výras nóri žinóti tiẽsą.	Vyras nori žinoti tiesą.	The man wants to know the truth.	Vyras	0	vyras	Ncmsnn-	1mascIAS
Lìko tìk vienà dienà, patiñka taĩ mùms ar̃ nè.	Liko tik viena diena, patinka tai mums ar ne.	There is only one day left, whether we like it or not.	diena	3	diena	Ncfsnn-	2femIA
Ỹra víenas kẽlias.	Yra vienas kelias.	There is one way.	kelias	2	kelias	Ncmsnn-	1mascIAS
Àš galiù kalbė́ti jū́sų kalbà.	Aš galiu kalbėti jūsų kalba.	I can speak your language.	kalba	4	kalba	Ncfsnn-	2femIA
Diẽvas ỹra visadà teisùs.	Dievas yra visada teisus.	God is always right.	Dievas	0	dievas	Ncmsnn-	1mascIAS
Kur̃ tù mateĩ tàs móteris?	Kur tu matei tas moteris?	Where did you see those women?	moteris	4	moteris	Ncfsnn-	3fem
Màno draũgas ỹra šalià manę̃s.	Mano draugas yra šalia manęs.	My friend is beside me.	draugas	1	draugas	Ncmsnn-	1mascIAS
Àš esù tàvo brólis.	Aš esu tavo brolis.	I'm your brother.	brolis	3	brolis	Ncmsnn-	1mascIS
Jìs màno geriáusias draũgas.	Jis mano geriausias draugas.	He is my best friend.	draugas	3	draugas	Ncmsnn-	1mascIAS
Jìs ỹra màno brólis.	Jis yra mano brolis.	He is my brother.	brolis	3	brolis	Ncmsnn-	1mascIS
Jū̃s ẽsate màno tė́vas.	Jūs esate mano tėvas.	You are my father.	tėvas	3	tėvas	Ncmsnn-	1mascIAS
Mẽtas eitì.	Metas eiti.	It's time to go.	Metas	0	metas	Ncmsnn-	1mascIAS
Šìs výras ỹra gývas.	Šis vyras yra gyvas.	This man is alive.	vyras	1	vyras	Ncmsnn-	1mascIAS
Taĩ ỹra geriáusias dalỹkas pasáulyje.	Tai yra geriausias dalykas pasaulyje.	This is the best thing on earth.	dalykas	3	dalykas	Ncmsnn-	1mascIAS
Tù esì gražì merginà.	Tu esi graži mergina.	You're a beautiful girl.	mergina	3	mergina	Ncfsnn-	2femIA
Àš esù dìdelis vaĩkas.	Aš esu didelis vaikas.	I'm a big child.	vaikas	3	vaikas	Ncmsnn-	1mascIAS
Àš nesù tàvo mótina.	Aš nesu tavo motina.	I'm not your mother.	motina	3	motina	Ncfsnn-	2femIA
Àš nežinaũ, kàs ỹra màno mótina.	Aš nežinau, kas yra mano motina.	I don't know who my mother is.	motina	6	motina	Ncfsnn-	2femIA
Galbū́t taĩ ką̃ tù pasakeĩ ỹra tiesà.	Galbūt tai ką tu pasakei yra tiesa.	Maybe what you said is true.	tiesa	6	tiesa	Ncfsnn-	2femIA
Jìs bùvo puikùs žmogùs.	Jis buvo puikus žmogus.	He was a wonderful man.	žmogus	3	žmogus	Ncmsnn-	exception
Kàd ir̃ kaĩp bū́tų, taĩ nè tàvo reĩkalas.	Kad ir kaip būtų, tai ne tavo reikalas.	In any case, it's none of your business.	reikalas	8	reikalas	Ncmsnn-	1mascIAS
