Jìs dabar̃ jõs íeško màno namuosè.	Jis dabar jos ieško mano namuose.	He's now looking for her in my house.	namuose	5	namai	Ncmpln-	1mascIAS
Šiañdien bū́sime namuosè.	Šiandien būsime namuose.	We will be at home today.	namuose	2	namai	Ncmpln-	1mascIAS
Màno namuosè ỹra labaĩ šálta.	Mano namuose yra labai šalta.	It's very cold in my house.	namuose	1	namai	Ncmpln-	1mascIAS
Tòmas mìrė màno rañkose.	Tomas mirė mano rankose.	Tom died in my arms.	rankose	3	ranka	Ncfpln-	2femIA
Àš léidau jám praleistì nãktį màno namuosè.	Aš leidau jam praleisti naktį mano namuose.	I let him spend the night in my house.	namuose	6	namai	Ncmpln-	1mascIAS
Jìs atvỹko ìš mãžo miestẽlio kalnuosè.	Jis atvyko iš mažo miestelio kalnuose.	He came from a tiny mountain town.	kalnuose	5	kalnas	Ncmpln-	1mascIAS
Kaĩ kuriuosè viẽtose lỹja.	Kai kuriuose vietose lyja.	It rains in some places.	kuriuose	1	vieta	Ncfpln-	2femIA
Laukuosè dár vanduõ gùli.	Laukuose dar vanduo guli.	Water is still standing in the fields.	Laukuose	0	laukas	Ncmpln-	1mascIAS
Jungtìnėse Valstìjose įstãtymai skìriasi tar̃p valstìjų.	Jungtinėse Valstijose įstatymai skiriasi tarp valstijų.	Laws differ from state to state in the United States.	Valstijose	1	valstija	Ncfpln-	2femIA
Jungtìnėse Valstìjose ỹra peñkiasdešimt valstìjų.	Jungtinėse Valstijose yra penkiasdešimt valstijų.	There are fifty states in the United States.	Valstijose	1	valstija	Ncfpln-	2femIA
Màno tė́vas neléido mán mókytis Jungtìnėse Valstìjose.	Mano tėvas neleido man mokytis Jungtinėse Valstijose.	My father didn't allow me to study in the USA.	Valstijose	6	valstija	Ncfpln-	2femIA
Nórs jìs ir̃ gyvẽna Jungtìnėse Valstìjose, Tòmas nemóka kalbė́ti ángliškai.	Nors jis ir gyvena Jungtinėse Valstijose, Tomas nemoka kalbėti angliškai.	Even though he lives in the United States, Tom can't speak English.	Valstijose	5	valstija	Ncfpln-	2femIA
Kàs ỹra tosè dėžėsè?	Kas yra tose dėžėse?	What's in these boxes?	dėžėse	3	dėžė	Ncfpln-	2femĖ
Àš negaliù mókytis niẽkur sàvo namuosè. Per̃ triukšmìnga.	Aš negaliu mokytis niekur savo namuose. Per triukšminga.	I can't study anywhere in my house. It's too noisy.	namuose	5	namai	Ncmpln-	1mascIAS
Àš nepriim̃siu tokių̃ žmonių̃ sàvo namuosè.	Aš nepriimsiu tokių žmonių savo namuose.	I won't accept that kind of people in my house.	namuose	5	namai	Ncmpln-	1mascIAS
Àš radaũ jį̃ miẽgantį sàvo namuosè.	Aš radau jį miegantį savo namuose.	I found him sleeping in his house.	namuose	5	namai	Ncmpln-	1mascIAS
Euròpoje mókslo mẽtai mokỹklose prasìdeda rugsė́jį.	Europoje mokslo metai mokyklose prasideda rugsėjį.	School starts in September in Europe.	mokyklose	3	mokykla	Ncfpln-	2femIA
Rugsė́jį mokỹklose prasìdeda naujì mókslo mẽtai.	Rugsėjį mokyklose prasideda nauji mokslo metai.	School reopens in September.	mokyklose	1	mokykla	Ncfpln-	2femIA
Jungtìnėse Valstìjose manè dažnaĩ palaĩko kinù.	Jungtinėse Valstijose mane dažnai palaiko kinu.	In the U.S., they often mistake me for a Chinese person.	Valstijose	1	valstija	Ncfpln-	2femIA
Tòmas tùri bánko są́skaitą Kaimãnų salosè.	Tomas turi banko sąskaitą Kaimanų salose.	Tom has a bank account in the Cayman Islands.	salose	5	sala	Ncfpln-	2femIA
