"Why have you destroyed them - the beautiful flowers?"	"Kodėl nužudei jas... nuostabiąsias gėles...? !"
"Not so hasty, my young friend!	"Neskubėk taip, jaunasis drauge!
One thing was sure: he paid his people well.	Viena buvo aišku: jis sumokėjo už savo žmones.
"You could make a nice bit of money."	"Gali užsidirbti gražaus pinigo..."
"He wants a handsome deserted house..."	"Jis nori gražiai atrodančio namo..."
"That house - just opposite yours.	"Tas namas... priešais tave.
"Leave at once, my young friend.	"Greičiau keliauk, mano jaunasis drauge.
Have a quick journey into the land of phantoms!"	Keliauk į šmėklų žemę."
The evil spirits become all-powerful after dark!"	Temstant blogio dvasios darosi vis galingesnės."
Here begins the land of the phantoms!"	Nuo čia prasideda šmėklų žemė!"
"Shall we stay up together for awhile?	"Norit likti su manim kartu?
"Your wife has a beautiful neck..."	"Ši moteris turi labai gražų kaklą..."
Already, Nosferatu was raising his wings.	Nosferatu "pakėlė" savo sparnus.
"The peasants brought him into the hospital yesterday.	"Vakar valstiečiai atnešė jį į ligoninę.
They said he fell from a mountain.	Sakė, kad jis nukrito nuo kalno.
The ship must set sail this night.	"Šią naktį į jūrą turi nueiti palaiminimas."
Nature's secrets were revealed to horrified eyes.	Baisią ir paslaptingą gamtos būtybę.
Is it not... like a vampire!	"Kaip vampyras!"
Ellen was often seen alone among the dunes.	Ellen buvo dažnai matyta vieniša tarp kopų.
"A sailor has fallen ill below deck.	"Ant denio susirgo vienas jūreivis.
He is talking in a fever."	Jis kalba karščiuodamas.
Like an epidemic it spread over the entire ship.	Lyg kokia epidemija, tai išplito po visą laivą.
If I haven't come up again within ten minutes..."	Neužtruksiu ilgiau, kaip dešimt minučių...
The ship of death had a new captain	Mirties laivas turi naują kapitoną.
One sailor has contracted a fever.	Vieną jūreivį ištiko karštligė. Kursas: SSW.
Go home! Shut all your windows and doors!"	Užsidarykite savo langus ir duris!"
Yet she was unable to withstand its strange fascination.	Kol kas ji negali atsispirti keistam knygos žavesiui.
"Look! Every night, in front of me..."	"Jis stebi mane - kiekvieną vakarą....!"
Panic seized the people. Who was sick or dying?	Panika apėmė visą miestelį.
"I shall run over there quickly.	"Greitai perbėgsiu į kitą pusę...
"They saw him escape - he strangled his keeper!"	"Žmonės matė jį! Jis pabėgo iš savo namo! Sargą jis pasmaugė......"
And the miracle shall be told in truth.	Ir stebuklas paskelbtas tiesa:
