Ar neskamba šis vardas kaip vidurnakčio Mirties šauksmas?	Does not this name sound like the very midnight call of Death?
Gyveno Wisborg'e Hutter su savo jauna žmona Ellen.	In Wisborg there lived a man called Hutter with his young wife Ellen...
"Kodėl nužudei jas... nuostabiąsias gėles...? !"	"Why have you destroyed them - the beautiful flowers?"
Viena buvo aišku: jis sumokėjo už savo žmones.	One thing was sure: he paid his people well.
mūsų mažame miestelyje nori... nusipirkti gražų namą..."	- His Grace - from Transylvania - wants to buy a beautiful house - in our little town..."
"Aš išvykstu keletui mėnesių į šmėklų ir vaiduoklių šalį."	"I may be away for several month, dear Ellen, away in a country of ghosts and robbers."
Temstant blogio dvasios darosi vis galingesnės."	The evil spirits become all-powerful after dark!"
Vos tik patekėjo saulė, nuo Hutter'io nuslinko nakties šešėliai.	As soon as the sun rose Hutter felt himself freed from the shadows of the night.
Šioje pilyje miegojau gan sunkei, bet nesijaudink...	One's dreams are heavy in this deserted castle, but do not fear...
Sulig prieblanda ir grėsmingais šešėliais tuščia pilis vėl atgijo.	With twilight the empty castle came alive again with menacing shadows.
"Ši moteris turi labai gražų kaklą..."	"Your wife has a beautiful neck..."
"Noriu pirkti gražų... namą, šalia tavo namo... "	"I shall take the house - the handsome deserted house opposite yours..."
Daktaras aprašė Ellen nerimą kaip lengvabūdišką elgesį.	The doctor described Ellen's anxietes as if the had been trifles.
Bet aš žinau, kad naktį jos siela girdėjo šauksmą.	But I know that in that night her soul had heard the call of death.
O Hutter, būdamas toli, girdėjo jos pagalbos šauksmą.	And Hutter, far away, had heard her cry of warning.
Plaustas pasirodė įtartinas dėl jų plukdomo kraupaus krovinio.	The raftsmen little suspected what terrible cargo they carried down the valley.
"Vakar valstiečiai atnešė jį į ligoninę.	"The peasants brought him into the hospital yesterday.
Sakė, kad jis nukrito nuo kalno.	They said he fell from a mountain.
Tuo pačiu metu Bulwer atskleidė keistų gamtos paslapčių.	The Empusa was chartered and carried his coffins filled with earth.
"Šią naktį į jūrą turi nueiti palaiminimas."	The ship must set sail this night.
Profesorius papasakojo savo studentams apie mėsėdžio augalo egzistavimą.	At the same time, professor Bulwar explained to his pupils the cruelty of carnivorous plants.
Nosferatu piešinį jau pamėgo Knock, namo raštininkas.	Already, Nosferatus's drawing near seemed to affect Knock, the house agent.
"Valstiečiai, kurie atnešė ligonį, visiškai išprotėjo..."	"The patient who was brought in yesterday has gone out of his mind!"
Ellen buvo dažnai matyta vieniša tarp kopų.	Ellen was often seen alone among the dunes.
Šioje pilyje miegojau gan sunkei, bet nesijaudink...	One's dreams are heavy in this deserted castle, but do not fear...
"Turiu eiti toliau... pasiekti namus trumpiausiu keliu !"	"No I have to get away - reach home by the shortest possible way!"
Lyg kokia epidemija, tai išplito po visą laivą.	Like an epidemic it spread over the entire ship.
Jūreivis, kuris parodė simptomą, taip pat užsikrėtė.	The first sailor who had shown the symptoms was followed by the entire crew into the dark grave of the waters.
"Apžiūrėjau viską... Ant borto nė vieno gyvo."	"I have examined everything - there is no living soul on board."
Vieną jūreivį ištiko karštligė. Kursas: SSW.	One sailor has contracted a fever.
Sako, kad kajutėje yra keistas keleivis.	Mate has begun to hallicunate, says a strange passenger is below deck. Course: SE.
- Panika ant borto - Trys vyrai miršta	- Panic on board - Three men dead already - mate out of his mind
- Padėjėjas išprotėja - Žiurkės laivo triume.	- Rats in the hold - I fear the plague...
Kol kas ji negali atsispirti keistam knygos žavesiui.	Yet she was unable to withstand its strange fascination.
"Jis stebi mane - kiekvieną vakarą....!"	"Look! Every night, in front of me..."
Panikos apimtas miestelis ieško vieno sergančio: tai Knock.	The panic-stricken town was looking for a scape-goat. It chose Knock.
Na, ponai, pažiūrėkime, ko dar išmokote.	Well gentlemen, let's see what else you have learned.
Markas Antonijus nebūtų pasakęs savo kalbos?	Mark Anthony hadn't held his oration?
- Iš kur gavai tas nuotraukas?	- How did you get those photos?
Tikriausiai kas nors jas įkišo į mano portfelį.	Somebody must have put them in my briefcase.
Bet mano pianolos Niekas negaus paliesti	But as formypianola No one gets to touch it
Jei kas nors nori man kompaniją palaikyti	Ifsomeone wants to accompany me
Ponai, šįvakar aš ką nors išsirinksiu	Guys, tonight I'm gonna pick someone
Ponai, šįvakar aš ką nors išsirinksiu	Guys, tonight I'm gonna pick someone
Vyrą, tikrą vyrą Man nusibodo jaunuoliai	A man, a real man I'm fed up with the young ones
Trumpai, vyrą, kuris dar nori bučiuotis ir tai sugeba	In short, a man who still wants To kiss and is good at it
Ponai, šįvakar aš ką nors išsirinksiu	Guys, tonight I'm gonna pick someone
Ką, po galais, jūs darote mano miegamajame?	What in the world are you doing in my bedroom?
Aš esu lmmanuelis Rathas... Vietinės gimnazijos profesirius!	I am Immanuel Rath... professor at the local college!
Jūs vedat iš kelio mano mokinius.	You are corrupting my students.
Manote, kad aš laikau vaikų darželį?	Do you think I'm running a kindergarten?
Norėčiau sužinoti, kur mano skrybėlė... Mečiau gerti.	I wish I knew where my hat... I've quit drinking.
Manai mane nors kiek kaso "menas"?	You think I give a damn about "art"?
Su kokiu tipu tu čia dabar šlaistaisi?	What fruit are you hanging out with now?
Man labai malonu susipažinti su viena miesto iškilių asmenybių.	I am delighted to meet one of the town's eminent personalities.
Profesoriau, leiskite man pagirti jūsų skonį.	Professor, let me commend you on your taste.
Aš atėjau, nes jūs vedate iš kelio mano mokinius.	I am here because you harbor my students.
Atstok nuo manęs su savo angliškom nesąmonėm!	Leave me alone with that English nonsense!
Ir tu atėjai nė trupučio dėl manęs?	And you didn't come because of me at all?
Šįvakar jūs čia ne oficialiu reikalu, manyčiau.	Tonight you're not here in official capacity, I assume.
Bijau, kad netinkamai elgiausi praeitą vakarą.	I'm afraid I didn't behave properly last night.
Jūsų berniukai turėtų jus tokį pamatyti.	Your boys should see you like this.
Tiesą sakant, jūs visai patrauklus vyras.	Actually, you're a pretty handsome man.
To jūreivio piniginė plyšta per siūles.	That's sailor's wallet is bursting.
Kaip tu drįsti kabinėtis prie šios damos?	How dare you molest this lady?
O jūs užsirašęs pas "šią damą"?	Do you have a subcription to "this lady"?
Atleiskite, Profesoriau, bet policija jau čia.	Excuse me, Professor, but the police are here.
Atstokit nuo manęs su tom nesąmonėm.	Leave me alone with that nonsense.
Šis vyras nori pateikti jums kaltinimus.	This man wants to press charges against you.
Manau, jūs suprantate, kokias pasekmes šis įvykis jums turės.	I assume you realize the consequences of this incident for you.
Dėl Dievo meilės, kas atsitiko, Profesoriau?	For God's sake, what's wrong, Professor?
Duosiu jums ypatingų vaistų iš savo asmeninės vaistinės.	I'll get you some special medicine from my personal pharmacy.
Nuo galvos iki kojų pirštų aš sutverta meilei	From head to toe l'm programmed forlove
Norėčiau jums pristatyti vieną ypatingą svečią,	I would like to introduce to you our very special guest for tonight,
Nuo galvos iki kojų pirštų aš sutverta meilei	From head to toe l'm programmed forlove
Tokia mano prigimtis Galiu tik mylėti	It is my nature I can only love
Sakyk, mielasis, tu visąlaik taip knarki?	Say, sweetheart, do you always snore like this?
Aš jus visus į kalėjimą pasodinsiu!	I'll have you all put in jail!
Jūs kalbate apie mano būsimą žmoną!	You're talking about my future wife!
Brangioji panele Lola, aš jums dar šį tą atnešiau.	My dear Miss Lola, I brought you something else.
Ar priimsite šitai kaip dovaną nuo manęs?	Will you accept this as a present from me?
