Kaĩp jùms sẽkasi, panelè?	Kaip jums sekasi, panele?	How are you doing, miss?	panele	4	panelė	Ncfsin-
Šiuõ metù jõ čià nėrà.	Šiuo metu jo čia nėra.	He's not here right now.	metu	1	metas	Ncmsin-
Šiuõ metù niẽko negaliù pasakýti.	Šiuo metu nieko negaliu pasakyti.	I can't say anything at this time.	metu	1	metas	Ncmsin-
Abù jõs sūnùs mìrė kãro metù.	Abu jos sūnus mirė karo metu.	Both of her sons died during the war.	metu	5	metas	Ncmsin-
Mū́sų sūnùs mìrė kãro metù.	Mūsų sūnus mirė karo metu.	Our son died during the war.	metu	4	metas	Ncmsin-
Kuriuõ metù jìs išė̃jo?	Kuriuo metu jis išėjo?	At what time did he leave?	metu	1	metas	Ncmsin-
Mán skaũda rankà.	Man skauda ranka.	My arm hurts.	ranka	2	ranka	Ncfsin-
Kuriuõ metù galė́tum pàs mùs rytój ateitì?	Kuriuo metu galėtum pas mus rytoj ateiti?	At what time would you be able to come to us tomorrow?	metu	1	metas	Ncmsin-
Ar̃ tù tuõ metù buvaĩ mokỹkloje?	Ar tu tuo metu buvai mokykloje?	Were you at school at that time?	metu	3	metas	Ncmsin-
Šiuõ metù Tòmas nėrà kalė́jime.	Šiuo metu Tomas nėra kalėjime.	Tom isn't currently in prison.	metu	1	metas	Ncmsin-
Tòmas šiuõ metù nėrà kalė́jime.	Tomas šiuo metu nėra kalėjime.	Tom is not in prison at the moment.	metu	2	metas	Ncmsin-
Tòmas turė́jo tuõ metù būtì namiẽ.	Tomas turėjo tuo metu būti namie.	Tom must have been at home at that time.	metu	3	metas	Ncmsin-
Àš nèt negaliù prisimiñti, kuõ jìs bùvo vardù.	Aš net negaliu prisiminti, kuo jis buvo vardu.	I can't even remember what his name was.	vardu	8	vardas	Ncmsin-
Ar̃ šiuõ metù esì užsiė̃męs?	Ar šiuo metu esi užsiėmęs?	Are you busy at the moment?	metu	2	metas	Ncmsin-
Atėjaĩ pačiù laikù.	Atėjai pačiu laiku.	You came at just the right time.	laiku	2	laikas	Ncmsin-
Atléisk mán, màno méile.	Atleisk man, mano meile.	Forgive me, my love.	meile	4	meilė	Ncfsin-
Jìs manè nužùdė víenu žodžiù.	Jis mane nužudė vienu žodžiu.	He killed me with one word.	žodžiu	4	žodis	Ncmsin-
Ką̃ tù padareĩ sù sàvo kãmera?	Ką tu padarei su savo kamera?	What did you do with your camera?	kamera	5	kamera	Ncfsin-
Nóriu susitìkti sù tàvo tė́vu.	Noriu susitikti su tavo tėvu.	I'd like to see your father.	tėvu	4	tėvas	Ncmsin-
Telefònas šiuõ metù neveikià.	Telefonas šiuo metu neveikia.	The phone doesn't work right now.	metu	2	metas	Ncmsin-
Àš nètikiu Dievù.	Aš netikiu Dievu.	I don't believe in God.	Dievu	2	dievas	Ncmsin-
Àš nóriu pasikalbė́ti sù tàvo dėdè.	Aš noriu pasikalbėti su tavo dėde.	I want to talk with your uncle.	dėde	5	dėdė	Ncmsin-
Àš turiù ją̃ išgélbėti bèt kokià káina.	Aš turiu ją išgelbėti bet kokia kaina.	I must save her at all costs.	kokia	5	kaina	Ncfsin-
Dabar̃ gyvenù sù sàvo dėdè.	Dabar gyvenu su savo dėde.	Now I live with my uncle.	dėde	4	dėdė	Ncmsin-
Kaĩ kuriẽ tìki Dievù, bèt kitì nè.	Kai kurie tiki Dievu, bet kiti ne.	Some believe in God, but others do not.	tiki	2	dievas	Ncmsin-
Kaĩ kuriẽ žmónės tìki Dievù, õ kitì nè.	Kai kurie žmonės tiki Dievu, o kiti ne.	Some people believe in God and others don't.	tiki	3	dievas	Ncmsin-
Tókiu ãtveju, mẽs tùrime problèmą...	Tokiu atveju, mes turime problemą...	In that case, we've got a problem...	atveju	1	atvejis	Ncmsin-
Tòmas šiuõ metù gyvẽna sù sàvo dėdè.	Tomas šiuo metu gyvena su savo dėde.	Tom currently lives with his uncle.	metu	2	metas	Ncmsin-
Tòmas šiuõ metù gyvẽna sù sàvo dėdè.	Tomas šiuo metu gyvena su savo dėde.	Tom currently lives with his uncle.	dėde	6	dėdė	Ncmsin-
Ar̃ galiù pasinaudóti tàvo telefonù?	Ar galiu pasinaudoti tavo telefonu?	Might I use your phone?	telefonu	4	telefonas	Ncmsin-
Jiẽ sãko kàd jìs tuõ metù bùvo ligóninėje.	Jie sako kad jis tuo metu buvo ligoninėje.	They say that he was in the hospital at that time.	metu	5	metas	Ncmsin-
Àš labaĩ didžiúojuosi sàvo dukrà.	Aš labai didžiuojuosi savo dukra.	I'm very proud of my daughter.	dukra	4	dukra	Ncfsin-
Tókiu ãtveju, eĩname.	Tokiu atveju, einame.	In that case, let's go.	atveju	1	atvejis	Ncmsin-
Tókiu ãtveju, skam̃bink polìcijai.	Tokiu atveju, skambink policijai.	In that case, call the police.	atveju	1	atvejis	Ncmsin-
Tuõ metù, vìsas pasáulis bùvo álkanas.	Tuo metu, visas pasaulis buvo alkanas.	At that time, the whole world was hungry.	metu	1	metas	Ncmsin-
Taĩp išė̃jo kàd àš tuõ metù buvaũ Lòndone.	Taip išėjo kad aš tuo metu buvau Londone.	It happened that I was not in London at that time.	metu	5	metas	Ncmsin-
Tòmas tikriáusiai dabar̃ ỹra sù Merè.	Tomas tikriausiai dabar yra su Mere.	Tom is probably with Mary right now.	Mere	5	merė	Ncfsin-
Jì tãpo móterimi.	Ji tapo moterimi.	She became a woman.	moterimi	2	moteris	Ncfsin-
Nuėjaũ į̃ kìną sù sàvo bróliu.	Nuėjau į kiną su savo broliu.	I went to the cinema with my brother.	broliu	5	brolis	Ncmsin-
Ar̃ pasìtiki Dievù?	Ar pasitiki Dievu?	You trust in god?	Dievu	2	dievas	Ncmsin-
Màno núomone, bùs sunkù išspręstì šią̃ problèmą.	Mano nuomone, bus sunku išspręsti šią problemą.	In my opinion, it would be difficult to solve this problem.	nuomone	1	nuomonė	Ncfsin-
Àš nebuvaũ paténkintas gyvẽnimu Parỹžiuje.	Aš nebuvau patenkintas gyvenimu Paryžiuje.	I was not satisfied with life in Paris.	gyvenimu	3	gyvenimas	Ncmsin-
Ką̃ jìs padãrė sù màno mėsà?	Ką jis padarė su mano mėsa?	What did he do to my meat?	mėsa	5	mėsa	Ncfsin-
Àš didžiúojuosi sàvo sūnumì.	Aš didžiuojuosi savo sūnumi.	I'm proud of my son.	sūnumi	3	sūnus	Ncmsin-
Àš esù paténkintas sàvo dárbu.	Aš esu patenkintas savo darbu.	I am content with my job.	darbu	4	darbas	Ncmsin-
Jì šiuõ metù ỹra pavõjuje.	Ji šiuo metu yra pavojuje.	She is currently in danger.	metu	2	metas	Ncmsin-
Kuriuõ metù mẽs turė́tume nueitì į̃ stõtį?	Kuriuo metu mes turėtume nueiti į stotį?	At what time should we go to the station?	metu	1	metas	Ncmsin-
Mótina nežinójo ką̃ darýti sù sàvo sūnumì.	Motina nežinojo ką daryti su savo sūnumi.	The mother didn't know what to do with her son.	sūnumi	6	sūnus	Ncmsin-
Tòmas praléido laĩką sù Merè.	Tomas praleido laiką su Mere.	Tom spent time with Mary.	Mere	4	merė	Ncfsin-
Kaĩp tìk tuõ metù autobùsas sustójo.	Kaip tik tuo metu autobusas sustojo.	Just at that time, the bus stopped.	metu	3	metas	Ncmsin-
Mėnùlis sùkasi apliñk Žemè.	Mėnulis sukasi aplink Žeme.	The moon moves around the earth.	Žeme	3	žemė	Ncfsin-
Ar̃ einù teisìnga kryptimì?	Ar einu teisinga kryptimi?	Am I going in the right direction?	kryptimi	3	kryptis	Ncfsin-
Àš gyvenù Kairè.	Aš gyvenu Kaire.	I live in Cairo.	Kaire	2	kairė	Ncfsin-
Àš sutinkù, bèt tìk sù víena są́lyga.	Aš sutinku, bet tik su viena sąlyga.	I accept, but only under one condition.	sąlyga	7	sąlyga	Ncfsin-
Jì gulė́jo añt lóvos véidu žemỹn.	Ji gulėjo ant lovos veidu žemyn.	She was lying face down on the bed.	veidu	4	veidas	Ncmsin-
Milijõnas žmonių̃ prarãdo sàvo gyvýbę kãro metù.	Milijonas žmonių prarado savo gyvybę karo metu.	A million people lost their live during the war.	metu	6	metas	Ncmsin-
Sù kurià móterimi tù liekì?	Su kuria moterimi tu lieki?	Which woman do you stay with?	moterimi	2	moteris	Ncfsin-
Taĩ ką̃ jìs pasãkė netùri niẽko beñdro sù šiuõ reĩkalu.	Tai ką jis pasakė neturi nieko bendro su šiuo reikalu.	What he said is irrelevant to the matter.	reikalu	9	reikalas	Ncmsin-
Tàs miẽstas bùvo sunaikìntas kãro metù.	Tas miestas buvo sunaikintas karo metu.	The town was destroyed during the war.	metu	5	metas	Ncmsin-
Ar̃ šiuõ metù esì užsiė̃musi?	Ar šiuo metu esi užsiėmusi?	Are you busy at the moment?	metu	2	metas	Ncmsin-
Àš esù paténkinta sàvo dárbu.	Aš esu patenkinta savo darbu.	I am content with my job.	darbu	4	darbas	Ncmsin-
Àš žaidžiù sù sàvo sūnumì.	Aš žaidžiu su savo sūnumi.	I play with my son.	sūnumi	4	sūnus	Ncmsin-
Jì atródė paténkinta sàvo naujù dárbu.	Ji atrodė patenkinta savo nauju darbu.	She looked pleased with her new job.	darbu	5	darbas	Ncmsin-
Nerimáuju, ar̃ mán pavỹks būtì gerù tėčiù.	Nerimauju, ar man pavyks būti geru tėčiu.	I worry about whether I'll be a good father.	tėčiu	7	tėtis	Ncmsin-
Paskutiniù metù buvaũ labaĩ užsiė̃męs.	Paskutiniu metu buvau labai užsiėmęs.	I've been very busy lately.	metu	1	metas	Ncmsin-
Paskutiniù metù buvaũ labaĩ užsiė̃musi.	Paskutiniu metu buvau labai užsiėmusi.	I've been very busy lately.	metu	1	metas	Ncmsin-
Eĩkite tiẽsiai šità gatvè.	Eikite tiesiai šita gatve.	Go straight on down this street.	gatve	3	gatvė	Ncfsin-
Jiẽ gyvẽno káime kãro metù.	Jie gyveno kaime karo metu.	They lived in the countryside during the war.	metu	4	metas	Ncmsin-
Jì tùri sū́nų kurìs tãpo dãktaru.	Ji turi sūnų kuris tapo daktaru.	She has a son, who became a doctor.	daktaru	5	daktaras	Ncmsin-
Kuriuõ metù šòu pasìbaigė?	Kuriuo metu šou pasibaigė?	At what time did the show finish?	metu	1	metas	Ncmsin-
