[er, ė]	[er̃, ė]	5
[y, iai]	[ý, iai]	1
[uei, u]	[uei, ù]	1
[ir, u, a]	[ìr, u, a]	1
[o, i, ą]	[ò, i, ą]	5
[u, ią]	[u, ią̃]	11
[u, o, ė, o]	[u, o, ė́, o]	2
[ė, i]	[ė̃, i]	15
[au, o, a, a]	[au, ó, a, a]	1
[e, o, a, a]	[e, o, ã, a]	1
[a, a, ei]	[a, a, eĩ]	12
[a, e, ai]	[a, e, aĩ]	1
[u, iam]	[u, iám]	3
[e, i, au, ė]	[e, i, aũ, ė]	1
[e, i, o, ė]	[e, i, o, ė́]	1
[į, iu]	[į̃, iu]	4
[a, e, i, o]	[a, e, ì, o]	2
[ai, a, iu]	[aĩ, a, iu]	2
[ė, iau]	[ė, iaũ]	2
[a, ie, a]	[ã, ie, a]	1
[uo, a, u]	[uo, a, ù]	3
[a, i, a]	[a, i, à]	14
[ai, io, o]	[aĩ, io, o]	1
[į, o, ė]	[į, ó, ė]	1
[am, a]	[am, à]	1
[au, i, ų]	[áu, i, ų]	3
[uo, in, ą]	[uo, ìn, ą]	5
[y, y, ė]	[y, ý, ė]	3
[u, e, i]	[u, e, ì]	4
[i, y, i]	[i, y, ì]	2
[ui, i]	[ui, ì]	3
[au, an]	[aũ, an]	1
[u, i, ė]	[ù, i, ė]	2
[e, a]	[è, a]	6
[er, a, ei]	[ér, a, ei]	1
[e, e]	[e, è]	11
[u, uo]	[u, uõ]	1
[į, ei, ė]	[į̃, ei, ė]	2
[an, au]	[an, aũ]	1
[au, i, o]	[áu, i, o]	3
[u, a, y, e]	[ù, a, y, e]	1
[iau, in, a]	[iau, ìn, a]	2
[e, ė, i, o]	[e, ė́, i, o]	1
[i, il, y]	[i, ìl, y]	1
[en, io, i, a]	[en, ió, i, a]	2
[an, ių]	[an, ių̃]	1
[o, y, a]	[ó, y, a]	1
[i, y, ė, i]	[i, y, ė́, i]	1
[a, a, io, e]	[a, a, io, è]	1
[en, a]	[én, a]	1
[ė, e, iu]	[ė́, e, iu]	1
[al, o]	[al, õ]	25
[ei, i, o]	[ei, ì, o]	4
[iū, o]	[iū̃, o]	1
[e, ė, i, ų]	[e, ė́, i, ų]	1
[a, ie, ė]	[à, ie, ė]	5
[ė, į]	[ė́, į]	1
[am, u, io]	[am, ù, io]	1
[i, ė, ę]	[i, ė́, ę]	1
[ar, i, o, i]	[ar̃, i, o, i]	1
[u, en]	[u, eñ]	1
[o, ie, i, ę]	[o, ie, ì, ę]	1
[a, en, in, i]	[a, én, in, i]	2
[a, i, a, iau]	[ã, i, a, iau]	2
[į, al, in, i]	[į, ál, in, i]	1
[o, i, in, ai]	[ó, i, in, ai]	1
[au, ą]	[aũ, ą]	22
[ir, ė, ą]	[ir, ė́, ą]	2
[i, a]	[i, à]	31
[ie, u, ą]	[ie, ù, ą]	2
[i, ur]	[i, ur̃]	2
[į, a, ar]	[į, ã, ar]	2
[i, io, in]	[i, io, ìn]	1
[a, i]	[à, i]	2
[al, o, a]	[al, ó, a]	3
[y, a]	[ý, a]	36
[ie, a, a, om]	[ie, a, ã, om]	1
[a, ien]	[a, iẽn]	7
[a, y, u, ė, e]	[a, ý, u, ė, e]	1
[ei, u]	[ei, ù]	19
[ar, y]	[ar, ỹ]	2
[ie, a, ie]	[ie, a, iẽ]	5
[įei, an, ią]	[įeĩ, an, ią]	2
[ir, u, ė, e]	[ir, ù, ė, e]	11
[an, iai]	[an, iaĩ]	1
[a, i, o, i, au]	[a, i, õ, i, au]	2
[ei, a, a]	[ei, a, à]	1
[u, ū, ė]	[u, ū́, ė]	1
[u, i, o]	[u, ì, o]	15
[un, u]	[un, ù]	12
[e, a, e, ė, au]	[e, a, e, ė́, au]	1
[o, į]	[ò, į]	1
[a, in, o]	[a, iñ, o]	8
[o, o, e]	[o, o, è]	2
[u, e, e]	[u, e, è]	1
[e, i, in, i, an, iu]	[e, i, ìn, i, an, iu]	1
[ą, ai, ą]	[ą́, ai, ą]	1
[ar, ū, o]	[ar, ū̃, o]	1
[a, a, y, o]	[a, ã, y, o]	3
[i, o, y]	[i, ó, y]	1
[į, a, ai]	[į, a, aĩ]	3
[ai, in, ą]	[ai, ìn, ą]	2
[au, o, o, i, iu]	[au, o, o, i, iù]	7
[i, iu, ę]	[i, iù, ę]	2
[a, o, e, o]	[a, o, è, o]	1
[ą, o]	[ą, õ]	1
[au, o, o, i, iai]	[au, o, o, ì, iai]	1
[a, o, a, e]	[a, o, a, è]	1
[u, ier, i, ę]	[u, iér, i, ę]	1
[o, ur, u]	[o, ùr, u]	1
[ai, ai]	[ai, aĩ]	21
[e, i, e, a]	[e, ì, e, a]	1
[ė, io]	[ė́, io]	1
[ė, i, ai]	[ė, ì, ai]	1
[e, y, e]	[ẽ, y, e]	2
[ai, o]	[ái, o]	6
[u, i, a]	[u, i, à]	1
[u, al, o, o]	[u, al, ó, o]	1
[a, in, a]	[a, in, à]	2
[i, u, i, i]	[i, u, ì, i]	2
[u, i, ir, ai]	[u, i, ir, aĩ]	3
[al, o, ą]	[al, ò, ą]	1
[e, o, ai]	[e, ó, ai]	1
[un, au]	[un, aũ]	1
[a, e, e]	[a, e, è]	5
[a, i, ei, i, au]	[a, i, éi, i, au]	1
[a, y, ai]	[a, ỹ, ai]	1
[or, i, o, e]	[òr, i, o, e]	2
[or, ų]	[õr, ų]	1
[a, ei, u]	[a, ei, ù]	2
[e, a, į]	[e, ã, į]	1
[a, y, ė, e]	[a, ý, ė, e]	6
[iau, ė, i]	[iáu, ė, i]	1
[a, i, an, a]	[a, i, án, a]	1
[e, im, e, į]	[e, im̃, e, į]	1
[au, o, a]	[au, ó, a]	7
[y, ė, o]	[y, ė́, o]	2
[ar, iau, ia]	[ar, iáu, ia]	4
[a, o, e, a]	[a, o, e, à]	1
[ar, i, ių]	[ar, i, ių̃]	1
[e, ę]	[ẽ, ę]	6
[in, i, ie, iu]	[in, i, ie, iù]	1
[y, ė, ų]	[y, ė́, ų]	1
[ar, į]	[ár, į]	1
[e, u, e, ė, o]	[e, u, e, ė́, o]	1
[e, iau, io]	[e, iáu, io]	2
[a, en, ą]	[à, en, ą]	1
[aė, u]	[aė̃, u]	1
[e, ei]	[e, éi]	15
[a, y]	[ã, y]	8
[u, ar, o, i, ą]	[u, ar, ó, i, ą]	1
[a, ai, i]	[a, ai, ì]	2
[i, a, ų]	[i, ã, ų]	4
[i, a, i, o, e]	[i, ã, i, o, e]	5
[a, a, ą]	[ã, a, ą]	14
[i, a, i, a]	[i, a, ì, a]	1
[i, o, ė, o]	[i, o, ė́, o]	1
[ū, ei, iai]	[ū, eĩ, iai]	2
[i, ų]	[ì, ų]	8
[įei, i]	[įei, ì]	1
[i, o]	[ì, o]	67
[y, en, o, am]	[y, én, o, am]	1
[u, i, au, a, au]	[u, i, au, a, aũ]	4
[a, a, o, į]	[a, ã, o, į]	1
[u, a, ė]	[ù, a, ė]	1
[ū, a, a]	[ū́, a, a]	2
[el, iai]	[el, iaĩ]	3
[an, uo, a]	[án, uo, a]	1
[o, y, i]	[ó, y, i]	9
[u, o, i]	[ù, o, i]	3
[a, an, uo, i]	[a, an, úo, i]	1
[a, y, a]	[a, ý, a]	1
[a, u, i, e]	[a, ù, i, e]	1
[y, ė, o, e]	[y, ė́, o, e]	1
[ai, a, au]	[ai, a, aũ]	1
[i, ie, ą]	[ì, ie, ą]	4
[ea, i, a, y, i, e]	[ea, i, a, ý, i, e]	1
[al, uo, i]	[al, úo, i]	2
[i, un, ė]	[i, ùn, ė]	1
[i, i, ar, ie, iu]	[i, i, ar, iẽ, iu]	1
[uo, ia, ė]	[uõ, ia, ė]	1
[i, e, ė, e]	[i, e, ė, è]	1
[o, ė, iau]	[o, ė́, iau]	24
[a, y, i, o]	[a, y, ì, o]	1
[e, ė, ė]	[e, ė̃, ė]	1
[o, ė, i]	[o, ė́, i]	3
[a, en, in, a]	[a, én, in, a]	7
[il, iau]	[il, iaũ]	3
[e, i, u]	[è, i, u]	1
[ie, ų]	[íe, ų]	4
[ie, o, ai]	[ie, ó, ai]	2
[i, ie, ų]	[i, ie, ų̃]	1
[e, a, ių]	[e, ã, ių]	1
[ea, i, in, a]	[ea, i, iñ, a]	1
[ė, ų]	[ė, ų̃]	4
[a, i, ai, iu]	[a, i, ái, iu]	1
[a, ei, į]	[ã, ei, į]	1
[e, a, io]	[e, ã, io]	1
[al, o, i]	[al, ó, i]	4
[ai, i]	[ai, ì]	26
[i, i, il, o]	[i, i, ìl, o]	1
[y, e, u]	[y, e, ù]	8
[a, i, ė, o]	[a, i, ė́, o]	8
[ar, ui]	[ár, ui]	3
[e, i, ę]	[e, ì, ę]	1
[ė, an, i]	[ė́, an, i]	2
[i, e, ė, i]	[i, e, ė́, i]	1
[ie, o]	[ie, õ]	16
[e, a, e, ė]	[e, a, e, ė̃]	1
[ai, ė, a]	[ai, ė́, a]	3
[e, iu]	[e, iù]	3
[a, i, ą]	[ã, i, ą]	6
[a, ei, o, e]	[a, éi, o, e]	3
[ei, ė, a, iai]	[ei, ė́, a, iai]	1
[on, i, ė]	[on, ì, ė]	1
[an, y, o, e]	[án, y, o, e]	1
[ie]	[íe]	48
[au, a]	[au, à]	15
[u, au]	[u, aũ]	18
[an, uo]	[an, uõ]	6
[u, ar, į]	[ù, ar, į]	1
[ie, ą]	[iẽ, ą]	71
[i, a, į]	[ì, a, į]	6
[a, al, i, ė, a]	[a, al, i, ė́, a]	1
[e, er, ai, iau]	[e, ér, ai, iau]	1
[a, ei]	[a, eĩ]	19
[e, ai]	[e, aĩ]	27
[a, ie]	[a, íe]	2
