Tai yra tiesa.	That's true.
Kuo daugiau žmonės turi, tuo daugiau jie nori.	The more people have, the more they want.
Ne, tai negali būti tiesa.	No, it cannot be true.
Tai negali būti tiesa.	That can't be true.
Atsiprašau, kiek dabar laiko?	Excuse me, what time is it?
Mes dar turime daug laiko.	We still have plenty of time.
Mes turime laiko.	We've got time.
Aš nežinau koks jis per žmogus.	I don't know what kind of person he is.
Jis yra labai sveikas žmogus.	He's a very healthy person.
Ar ji turi pinigų?	Does she have money?
Jam reikia pinigų.	He needs money.
Maniau kad tai buvo tiesa.	I thought it was true.
Man reikia pinigų.	I need the money.
Tai, ką jie sako, yra tiesa.	What they say is true.
Aš esu tavo tėvas.	I'm your father.
Aš esu vyras.	I'm a man.
Aš supratau ką ji sakė.	I got what she was saying.
Aš supratau ką jis sakė.	I understood what she said.
Jis tik yra vyras.	He is only a man.
Jis yra mano tėvas.	He is my father.
Tai nebuvo tiesa.	That wasn't the truth.
Jis neturi darbo.	He doesn't have a job.
Tas žmogus visai neturi pinigų.	That person doesn't have any money at all.
Duok man savo pinigus.	Give me your money.
Kur yra mano tėtis?	Where's my father?
Viskas ką jis pasakė buvo tiesa.	All he said was true.
Ar aš esu jūsų draugas?	Am I your friend?
Ar aš esu tavo draugas?	Am I your friend?
Ar tu esi mano draugas?	Are you my friend?
Aš dabar neturiu laiko.	I don't have time right now.
Aš nesu geras žmogus.	I'm not a good person.
Aš neturiu pinigų.	I don't have any money.
Aš tiesiog neturiu daug laiko.	I just don't have much time.
Aš visai neturiu pinigų.	I don't have any money.
Jis nori dar kartą mus pamatyti.	He wants to see us again.
Jis turi šiek tiek pinigų.	He has a little money.
Mano draugas čia yra.	My friend is here.
Neturiu laiko.	I didn't have time.
O Dieve! Ka tu darai?	Oh my God! What are you doing?
Tavo draugas čia yra.	Your friend is here.
Visiškai neturiu pinigų.	I don't have any money.
Ar tai yra tikra tiesa?	Is this the real truth?
Ar tau reikia mūsų pagalbos?	Do you require our help?
Aš esu moteris.	I'm a woman.
Aš nieko nežinau apie moteris.	I know nothing about women.
Aš noriu būti vaikas.	I want to be a child.
Aš sakau tau tiesą.	I tell you the truth.
Aš tikiuosi tavo pagalbos.	I expect your help.
Jiems reikia pagalbos.	They need help.
Jiems reikia tavo pagalbos.	They need your help.
Ji mano žmona.	She's my wife.
Jis man vakar pasakė tiesą.	Yesterday, he told me the truth.
Jis pasakė tiesą.	He told the truth.
Ji yra mano žmona.	She's my wife.
Kai kurie iš jų yra mano draugai.	Some of them are my friends.
Kažkas pasakė jai visą tiesą.	Somebody told her the whole truth.
Kur yra mano sūnus?	Where is my son?
Man reikia tavo pagalbos.	I need your help.
Man tikrai nereikia pagalbos.	I really don't need help.
Moteris nori žinoti tiesą.	The woman wants to know the truth.
Net vaikas gali tą padaryti.	Even a child can do it.
Tas žmogus nenori nieko daryti.	That person doesn't want to do anything.
Turiu du sūnus.	I have two sons.
Turiu rytoj pasakyti jai tiesą.	I have to tell her the truth tomorrow.
Vyras nori žinoti tiesą.	The man wants to know the truth.
Ar aš galiu grįžti prie darbo?	Can I get back to work?
Ar jūs norite darbo?	Do you want a job?
Bet jam reikėjo darbo.	But he needed a job.
Dieve, padėk man!	My God, help me!
Liko tik viena diena, patinka tai mums ar ne.	There is only one day left, whether we like it or not.
Visą gyvenimą vyrai yra vaikai.	Men are children their whole life.
Yra vienas kelias.	There is one way.
Aš galiu kalbėti jūsų kalba.	I can speak your language.
Dievas yra visada teisus.	God is always right.
Kaip jums sekasi, panele?	How are you doing, miss?
Kur tu matei tas moteris?	Where did you see those women?
Mano draugas yra šalia manęs.	My friend is beside me.
Mes abu esame draugai.	We both are friends.
Šį kartą turėtum tą padaryti pats.	This time you should do it by yourself.
Vaikinai, man reikia eiti.	Guys, I gotta go.
Žiūrėk man į akis.	Look into my eyes.
Aš esu tavo brolis.	I'm your brother.
Aš galiu gyventi be vandens.	I can live without water.
Aš mačiau ją prieš savaitę.	I saw her a week ago.
Aš neturiu šeimos.	I have no family.
Aš nežinau kelio namo.	I don't know the way home.
Ji nagalėjo rasti kelio atgal.	She could not find her way back.
Jis mano geriausias draugas.	He is my best friend.
Jis yra mano brolis.	He is my brother.
Jūs esate mano tėvas.	You are my father.
Metas eiti.	It's time to go.
Šis vyras yra gyvas.	This man is alive.
Šiuo metu jo čia nėra.	He's not here right now.
Šiuo metu nieko negaliu pasakyti.	I can't say anything at this time.
Tai yra geriausias dalykas pasaulyje.	This is the best thing on earth.
Tu esi graži mergina.	You're a beautiful girl.
Visada sakyk tiesą.	Always tell the truth.
Ar jums nepatinka merginos?	Don't you like girls?
Ar tau nepatinka merginos?	Don't you like girls?
Aš esu didelis vaikas.	I'm a big child.
Aš manau, kad yra svarbu pasakyti tiesą.	I think it's important to tell the truth.
Aš nesu tavo motina.	I'm not your mother.
Aš nežinau, kas yra mano motina.	I don't know who my mother is.
Aš noriu merginos.	I want a girlfriend.
Aš turiu pakankamai pinigų.	I have enough money.
Galbūt tai ką tu pasakei yra tiesa.	Maybe what you said is true.
Jis buvo puikus žmogus.	He was a wonderful man.
Kad ir kaip būtų, tai ne tavo reikalas.	In any case, it's none of your business.
Mes turime pakankamai vandens.	We have enough water.
Ta mergina apie kurią aš tau sakiau gyvena čia.	The girl I told you about lives here.
Tas vyrukas yra mano draugas.	That guy's a friend of mine.
Tu esi puikus vaikinas.	You're a wonderful guy.
Vyrai turėtų dirbti.	Men should work.
Žmonės turėtų dirbti.	People ought to work.
Argi ne laikas jau eiti namo?	Isn't it about time to go home?
Argi ne tiesa kad tu turi ginklą?	Isn't it true that you own a gun?
Ar supranti ką aš turiu omeny?	Do you understand what I mean?
Ar žinai kelią?	Do you know the way?
Ar žinote kelią?	Do you know the way?
Aš nenorėjau pinigų.	I didn't want the money.
Aš turiu laiko, taigi aš tą padarysiu.	I have time, so I'll do it.
Aš turiu tris vaikus.	I have three children.
Berniukas nori žinoti tiesą.	The boy wants to know the truth.
Gyventi be oro yra neįmanoma.	To live without air is impossible.
Ji negali suprasti kitų žmonių.	She can't understand other people.
Kas yra svarbiausia gyvenime?	What's the most important in life?
Ką tu tuo turi omeny?	What do you mean by that?
Kitą kartą, aš padarysiu tą pati.	Next time, I'll do it myself.
Kitą kartą, aš padarysiu tą pats.	Next time, I'll do it myself.
Kokios jums reikia pagalbos?	What kind of help do you need?
Kokios pagalbos tau reikia?	What kind of help do you need?
Kokios tau reikia pagalbos?	What kind of help do you need?
Kuri komanda yra mūsų?	Which team is ours?
Šis berniukas yra jo brolis.	This boy is his brother.
Tai buvo geriausia mano gyvenimo diena.	That was the best day of my life.
Tas berniukas yra jo brolis.	That boy is his brother.
Abu jos sūnus mirė karo metu.	Both of her sons died during the war.
Ar kas nors žino kiek dabar valandų?	Does anybody know what hour it is?
Ar nežinai kelio?	Do you know the way?
Ar norėtum turėti daug pinigų?	Would you like to have lots of money?
Aš neturiu maisto.	I have no food.
Aš prisiekiu, Džonai.	I swear, John.
Aš tą darau be jokių problemų.	I do it without any problems.
Aš žinau jo vardą.	I know what his name is.
Atsiprašau, kiek dabar valandų?	Excuse me, what time is it?
Būtų nuostabu jei mes galėtume susitikti dar kartą.	It would be great if we could meet again.
Gyvenimas yra gražus.	Life is beautiful.
Ji dirba visą naktį.	She works all night.
Ji paliko savo vaikus.	She left her children.
Jis nebuvo toks gražus kaip ji man sakė.	He wasn't as handsome as she told me.
