Kõl kàs jì negãli atsispìrti keistam̃ knỹgos žãvesiui.	Kol kas ji negali atsispirti keistam knygos žavesiui.	Yet she was unable to withstand its strange fascination.	knygos	6	žavesys	Ncmsdn-	1mascIS
Nuõ galvõs ikì kójų pir̃štų àš sutvérta méilei	Nuo galvos iki kojų pirštų aš sutverta meilei	From head to toe l'm programmed forlove	meilei	7	meilė	Ncfsdn-	2femĖ
Paáiškinau vežìkui, kàd taĩ – ver̃slo reĩkalas.	Paaiškinau vežikui, kad tai – verslo reikalas.	I've explained to the driver that it's a matter of business with me.	vežikui	1	vežikas	Ncmsdn-	1mascIAS
Nežinaũ, kàs nutìko vežìkui ir̃ màno bagãžui...	Nežinau, kas nutiko vežikui ir mano bagažui...	I don't know what happened to the driver and my luggage and...	vežikui	4	vežikas	Ncmsdn-	1mascIAS
Nežinaũ, kàs nutìko vežìkui ir̃ màno bagãžui...	Nežinau, kas nutiko vežikui ir mano bagažui...	I don't know what happened to the driver and my luggage and...	bagažui	7	bagažas	Ncmsdn-	1mascIAS
Tikiúosi, pàėmiau pakañkamai etikèčių jū́sų bagãžui.	Tikiuosi, paėmiau pakankamai etikečių jūsų bagažui.	Why, uh, I hope I've brought enough labels for your luggage.	bagažui	6	bagažas	Ncmsdn-	1mascIAS
Palìksiu tavè tàvo grãfui ir̃ jõ sugriùvusiai abatìjai.	Paliksiu tave tavo grafui ir jo sugriuvusiai abatijai.	I'll leave you to your count and his ruined abbey.	grafui	3	grafas	Ncmsdn-	1mascIAS
Palìksiu tavè tàvo grãfui ir̃ jõ sugriùvusiai abatìjai.	Paliksiu tave tavo grafui ir jo sugriuvusiai abatijai.	I'll leave you to your count and his ruined abbey.	abatijai	7	abatija	Ncfsdn-	2femIA
Màno šauksmaĩ nãktį gãli trukdýti mìs Mìnai.	Mano šauksmai naktį gali trukdyti mis Minai.	My cries at night, they might disturb Miss Mina.	Minai	6	mina	Ncfsdn-	2femIA
Bèt tìk vãkar sãkei, kàd bijaĩ naktiẽs.	Bet tik vakar sakei, kad bijai nakties.	But only yesterday you said you were afraid of the night.	sakei	3	sakė	Ncfsdn-	2femĖ
Pasakýsi mãmai, kàd àš vė̃l šokinė́jau.	Pasakysi mamai, kad aš vėl šokinėjau.	Like your sister, you'll tell your mother that I was jumping again.	mamai	1	mama	Ncfsdn-	2femIA
Jéi ką̃ nórs pasakýsi mãmai, neválgysiu neĩ kąsnẽlio.	Jei ką nors pasakysi mamai, nevalgysiu nei kąsnelio.	If you say one word to mother, I won't eat a bite.	pasakysi	3	mama	Ncfsdn-	2femIA
Jìs niekadà taĩp negalvója, kaĩp kalbà mergìnai.	Jis niekada taip negalvoja, kaip kalba merginai.	He never means a word he says to any girl.	merginai	7	mergina	Ncfsdn-	2femIA
Priẽ stãlo mergìnai patarnáuja tìk ìš dviejų̃ pùsių.	Prie stalo merginai patarnauja tik iš dviejų pusių.	A girl hasn't got but two sides to her at a table.	merginai	2	mergina	Ncfsdn-	2femIA
Bùs labaĩ dìdelis skìrtumas daũgeliui džentelmènų.	Bus labai didelis skirtumas daugeliui džentelmenų.	It'll make a great difference to a great many gentlemen, sir.	daugeliui	4	daugelis	Ncmsdn-	1mascIS
Jìs neatródo pakañkamai geràs, mergìnai sù tókia...	Jis neatrodo pakankamai geras, merginai su tokia...	He doesn't strike me as good enough for a girl of your...	merginai	5	mergina	Ncfsdn-	2femIA
Poniõs, Konfederãcija prãšo paaukóti brangenýbes kilniam̃ reĩkalui.	Ponios, Konfederacija prašo paaukoti brangenybes kilniam reikalui.	Ladies, the Confederacy asks for your jewelry on behalf of our noble Cause.	reikalui	7	reikalas	Ncmsdn-	1mascIAS
Jìs padė̃s màno výrui daugiaũ, nebū́damas añt màno pir̃što.	Jis padės mano vyrui daugiau, nebūdamas ant mano piršto.	It may help my husband more off my finger.	vyrui	3	vyras	Ncmsdn-	1mascIAS
Dabar̃, põnios ir̃ põnai turiù staĩgmeną ligóninei.	Dabar, ponios ir ponai turiu staigmeną ligoninei.	And now, ladies and gentlemen... I have a startling surprise for the benefit of the hospital.	ligoninei	7	ligoninė	Ncfsdn-	2femĖ
Kìtą kartà atvèšiu jùms žãlio šil̃ko suknẽlei.	Kitą karta atvešiu jums žalio šilko suknelei.	Next trip I'll bring you some green silk for a frock to match it. - Oh, Rhett.	suknelei	6	suknelė	Ncfsdn-	2femĖ
