Nà, taĩp bū̃na nèt ir̃ geriáusiose šeimosè!	Na, taip būna net ir geriausiose šeimose!	Well, that happens in the best families!	geriausiose	6	šeima	Ncfpln-	2femIA
Bùs smagù pamatýti šviẽsą tuosè niūriuosè senuosè languosè.	Bus smagu pamatyti šviesą tuose niūriuose senuose languose.	Oh, it'll be a relief to see light in those dismal old windows.	languose	7	langas	Ncmpln-	1mascIAS
Žymùs mókslininkas, kuriõ var̃dą žìnome nètgi Transilvãnijos týruose.	Žymus mokslininkas, kurio vardą žinome netgi Transilvanijos tyruose.	A most distinguished scientist whose name we know... even in the wilds of Transylvania.	tyruose	8	tyras	Ncmpln-	1mascIAS
Profèsoriau, vampỹrai egzistúoja tìk gą̃sdinančiose istòrijose.	Profesoriau, vampyrai egzistuoja tik gąsdinančiose istorijose.	Professor, vampires only exist in ghost stories.	istorijose	6	istorija	Ncfpln-	2femIA
Mir̃site kančiosè, jéi jū́sų síela bùs sùtepta nekaltù kraujù.	Mirsite kančiose, jei jūsų siela bus sutepta nekaltu krauju.	You will die in torment if you die with innocent blood on your soul.	kančiose	1	kančia	Ncfpln-	2femIA
Pràeita kar̃tą mãtėmės màno výro namuosè.	Praeita kartą matėmės mano vyro namuose.	I met you last at my husband's home.	namuose	5	namai	Ncmpln-	1mascIAS
Jìs liẽpia mán gul̃tis žaliosè ganỹklose.	Jis liepia man gultis žaliose ganyklose.	He maketh me to lie down in green pastures.	ganyklose	5	ganykla	Ncfpln-	2femIA
Laĩkas suprastì, kàd įstãtymas - nè jū́sų rañkose.	Laikas suprasti, kad įstatymas - ne jūsų rankose.	It's time you rebels learned you can't take the law into your own hands.	rankose	8	ranka	Ncfpln-	2femIA
Ir̃ ją̃ priim̃s geriáusios šeimõs Pietuosè.	Ir ją priims geriausios šeimos Pietuose.	Yes, and her will be received by the best families in the South.	Pietuose	5	pietūs	Ncmpln-	
Àš žaidžiaũ visuosè lošìmų namuosè, nuõ Honolùlu ikì Berlýno.	Aš žaidžiau visuose lošimų namuose, nuo Honolulu iki Berlyno.	I have been in every gambling room from Honolulu to Berlin.	namuose	4	namai	Ncmpln-	1mascIAS
Mẽs jùk jaũ ẽsame bùvę, tokiosè situãcijose?	Mes juk jau esame buvę, tokiose situacijose?	We've been in difficult places before, haven't we?	situacijose	7	situacija	Ncfpln-	2femIA
