Vãkar valstiẽčiai àtnešė jį̃ į̃ ligóninę.	Vakar valstiečiai atnešė jį į ligoninę.	The peasants brought him into the hospital yesterday.	valstiečiai	1	valstietis	Ncmpnn-	1mascIS
- Pãnika añt bòrto - Trỹs výrai mìršta	- Panika ant borto - Trys vyrai miršta	- Panic on board - Three men dead already - mate out of his mind	vyrai	6	vyras	Ncmpnn-	1mascIAS
- Padėjė́jas išprotė́ja - Žiùrkės laĩvo triumè.	- Padėjėjas išprotėja - Žiurkės laivo triume.	- Rats in the hold - I fear the plague...	Žiurkės	4	žiurkė	Ncfpnn-	2femĖ
Nà, põnai, pažiūrė́kime, kõ dár išmókote.	Na, ponai, pažiūrėkime, ko dar išmokote.	Well gentlemen, let's see what else you have learned.	ponai	2	ponas	Ncmpnn-	1mascIAS
Výrą, tìkrą výrą Mán nusibódo jaunuõliai	Vyrą, tikrą vyrą Man nusibodo jaunuoliai	A man, a real man I'm fed up with the young ones	jaunuoliai	6	jaunuolis	Ncmpnn-	1mascIS
Jū́sų berniùkai turė́tų jùs tókį pamatýti.	Jūsų berniukai turėtų jus tokį pamatyti.	Your boys should see you like this.	berniukai	1	berniukas	Ncmpnn-	1mascIAS
Màno vestùvės taĩp pàt bùvo labaĩ grãžios.	Mano vestuvės taip pat buvo labai gražios.	My wedding was beautiful, too.	vestuvės	1	vestuvės	Ncfpnn-	2femĖ
Mẽs, kalnų̃ gyvéntojai, tikìme, kàd pilyjè ỹra vampỹrų!	Mes, kalnų gyventojai, tikime, kad pilyje yra vampyrų!	We people of the mountains believe... at the castle there are vampires!	gyventojai	3	gyventojas	Ncmpnn-	1mascIAS
Mãtote, teñ bùvo visì jū́sų põpieriai.	Matote, ten buvo visi jūsų popieriai.	You see, all your papers were in...	popieriai	6	popierius	Ncmpnn-	4masc
Màno šauksmaĩ nãktį gãli trukdýti mìs Mìnai.	Mano šauksmai naktį gali trukdyti mis Minai.	My cries at night, they might disturb Miss Mina.	šauksmai	1	šauksmas	Ncmpnn-	1mascIAS
Taĩp, šìtaip pažvel̃gtų ir̃ jū́sų ángliški daktaraĩ, jū́sų polìcija.	Taip, šitaip pažvelgtų ir jūsų angliški daktarai, jūsų policija.	Yes, and that is what your English doctors would say, your police.	daktarai	7	daktaras	Ncmpnn-	1mascIAS
Profèsoriau, vampỹrai egzistúoja tìk gą̃sdinančiose istòrijose.	Profesoriau, vampyrai egzistuoja tik gąsdinančiose istorijose.	Professor, vampires only exist in ghost stories.	vampyrai	2	vampyras	Ncmpnn-	1mascIAS
Tuõj diñgs paskutìniai sáulės spinduliaĩ, mùs vė̃l apgaũbs naktìs.	Tuoj dings paskutiniai saulės spinduliai, mus vėl apgaubs naktis.	The last rays of the day's sun will soon be gone, and another night will be upon us.	spinduliai	4	spindulys	Ncmpnn-	1mascIS
Daktarè, pamir̃štate, kàd beprõčiai labaĩ stìprūs.	Daktare, pamirštate, kad bepročiai labai stiprūs.	You forget, Doctor, that madmen have great strength.	bepročiai	5	beprotis	Ncmpnn-	1mascIS
Bèt visì màno válsai jaũ užimtì.	Bet visi mano valsai jau užimti.	If only I didn't have every one of them taken already.	valsai	3	valsas	Ncmpnn-	1mascIAS
Jéi táu nesvarbù, ką̃ sãko žmónės, taĩ mán svarbù!	Jei tau nesvarbu, ką sako žmonės, tai man svarbu!	If you don't care what folks says, I does!	žmonės	6	žmogus	Ncmpnn-	exception
Geraĩ išáuklėtos mergìnos tùri nusnū́sti per̃ póbūvius.	Gerai išauklėtos merginos turi nusnūsti per pobūvius.	Well-brought-up ladies takes naps at parties.	merginos	2	mergina	Ncfpnn-	2femIA
Situãcija pàprasta: jánkiai nesùgeba kariáuti, õ mẽs sùgebam.	Situacija paprasta: jankiai nesugeba kariauti, o mes sugebam.	The situation's very simple. The Yankees can't fight and we can.	jankiai	3	jankis	Ncmpnn-	1mascIS
Džentelmènai visadà kovója geriaũ ùž prasčiokùs.	Džentelmenai visada kovoja geriau už prasčiokus.	Gentlemen can always fight better than rabble.	Džentelmenai	0	džentelmenas	Ncmpnn-	1mascIAS
Tikiúosi, kàd jánkiai leĩs mùms išstotì ìš Są́jungos.	Tikiuosi, kad jankiai leis mums išstoti iš Sąjungos.	I hope the Yankees let us leave the Union in peace.	jankiai	3	jankis	Ncmpnn-	1mascIS
Kaĩ karaĩ pasibaĩgdavo, niẽkas nežinódavo, kodė̃l jiẽ kariãvo.	Kai karai pasibaigdavo, niekas nežinodavo, kodėl jie kariavo.	And when the wars were over, no one ever knew what they were about.	karai	1	karas	Ncmpnn-	1mascIAS
Dãrote užúominą, kàd jánkiai gãli mùms įkrėstì?	Darote užuominą, kad jankiai gali mums įkrėsti?	Are you hinting that the Yankees can lick us?	jankiai	4	jankis	Ncmpnn-	1mascIS
