Dúok mán sàvo pìnigus.	Duok man savo pinigus.	Give me your money.	pinigus	3	pinigas	Ncmpan-	1mascIAS
Àš niẽko nežinaũ apiẽ móteris.	Aš nieko nežinau apie moteris.	I know nothing about women.	moteris	4	moteris	Ncfpan-	3fem
Turiù dù sū́nus.	Turiu du sūnus.	I have two sons.	sūnus	2	sūnus	Ncmpan-	4masc
Žiūrė́k mán į̃ akìs.	Žiūrėk man į akis.	Look into my eyes.	akis	3	akis	Ncfpan-	3fem
Àš turiù trìs vaikùs.	Aš turiu tris vaikus.	I have three children.	vaikus	3	vaikas	Ncmpan-	1mascIAS
Jì palìko sàvo vaikùs.	Ji paliko savo vaikus.	She left her children.	vaikus	3	vaikas	Ncmpan-	1mascIAS
Jìs palìko pìnigus namiẽ.	Jis paliko pinigus namie.	He left the money at home.	pinigus	2	pinigas	Ncmpan-	1mascIAS
Výrai niẽko nežìno apiẽ móteris.	Vyrai nieko nežino apie moteris.	Men know nothing about women.	moteris	4	moteris	Ncfpan-	3fem
Àš nemačiaũ jõ kẽlias dienàs.	Aš nemačiau jo kelias dienas.	I haven't seen him in a few days.	dienas	4	diena	Ncfpan-	2femIA
Eĩk ir̃ atidarýk durìs.	Eik ir atidaryk duris.	Go and open the door.	duris	3	durys	Ncfpan-	3fem
Jìs ateĩna čià dù kartùs per̃ saváitę.	Jis ateina čia du kartus per savaitę.	He comes here twice a week.	kartus	4	kartas	Ncmpan-	1mascIAS
Taĩ àš, atidarýk durìs.	Tai aš, atidaryk duris.	It's me, open the door.	duris	4	durys	Ncfpan-	3fem
Dúok mán dvì minutès.	Duok man dvi minutes.	Give me two minutes.	minutes	3	minutė	Ncfpan-	2femĖ
Mùms nebùvo leñgva rastì jõ namùs.	Mums nebuvo lengva rasti jo namus.	It was not easy for us to find his house.	namus	5	namai	Ncmpan-	1mascIAS
Jìs palìko sàvo žmóną ir̃ vaikùs.	Jis paliko savo žmoną ir vaikus.	He left his wife and children.	vaikus	5	vaikas	Ncmpan-	1mascIAS
Laikýk sàvo rankàs vir̃š stãlo.	Laikyk savo rankas virš stalo.	Keep your hands above the table.	rankas	2	ranka	Ncfpan-	2femIA
Mẽs bùvome kartù tìk trìs mė́nesius.	Mes buvome kartu tik tris mėnesius.	We've only been together three months.	mėnesius	5	mėnuo	Ncmpan-	exception
Mán bùvo per̃ daũg gė́da pažiūrė́ti jái į̃ akìs.	Man buvo per daug gėda pažiūrėti jai į akis.	I was too embarrassed to look her in the eye.	akis	8	akis	Ncfpan-	3fem
Atnèšk visùs sàvo pìnigus.	Atnešk visus savo pinigus.	Bring all your money.	pinigus	3	pinigas	Ncmpan-	1mascIAS
Kadà jì pasãkė tuõs žodžiùs?	Kada ji pasakė tuos žodžius?	When did she say those words?	žodžius	4	žodis	Ncmpan-	1mascIS
Ar̃ padareĩ sàvo namų̃ dárbus pàts?	Ar padarei savo namų darbus pats?	Did you do your homework by yourself?	darbus	4	darbas	Ncmpan-	1mascIAS
Àš negaliù įsivaizdúoti kàd tù galė́tum pasakýti tókius dalykùs.	Aš negaliu įsivaizduoti kad tu galėtum pasakyti tokius dalykus.	I can't imagine that you could say such things.	dalykus	8	dalykas	Ncmpan-	1mascIAS
Mán reĩkia sù tavim̃ pasikalbė́ti akìs į̃ ãkį.	Man reikia su tavim pasikalbėti akis į akį.	I need to talk to you in person.	akis	5	akis	Ncfpan-	3fem
Àš galiù jùms paródyti dokumentùs.	Aš galiu jums parodyti dokumentus.	I can show the documents to you.	dokumentus	4	dokumentas	Ncmpan-	1mascIAS
Àš galiù paródyti jùms núotraukas.	Aš galiu parodyti jums nuotraukas.	I can show you the pictures.	nuotraukas	4	nuotrauka	Ncfpan-	2femIA
Àš galiù paródyti táu núotraukas.	Aš galiu parodyti tau nuotraukas.	I can show you the pictures.	nuotraukas	4	nuotrauka	Ncfpan-	2femIA
Àš galiù táu paródyti dokumentùs.	Aš galiu tau parodyti dokumentus.	I can show the documents to you.	dokumentus	4	dokumentas	Ncmpan-	1mascIAS
Àš mýliu visùs sàvo draugùs.	Aš myliu visus savo draugus.	I love my friends.	draugus	4	draugas	Ncmpan-	1mascIAS
Mẽs turė́sime lauktì penkiàs vãlandas.	Mes turėsime laukti penkias valandas.	We'll have to wait for five hours.	valandas	4	valanda	Ncfpan-	2femIA
Prašaũ paláuk penkiàs minutès.	Prašau palauk penkias minutes.	Please wait five minutes.	minutes	3	minutė	Ncfpan-	2femĖ
Tòmas pàvogė màno pìnigus.	Tomas pavogė mano pinigus.	Tom stole my money.	pinigus	3	pinigas	Ncmpan-	1mascIAS
Tù tùri atsakýti šiuõs kláusimus.	Tu turi atsakyti šiuos klausimus.	You must answer these questions.	klausimus	4	klausimas	Ncmpan-	1mascIAS
Ar̃ žinaĩ kur̃ Tòmas padė́jo raktùs?	Ar žinai kur Tomas padėjo raktus?	Do you know where Tom put the keys?	raktus	5	raktas	Ncmpan-	1mascIAS
Àš radaũ sàvo batùs.	Aš radau savo batus.	I found my shoes.	batus	3	batas	Ncmpan-	1mascIAS
Ìš kur̃ tù tùri visùs tuõs raktùs?	Iš kur tu turi visus tuos raktus?	Where did you get all those keys?	raktus	6	raktas	Ncmpan-	1mascIAS
Prãšome palauktì penkiàs minutès.	Prašome palaukti penkias minutes.	Please wait for five minutes.	minutes	3	minutė	Ncfpan-	2femĖ
Kókius žmónes mė́gsti labiáusiai?	Kokius žmones mėgsti labiausiai?	What kind of people do you like best?	žmones	1	žmogus	Ncmpan-	exception
Uždarýk vartùs.	Uždaryk vartus.	Lock the gate.	vartus	1	vartai	Ncmpan-	1mascIAS
Àš daviaũ sàvo knygàs tíems žmonė́ms.	Aš daviau savo knygas tiems žmonėms.	I gave my books to those people.	knygas	3	knyga	Ncfpan-	2femIA
Bóbas gãli atsakýti į̃ visùs kláusimus.	Bobas gali atsakyti į visus klausimus.	Bob can answer all the questions.	Bobas	0	boba	Ncfpan-	2femIA
Bóbas gãli atsakýti į̃ visùs kláusimus.	Bobas gali atsakyti į visus klausimus.	Bob can answer all the questions.	klausimus	5	klausimas	Ncmpan-	1mascIAS
Bóbas rãšo mán kar̃tą į̃ mė́nesį.	Bobas rašo man kartą į mėnesį.	Bob writes to me once a month.	Bobas	0	boba	Ncfpan-	2femIA
Bóbas ỹra màno draũgas.	Bobas yra mano draugas.	Bob is my friend.	Bobas	0	boba	Ncfpan-	2femIA
Kažkàs palìko durìs ãtviras.	Kažkas paliko duris atviras.	Someone must have left the door open.	duris	2	durys	Ncfpan-	3fem
Kókias vietàs norė́tum pamatýti?	Kokias vietas norėtum pamatyti?	What kind of places would you like to see?	vietas	1	vieta	Ncfpan-	2femIA
Kókias vietàs tù mė́gsti?	Kokias vietas tu mėgsti?	What kind of places do you like?	vietas	1	vieta	Ncfpan-	2femIA
Kur̃ tù mãtai knygàs?	Kur tu matai knygas?	Where do you see the books?	knygas	3	knyga	Ncfpan-	2femIA
Màno tė́vas paprãšė manę̃s atidarýti durìs.	Mano tėvas paprašė manęs atidaryti duris.	My father asked me to open the door.	duris	5	durys	Ncfpan-	3fem
Prašaũ uždarýti durìs.	Prašau uždaryti duris.	Please shut the door.	duris	2	durys	Ncfpan-	3fem
Ỹra svarbù skaitýti knygàs.	Yra svarbu skaityti knygas.	It's important to read books.	knygas	3	knyga	Ncfpan-	2femIA
Ar̃ esì pasiruõšęs išgirstì blogàs žiniàs?	Ar esi pasiruošęs išgirsti blogas žinias?	Are you ready to hear the bad news?	žinias	5	žinios	Ncfpan-	2femIA
Ar̃ esì pasiruõšusi išgirstì blogàs žiniàs?	Ar esi pasiruošusi išgirsti blogas žinias?	Are you ready to hear the bad news?	žinias	5	žinios	Ncfpan-	2femIA
Àš gavaũ tàs žiniàs tìk vãkar.	Aš gavau tas žinias tik vakar.	It was not until yesterday that I got the news.	žinias	3	žinios	Ncfpan-	2femIA
Àš norė́čiau pamatýti sàvo tėvùs.	Aš norėčiau pamatyti savo tėvus.	I'd like to see my parents.	tėvus	4	tėvai	Ncmpan-	1mascIAS
Jiẽ atvỹko į̃ Amèriką priẽš keliàs dienàs.	Jie atvyko į Ameriką prieš kelias dienas.	They arrived in America a few days ago.	dienas	6	diena	Ncfpan-	2femIA
Kaĩ jì čià atvažiuõs, pasakýk jái kàd àš pamiršaũ atneštì knygàs.	Kai ji čia atvažiuos, pasakyk jai kad aš pamiršau atnešti knygas.	When she comes here, tell her that I forgot to bring the books.	knygas	11	knyga	Ncfpan-	2femIA
Kuriàs núotraukas jì pasiriñko?	Kurias nuotraukas ji pasirinko?	Which photos did she choose?	nuotraukas	1	nuotrauka	Ncfpan-	2femIA
Markàs pasìėmė sàvo dáiktus ir̃ išė̃jo.	Markas pasiėmė savo daiktus ir išėjo.	Mark took his stuff and left.	daiktus	3	daiktas	Ncmpan-	1mascIAS
Pažį́stu tàs merginàs.	Pažįstu tas merginas.	I know those girls.	merginas	2	mergina	Ncfpan-	2femIA
Àš turiù júodas akìs.	Aš turiu juodas akis.	I have black eyes.	akis	3	akis	Ncfpan-	3fem
Màno vaikùs àtėmė ìš manę̃s.	Mano vaikus atėmė iš manęs.	My children were taken away from me.	vaikus	1	vaikas	Ncmpan-	1mascIAS
Àš daraũ tìlto núotraukas.	Aš darau tilto nuotraukas.	I am taking pictures of the bridge.	nuotraukas	3	nuotrauka	Ncfpan-	2femIA
Àš pérskaičiau kẽturias naujàs knygàs.	Aš perskaičiau keturias naujas knygas.	I read four new books.	knygas	4	knyga	Ncfpan-	2femIA
Neįmãnoma šìtą pabaigtì per̃ dvì dienàs.	Neįmanoma šitą pabaigti per dvi dienas.	It is impossible to finish this in two days.	dienas	5	diena	Ncfpan-	2femIA
Taĩp! Àš laimė́jau dù kartùs ìš eĩlės!	Taip! Aš laimėjau du kartus iš eilės!	Yes! I won twice in a row!	kartus	5	kartas	Ncmpan-	1mascIAS
Ar̃ rãdote sàvo láiškus?	Ar radote savo laiškus?	Did you find your letters?	laiškus	3	laiškas	Ncmpan-	1mascIAS
Griẽbk sàvo dáiktus.	Griebk savo daiktus.	Grab your stuff.	daiktus	2	daiktas	Ncmpan-	1mascIAS
Grį̃žkite į̃ sàvo vietàs.	Grįžkite į savo vietas.	Go back to your seats.	vietas	3	vieta	Ncfpan-	2femIA
Katė̃ tùri dvì ausìs.	Katė turi dvi ausis.	A cat has two ears.	ausis	3	ausis	Ncfpan-	3fem
Mán sunkù paáiškinti sàvo veiksmùs.	Man sunku paaiškinti savo veiksmus.	It's hard for me to explain my actions.	veiksmus	4	veiksmas	Ncmpan-	1mascIAS
Šiẽ var̃tai ỹra uždarýti visùs metùs.	Šie vartai yra uždaryti visus metus.	The gate is closed all the year round.	metus	5	metai	Ncmpan-	1mascIAS
Tòmas nenorė́jo niẽko žinóti apiẽ màno problemàs.	Tomas nenorėjo nieko žinoti apie mano problemas.	Tom didn't want to know about my problems.	problemas	6	problema	Ncfpan-	2femIA
Tù skaitaĩ màno mintìs.	Tu skaitai mano mintis.	You are reading my thoughts.	mintis	3	mintis	Ncfpan-	3fem
Ỹra rýtas. Vaikaĩ válgo pùsryčius.	Yra rytas. Vaikai valgo pusryčius.	It is morning. The children are eating breakfast.	pusryčius	5	pusrytis	Ncmpan-	1mascIS
Àš dúosiu táu penkìs dólerius.	Aš duosiu tau penkis dolerius.	I'll give you five dollars.	dolerius	4	doleris	Ncmpan-	1mascIS
Àš mýliu šunìs.	Aš myliu šunis.	I love dogs.	šunis	2	šuo	Ncmpan-	exception
Atvèsk tuõs výrus čià.	Atvesk tuos vyrus čia.	Bring those men here.	vyrus	2	vyras	Ncmpan-	1mascIAS
Įdomù žiūrė́ti į̃ žvaigždès.	Įdomu žiūrėti į žvaigždes.	It is interesting to watch stars.	žvaigždes	3	žvaigždė	Ncfpan-	2femĖ
Jì bùvo pirmóji mergáitė kurì laimė́jo tàs varžýbas.	Ji buvo pirmoji mergaitė kuri laimėjo tas varžybas.	She was the first girl to win that contest.	varžybas	7	varžybos	Ncfpan-	2femIA
Kókius fìlmus Tòmas mė́gsta?	Kokius filmus Tomas mėgsta?	What kind of movies does Tom like?	filmus	1	filmas	Ncmpan-	1mascIAS
Màno mamà tùri trìs šunìs.	Mano mama turi tris šunis.	My mum has three dogs.	šunis	4	šuo	Ncmpan-	exception
Miegójau tìk dvì vãlandas.	Miegojau tik dvi valandas.	I only slept two hours.	valandas	3	valanda	Ncfpan-	2femIA
