Dúok mán sàvo pìnigus.	Duok man savo pinigus.	Give me your money.	pinigus	3	pinigas	Ncmpan-
Àš niẽko nežinaũ apiẽ móteris.	Aš nieko nežinau apie moteris.	I know nothing about women.	moteris	4	moteris	Ncfpan-
Turiù dù sū́nus.	Turiu du sūnus.	I have two sons.	sūnus	2	sūnus	Ncmpan-
Žiūrė́k mán į̃ akìs.	Žiūrėk man į akis.	Look into my eyes.	akis	3	akis	Ncfpan-
Àš turiù trìs vaikùs.	Aš turiu tris vaikus.	I have three children.	vaikus	3	vaikas	Ncmpan-
Jì palìko sàvo vaikùs.	Ji paliko savo vaikus.	She left her children.	vaikus	3	vaikas	Ncmpan-
Jìs palìko pìnigus namiẽ.	Jis paliko pinigus namie.	He left the money at home.	pinigus	2	pinigas	Ncmpan-
Výrai niẽko nežìno apiẽ móteris.	Vyrai nieko nežino apie moteris.	Men know nothing about women.	moteris	4	moteris	Ncfpan-
Àš nemačiaũ jõ kẽlias dienàs.	Aš nemačiau jo kelias dienas.	I haven't seen him in a few days.	dienas	4	diena	Ncfpan-
Eĩk ir̃ atidarýk durìs.	Eik ir atidaryk duris.	Go and open the door.	duris	3	durys	Ncfpan-
Jìs ateĩna čià dù kartùs per̃ saváitę.	Jis ateina čia du kartus per savaitę.	He comes here twice a week.	kartus	4	kartas	Ncmpan-
Taĩ àš, atidarýk durìs.	Tai aš, atidaryk duris.	It's me, open the door.	duris	4	durys	Ncfpan-
Dúok mán dvì minutès.	Duok man dvi minutes.	Give me two minutes.	minutes	3	minutė	Ncfpan-
Mùms nebùvo leñgva rastì jõ namùs.	Mums nebuvo lengva rasti jo namus.	It was not easy for us to find his house.	namus	5	namai	Ncmpan-
Jìs palìko sàvo žmóną ir̃ vaikùs.	Jis paliko savo žmoną ir vaikus.	He left his wife and children.	vaikus	5	vaikas	Ncmpan-
Laikýk sàvo rankàs vir̃š stãlo.	Laikyk savo rankas virš stalo.	Keep your hands above the table.	rankas	2	ranka	Ncfpan-
Mẽs bùvome kartù tìk trìs mė́nesius.	Mes buvome kartu tik tris mėnesius.	We've only been together three months.	mėnesius	5	mėnuo	Ncmpan-
Mán bùvo per̃ daũg gė́da pažiūrė́ti jái į̃ akìs.	Man buvo per daug gėda pažiūrėti jai į akis.	I was too embarrassed to look her in the eye.	akis	8	akis	Ncfpan-
Atnèšk visùs sàvo pìnigus.	Atnešk visus savo pinigus.	Bring all your money.	pinigus	3	pinigas	Ncmpan-
Kadà jì pasãkė tuõs žodžiùs?	Kada ji pasakė tuos žodžius?	When did she say those words?	žodžius	4	žodis	Ncmpan-
Ar̃ padareĩ sàvo namų̃ dárbus pàts?	Ar padarei savo namų darbus pats?	Did you do your homework by yourself?	darbus	4	darbas	Ncmpan-
Àš negaliù įsivaizdúoti kàd tù galė́tum pasakýti tókius dalykùs.	Aš negaliu įsivaizduoti kad tu galėtum pasakyti tokius dalykus.	I can't imagine that you could say such things.	dalykus	8	dalykas	Ncmpan-
Mán reĩkia sù tavim̃ pasikalbė́ti akìs į̃ ãkį.	Man reikia su tavim pasikalbėti akis į akį.	I need to talk to you in person.	akis	5	akis	Ncfpan-
Àš galiù jùms paródyti dokumentùs.	Aš galiu jums parodyti dokumentus.	I can show the documents to you.	dokumentus	4	dokumentas	Ncmpan-
Àš galiù paródyti jùms núotraukas.	Aš galiu parodyti jums nuotraukas.	I can show you the pictures.	nuotraukas	4	nuotrauka	Ncfpan-
Àš galiù paródyti táu núotraukas.	Aš galiu parodyti tau nuotraukas.	I can show you the pictures.	nuotraukas	4	nuotrauka	Ncfpan-
Àš galiù táu paródyti dokumentùs.	Aš galiu tau parodyti dokumentus.	I can show the documents to you.	dokumentus	4	dokumentas	Ncmpan-
Àš mýliu visùs sàvo draugùs.	Aš myliu visus savo draugus.	I love my friends.	draugus	4	draugas	Ncmpan-
Mẽs turė́sime lauktì penkiàs vãlandas.	Mes turėsime laukti penkias valandas.	We'll have to wait for five hours.	valandas	4	valanda	Ncfpan-
Prašaũ paláuk penkiàs minutès.	Prašau palauk penkias minutes.	Please wait five minutes.	minutes	3	minutė	Ncfpan-
Tòmas pàvogė màno pìnigus.	Tomas pavogė mano pinigus.	Tom stole my money.	pinigus	3	pinigas	Ncmpan-
Tù tùri atsakýti šiuõs kláusimus.	Tu turi atsakyti šiuos klausimus.	You must answer these questions.	klausimus	4	klausimas	Ncmpan-
Ar̃ žinaĩ kur̃ Tòmas padė́jo raktùs?	Ar žinai kur Tomas padėjo raktus?	Do you know where Tom put the keys?	raktus	5	raktas	Ncmpan-
Àš radaũ sàvo batùs.	Aš radau savo batus.	I found my shoes.	batus	3	batas	Ncmpan-
Ìš kur̃ tù tùri visùs tuõs raktùs?	Iš kur tu turi visus tuos raktus?	Where did you get all those keys?	raktus	6	raktas	Ncmpan-
Prãšome palauktì penkiàs minutès.	Prašome palaukti penkias minutes.	Please wait for five minutes.	minutes	3	minutė	Ncfpan-
Kókius žmónes mė́gsti labiáusiai?	Kokius žmones mėgsti labiausiai?	What kind of people do you like best?	žmones	1	žmogus	Ncmpan-
Uždarýk vartùs.	Uždaryk vartus.	Lock the gate.	vartus	1	vartai	Ncmpan-
Àš daviaũ sàvo knygàs tíems žmonė́ms.	Aš daviau savo knygas tiems žmonėms.	I gave my books to those people.	knygas	3	knyga	Ncfpan-
Bóbas gãli atsakýti į̃ visùs kláusimus.	Bobas gali atsakyti į visus klausimus.	Bob can answer all the questions.	Bobas	0	boba	Ncfpan-
Bóbas gãli atsakýti į̃ visùs kláusimus.	Bobas gali atsakyti į visus klausimus.	Bob can answer all the questions.	klausimus	5	klausimas	Ncmpan-
Bóbas rãšo mán kar̃tą į̃ mė́nesį.	Bobas rašo man kartą į mėnesį.	Bob writes to me once a month.	Bobas	0	boba	Ncfpan-
Bóbas ỹra màno draũgas.	Bobas yra mano draugas.	Bob is my friend.	Bobas	0	boba	Ncfpan-
Kažkàs palìko durìs ãtviras.	Kažkas paliko duris atviras.	Someone must have left the door open.	duris	2	durys	Ncfpan-
Kókias vietàs norė́tum pamatýti?	Kokias vietas norėtum pamatyti?	What kind of places would you like to see?	vietas	1	vieta	Ncfpan-
Kókias vietàs tù mė́gsti?	Kokias vietas tu mėgsti?	What kind of places do you like?	vietas	1	vieta	Ncfpan-
Kur̃ tù mãtai knygàs?	Kur tu matai knygas?	Where do you see the books?	knygas	3	knyga	Ncfpan-
