Tai viskas.	That is all.
Viskas yra gerai.	All is well.
Ar ji jau čia?	Is she here yet?
Tai labai gerai.	It's very good.
Kas ten?	Who's there?
Bet kodėl?	But why?
Kodėl aš?	Why me?
Kodėl ne?	Why not?
Kodėl?	Why?
Dar kas nors?	Anything else?
Tai ne mūsų.	This is not ours.
Ačiū, tai viskas.	Thanks, that's all.
Ačiū!	Thanks!
Ar tu tikrai to nori?	Do you really want it?
Kaip nori.	As you wish.
Labai tau ačiū.	Thank you very much!
Ne, ačiū.	No, thanks.
Tikrai?	Really?
Dar ko nors?	Anything else?
Ko jam reikia?	What is he after?
Labai jums ačiū!	Thank you very much!
O kaip dėl manęs?	What about me?
Ar žinai, kas jie?	Do you know who they are?
Dar ko nors, pone?	Anything else, sir?
Tu žinai tai.	You know that.
Aš žinau.	I know.
Aš žinau kad tu žinai kad aš žinau.	I know that you know that I know.
Čia nieko nėra.	There is nothing here.
Jie dar nėra čia.	They aren't here yet.
Jos nėra.	She is absent.
Man tavęs reikia.	I need you.
Po tavęs.	After you.
Taip, žinau.	Yes, I know.
Aš turiu viską.	I have everything.
Aš žinau apie tave viską.	I know all about you.
Iki.	Bye.
Prašau?	Pardon me?
Taip, prašau.	Yes, please.
Tu turi viską.	You have everything.
Ar tu vienas?	Are you alone?
Aš čia nežinau nieko.	I know no one here.
Aš nežinau.	I don't know.
Aš nieko nežinau apie tai.	I don't know anything about that.
Aš noriu būti vienas!	I want to be alone!
Labas.	Hello!
Nežinau ar tai yra gerai.	I don't know if it is good.
Tai mano. Aš nežinau, kur jos.	That is mine. I don't know where hers is.
Tai ne jų.	This is not theirs.
Žinau, kad nieko nežinau.	I know that I know nothing.
Aš negaliu.	I can't.
Aš taip pat to noriu!	I also want it!
O Dieve!	Oh, my God!
Kas jis toks?	Who is he?
Kiek tai?	How much is it?
Taip, žinoma.	Yes, of course.
Žinoma!	Certainly.
Žinoma.	Of course.
Žinoma tai ji.	Of course it's her.
Ar tai tiesa?	Is that true?
Aš nežinau kada jis bus čia.	I don't know when he'll be here.
Aš nežinau ką dar pasakyti.	I don't know what else to say.
Aš nežinau ką pasakyti.	I don't know what to say.
Aš nežinau kuris yra kuris.	I don't know which is which.
Aš tiesiog nežinau ką pasakyti.	I just don't know what to say.
Aš tiesiog nežinau ką pasakyti...	I simply don't know what to say...
Aš vieną jų turiu.	I've got one of these.
Atsiprašau.	Excuse me.
Atsiprašau?	Pardon me?
Bet tai tiesa!	But it's true!
Dabar nieko negaliu pasakyti.	I can't say anything at this time.
Galiu tau pasakyti tik tai, ką žinau.	I can only tell you what I know.
Gerai. Atsiprašau.	Okay. Sorry.
Jei ne dabar, tada kada?	If not now, then when?
Jei ne dabar, tai kada?	If not now, when?
Kaip pasakyti... ?	How do you say...?
Kaip tą pasakyti?	How to say it?
Ką tu nori pasakyti?	What do you want to say?
Kur dabar esi?	Where are you now?
Manau, kad tai esi tu.	I think that it's you.
Tai tiesa, ar ne?	That's true, isn't it?
Tai yra tiesa.	That's true.
Tu esi man viskas.	You are everything to me.
Eik!	Go!
Geriau jau eik.	You'd better go.
Geriau nei niekas	Tom apologized on Mary's behalf.
Ką tu tuo nori pasakyti?	What do you mean by that?
Kuo daugiau, tuo geriau.	The more, the better.
Kuo daugiau turi, tuo daugiau nori.	The more you have, the more you want.
Kuo daugiau žmonės turi, tuo daugiau jie nori.	The more people have, the more they want.
Mes turime viską.	We have everything.
Ne, tai negali būti tiesa.	No, it cannot be true.
Tai negali būti tiesa.	That can't be true.
Atleisk man.	Forgive me.
Atleisk man, prašau!	Forgive me, please!
Atsiprašau, kiek dabar laiko?	Excuse me, what time is it?
Dabar arba niekada.	It's now or never.
Greičiau!	Hurry!
Jeigu nori.	If you want.
Kiek tau metų?	How old are you?
Mes dar turime daug laiko.	We still have plenty of time.
Mes turime laiko.	We've got time.
Prašau atleisk man.	Please forgive me.
Prašau, atleisk man.	Please, forgive me.
Ar aš tai turiu padaryti dabar?	Do I have to do this now?
Ar galiu tą padaryti dabar?	May I do it right now?
Ar yra kažkas, ką tu nori mums pasakyti?	Is there something you want to tell us?
Aš galiu padaryti geriau.	I can do better.
Aš galiu tai padaryti pats.	I can do it by myself.
Aš nežinau koks jis per žmogus.	I don't know what kind of person he is.
Čia puiku.	It's great out here.
