[er, ė]	[er̃, ė]	1.0
[y, iai]	[ý, iai]	0.3333333333333333
[uei, u]	[uei, ù]	1.0
[ir, u, a]	[ìr, u, a]	1.0
[o, i, ą]	[ò, i, ą]	0.29411764705882354
[u, ią]	[u, ią̃]	0.8461538461538461
[u, o, ė, o]	[u, o, ė́, o]	1.0
[ė, i]	[ė̃, i]	0.40540540540540543
[au, o, a, a]	[au, ó, a, a]	1.0
[e, o, a, a]	[e, o, ã, a]	1.0
[a, a, ei]	[a, a, eĩ]	1.0
[a, e, ai]	[a, e, aĩ]	1.0
[u, iam]	[u, iám]	1.0
[e, i, au, ė]	[e, i, aũ, ė]	1.0
[e, i, o, ė]	[e, i, o, ė́]	0.3333333333333333
[į, iu]	[į̃, iu]	1.0
[a, e, i, o]	[a, e, ì, o]	0.6666666666666666
[ai, a, iu]	[aĩ, a, iu]	1.0
[ė, iau]	[ė, iaũ]	0.3333333333333333
[a, ie, a]	[ã, ie, a]	1.0
[uo, a, u]	[uo, a, ù]	1.0
[a, i, a]	[a, i, à]	0.25925925925925924
[ai, io, o]	[aĩ, io, o]	1.0
[į, o, ė]	[į, ó, ė]	0.5
[am, a]	[am, à]	0.1
[au, i, ų]	[áu, i, ų]	1.0
[uo, in, ą]	[uo, ìn, ą]	1.0
[y, y, ė]	[y, ý, ė]	1.0
[u, e, i]	[u, e, ì]	0.8
[i, y, i]	[i, y, ì]	0.4
[ui, i]	[ui, ì]	1.0
[au, an]	[aũ, an]	0.3333333333333333
[u, i, ė]	[ù, i, ė]	1.0
[e, a]	[è, a]	0.10714285714285714
[er, a, ei]	[ér, a, ei]	1.0
[e, e]	[e, è]	1.0
[u, uo]	[u, uõ]	1.0
[į, ei, ė]	[į̃, ei, ė]	1.0
[an, au]	[an, aũ]	1.0
[au, i, o]	[áu, i, o]	0.75
[u, a, y, e]	[ù, a, y, e]	1.0
[iau, in, a]	[iau, ìn, a]	1.0
[e, ė, i, o]	[e, ė́, i, o]	1.0
[i, il, y]	[i, ìl, y]	1.0
[en, io, i, a]	[en, ió, i, a]	1.0
[an, ių]	[an, ių̃]	1.0
[o, y, a]	[ó, y, a]	0.1
[i, y, ė, i]	[i, y, ė́, i]	1.0
[a, a, io, e]	[a, a, io, è]	1.0
[en, a]	[én, a]	0.0625
[ė, e, iu]	[ė́, e, iu]	1.0
[al, o]	[al, õ]	0.5102040816326531
[ei, i, o]	[ei, ì, o]	1.0
[iū, o]	[iū̃, o]	0.5
[e, ė, i, ų]	[e, ė́, i, ų]	1.0
[a, ie, ė]	[à, ie, ė]	1.0
[ė, į]	[ė́, į]	0.1111111111111111
[am, u, io]	[am, ù, io]	1.0
[i, ė, ę]	[i, ė́, ę]	1.0
[ar, i, o, i]	[ar̃, i, o, i]	1.0
[u, en]	[u, eñ]	1.0
[o, ie, i, ę]	[o, ie, ì, ę]	1.0
[a, en, in, i]	[a, én, in, i]	1.0
[a, i, a, iau]	[ã, i, a, iau]	0.6666666666666666
[į, al, in, i]	[į, ál, in, i]	1.0
[o, i, in, ai]	[ó, i, in, ai]	1.0
[au, ą]	[aũ, ą]	0.9565217391304348
[ir, ė, ą]	[ir, ė́, ą]	1.0
[i, a]	[i, à]	0.5254237288135594
[ie, u, ą]	[ie, ù, ą]	0.6666666666666666
[i, ur]	[i, ur̃]	1.0
[į, a, ar]	[į, ã, ar]	1.0
[i, io, in]	[i, io, ìn]	1.0
[a, i]	[à, i]	0.013157894736842105
[al, o, a]	[al, ó, a]	0.75
[y, a]	[ý, a]	0.04979253112033195
[ie, a, a, om]	[ie, a, ã, om]	1.0
[a, ien]	[a, iẽn]	1.0
[a, y, u, ė, e]	[a, ý, u, ė, e]	1.0
[ei, u]	[ei, ù]	0.5757575757575758
[ar, y]	[ar, ỹ]	1.0
[ie, a, ie]	[ie, a, iẽ]	1.0
[įei, an, ią]	[įeĩ, an, ią]	1.0
[ir, u, ė, e]	[ir, ù, ė, e]	1.0
[an, iai]	[an, iaĩ]	1.0
[a, i, o, i, au]	[a, i, õ, i, au]	1.0
[ei, a, a]	[ei, a, à]	0.3333333333333333
[u, ū, ė]	[u, ū́, ė]	1.0
[u, i, o]	[u, ì, o]	0.6
[un, u]	[un, ù]	1.0
[e, a, e, ė, au]	[e, a, e, ė́, au]	1.0
[o, į]	[ò, į]	0.030303030303030304
[a, in, o]	[a, iñ, o]	0.8888888888888888
[o, o, e]	[o, o, è]	0.13333333333333333
[u, e, e]	[u, e, è]	1.0
[e, i, in, i, an, iu]	[e, i, ìn, i, an, iu]	1.0
[ą, ai, ą]	[ą́, ai, ą]	1.0
[ar, ū, o]	[ar, ū̃, o]	1.0
[a, a, y, o]	[a, ã, y, o]	1.0
[i, o, y]	[i, ó, y]	1.0
[į, a, ai]	[į, a, aĩ]	1.0
[ai, in, ą]	[ai, ìn, ą]	1.0
[au, o, o, i, iu]	[au, o, o, i, iù]	1.0
[i, iu, ę]	[i, iù, ę]	1.0
[a, o, e, o]	[a, o, è, o]	1.0
[ą, o]	[ą, õ]	1.0
[au, o, o, i, iai]	[au, o, o, ì, iai]	1.0
[a, o, a, e]	[a, o, a, è]	1.0
[u, ier, i, ę]	[u, iér, i, ę]	1.0
[o, ur, u]	[o, ùr, u]	1.0
[ai, ai]	[ai, aĩ]	0.875
[e, i, e, a]	[e, ì, e, a]	1.0
[ė, io]	[ė́, io]	0.16666666666666666
[ė, i, ai]	[ė, ì, ai]	1.0
[e, y, e]	[ẽ, y, e]	1.0
[ai, o]	[ái, o]	0.09523809523809523
[u, i, a]	[u, i, à]	0.08333333333333333
[u, al, o, o]	[u, al, ó, o]	1.0
[a, in, a]	[a, in, à]	0.05263157894736842
[i, u, i, i]	[i, u, ì, i]	1.0
[u, i, ir, ai]	[u, i, ir, aĩ]	1.0
[al, o, ą]	[al, ò, ą]	1.0
[e, o, ai]	[e, ó, ai]	0.2
[un, au]	[un, aũ]	1.0
[a, e, e]	[a, e, è]	1.0
[a, i, ei, i, au]	[a, i, éi, i, au]	1.0
[a, y, ai]	[a, ỹ, ai]	0.5
[or, i, o, e]	[òr, i, o, e]	1.0
[or, ų]	[õr, ų]	0.5
[a, ei, u]	[a, ei, ù]	1.0
[e, a, į]	[e, ã, į]	1.0
[a, y, ė, e]	[a, ý, ė, e]	1.0
[iau, ė, i]	[iáu, ė, i]	1.0
[a, i, an, a]	[a, i, án, a]	1.0
[e, im, e, į]	[e, im̃, e, į]	1.0
[au, o, a]	[au, ó, a]	1.0
[y, ė, o]	[y, ė́, o]	1.0
[ar, iau, ia]	[ar, iáu, ia]	1.0
[a, o, e, a]	[a, o, e, à]	1.0
[ar, i, ių]	[ar, i, ių̃]	1.0
[e, ę]	[ẽ, ę]	0.3333333333333333
[in, i, ie, iu]	[in, i, ie, iù]	0.5
[y, ė, ų]	[y, ė́, ų]	1.0
[ar, į]	[ár, į]	1.0
[e, u, e, ė, o]	[e, u, e, ė́, o]	1.0
[e, iau, io]	[e, iáu, io]	1.0
[a, en, ą]	[à, en, ą]	0.3333333333333333
[aė, u]	[aė̃, u]	1.0
[e, ei]	[e, éi]	0.5555555555555556
[a, y]	[ã, y]	0.34782608695652173
[u, ar, o, i, ą]	[u, ar, ó, i, ą]	1.0
[a, ai, i]	[a, ai, ì]	0.5
[i, a, ų]	[i, ã, ų]	1.0
[i, a, i, o, e]	[i, ã, i, o, e]	1.0
[a, a, ą]	[ã, a, ą]	0.7777777777777778
[i, a, i, a]	[i, a, ì, a]	0.5
[i, o, ė, o]	[i, o, ė́, o]	1.0
[ū, ei, iai]	[ū, eĩ, iai]	1.0
[i, ų]	[ì, ų]	0.47058823529411764
[įei, i]	[įei, ì]	1.0
[i, o]	[ì, o]	0.9054054054054054
[y, en, o, am]	[y, én, o, am]	1.0
[u, i, au, a, au]	[u, i, au, a, aũ]	1.0
[a, a, o, į]	[a, ã, o, į]	1.0
[u, a, ė]	[ù, a, ė]	0.16666666666666666
[ū, a, a]	[ū́, a, a]	1.0
[el, iai]	[el, iaĩ]	1.0
[an, uo, a]	[án, uo, a]	1.0
[o, y, i]	[ó, y, i]	1.0
[u, o, i]	[ù, o, i]	0.3
[a, an, uo, i]	[a, an, úo, i]	1.0
[a, y, a]	[a, ý, a]	0.1111111111111111
[a, u, i, e]	[a, ù, i, e]	1.0
[y, ė, o, e]	[y, ė́, o, e]	1.0
[ai, a, au]	[ai, a, aũ]	1.0
[i, ie, ą]	[ì, ie, ą]	1.0
[ea, i, a, y, i, e]	[ea, i, a, ý, i, e]	1.0
[al, uo, i]	[al, úo, i]	1.0
[i, un, ė]	[i, ùn, ė]	1.0
[i, i, ar, ie, iu]	[i, i, ar, iẽ, iu]	1.0
[uo, ia, ė]	[uõ, ia, ė]	1.0
[i, e, ė, e]	[i, e, ė, è]	0.25
[o, ė, iau]	[o, ė́, iau]	1.0
[a, y, i, o]	[a, y, ì, o]	1.0
[e, ė, ė]	[e, ė̃, ė]	0.3333333333333333
[o, ė, i]	[o, ė́, i]	0.6
[a, en, in, a]	[a, én, in, a]	1.0
[il, iau]	[il, iaũ]	0.75
[e, i, u]	[è, i, u]	0.5
[ie, ų]	[íe, ų]	0.21052631578947367
[ie, o, ai]	[ie, ó, ai]	1.0
[i, ie, ų]	[i, ie, ų̃]	1.0
[e, a, ių]	[e, ã, ių]	1.0
[ea, i, in, a]	[ea, i, iñ, a]	1.0
[ė, ų]	[ė, ų̃]	1.0
[a, i, ai, iu]	[a, i, ái, iu]	1.0
[a, ei, į]	[ã, ei, į]	1.0
[e, a, io]	[e, ã, io]	1.0
[al, o, i]	[al, ó, i]	1.0
[ai, i]	[ai, ì]	0.7027027027027027
[i, i, il, o]	[i, i, ìl, o]	1.0
[y, e, u]	[y, e, ù]	1.0
[a, i, ė, o]	[a, i, ė́, o]	1.0
[ar, ui]	[ár, ui]	0.75
[e, i, ę]	[e, ì, ę]	0.14285714285714285
[ė, an, i]	[ė́, an, i]	1.0
[i, e, ė, i]	[i, e, ė́, i]	0.5
[ie, o]	[ie, õ]	0.14814814814814814
[e, a, e, ė]	[e, a, e, ė̃]	0.5
[ai, ė, a]	[ai, ė́, a]	1.0
[e, iu]	[e, iù]	1.0
[a, i, ą]	[ã, i, ą]	0.5454545454545454
[a, ei, o, e]	[a, éi, o, e]	1.0
[ei, ė, a, iai]	[ei, ė́, a, iai]	1.0
[on, i, ė]	[on, ì, ė]	1.0
[an, y, o, e]	[án, y, o, e]	1.0
[ie]	[íe]	0.21333333333333335
[au, a]	[au, à]	0.23809523809523808
[u, au]	[u, aũ]	0.5625
[an, uo]	[an, uõ]	1.0
[u, ar, į]	[ù, ar, į]	1.0
[ie, ą]	[iẽ, ą]	0.6396396396396397
[i, a, į]	[ì, a, į]	1.0
[a, al, i, ė, a]	[a, al, i, ė́, a]	1.0
[e, er, ai, iau]	[e, ér, ai, iau]	1.0
[a, ei]	[a, eĩ]	0.76
[e, ai]	[e, aĩ]	0.6923076923076923
[a, ie]	[a, íe]	0.028985507246376812
[a, i, el, i]	[a, i, él, i]	1.0
[u, e, i]	[u, è, i]	0.2
[e, u, i, a, i, a]	[e, u, i, a, ì, a]	1.0
[e, au, io]	[e, áu, io]	1.0
[o, i, iu]	[ó, i, iu]	1.0
[o, y, ų]	[o, ỹ, ų]	1.0
[au, ė, o]	[au, ė́, o]	1.0
[ei, i, ė]	[eĩ, i, ė]	1.0
[e, e, ie, a]	[e, e, iẽ, a]	1.0
[o, e, ių]	[ó, e, ių]	0.8
[i, iuo, u]	[i, iúo, u]	1.0
[ai, o, e]	[ai, o, è]	1.0
[e, ir, ė, ai]	[e, ir, ė́, ai]	1.0
[u, o, e]	[ù, o, e]	1.0
[er, i, a]	[er, i, à]	0.75
[or, o]	[õr, o]	0.5
[e, e, i, o, iu]	[e, e, ì, o, iu]	1.0
[a, ai, ia, o]	[a, ai, iã, o]	1.0
[i, e, im]	[ì, e, im]	1.0
[i, e, ė, i]	[i, e, ė, ì]	0.5
[ą, i, ė]	[ą́, i, ė]	1.0
[ai, ą]	[ái, ą]	0.2987012987012987
[eį, a, o, a]	[eį, ã, o, a]	1.0
[in, a, a]	[iñ, a, a]	1.0
[a, ė, o, e]	[a, ė́, o, e]	1.0
[uė, u, i]	[uė̃, u, i]	1.0
[e, i, a, u, o]	[e, i, a, ù, o]	1.0
[ai, e]	[ai, è]	0.5333333333333333
[u, ė, į]	[u, ė́, į]	1.0
[a, al, o]	[a, al, õ]	0.043478260869565216
[e, o, iu]	[e, ó, iu]	1.0
[u, en, iau]	[u, én, iau]	1.0
[iau, o]	[iaũ, o]	1.0
[a, ei, iu]	[a, éi, iu]	0.3333333333333333
[au, o, i]	[au, ó, i]	0.7058823529411765
[a, o, io]	[a, õ, io]	1.0
[ū, y, ą]	[ū̃, y, ą]	1.0
[an, uo, i, ę]	[an, uo, ì, ę]	1.0
[u, un, ia]	[u, ùn, ia]	1.0
[an, i, ą]	[án, i, ą]	1.0
[a, o, ių]	[a, õ, ių]	1.0
[ū, a, i]	[ū, a, ì]	1.0
[au, ėm]	[áu, ėm]	1.0
[iol]	[iõl]	1.0
[ai, i, a]	[ái, i, a]	0.08333333333333333
[a, ei, i, e]	[a, eĩ, i, e]	0.5
[e, ai, i, e]	[e, aĩ, i, e]	1.0
[a, e, i, e]	[a, è, i, e]	1.0
[u, i, a, i]	[u, i, à, i]	1.0
[u, ė, um]	[u, ė́, um]	1.0
[u, ei, i, e]	[u, éi, i, e]	0.5
[ir, y, e]	[ir, y, è]	1.0
[a, au, o]	[a, aũ, o]	0.5
[ee, i, uo, ų]	[ee, i, úo, ų]	1.0
[ū, um]	[ū́, um]	1.0
[o, iui]	[ò, iui]	1.0
[a, a, o, i, o]	[ã, a, o, i, o]	1.0
[ie, o]	[iẽ, o]	0.5
[ū, u]	[ū, ù]	0.5714285714285714
[ei, ė]	[ei, ė̃]	0.35
[ar, iai]	[ar̃, iai]	0.4
[a, i, ei, a, o]	[a, i, ei, ã, o]	1.0
[al, o, a]	[al̃, o, a]	0.25
[i, a, ia, o]	[i, a, iã, o]	1.0
[a, iim, i]	[a, iim̃, i]	1.0
[e, i, o]	[e, i, ó]	0.0967741935483871
[i, au, in, i]	[i, áu, in, i]	0.5
[i, i, i, uo, o, e]	[i, i, i, úo, o, e]	1.0
[e, ei, ė, o]	[e, ei, ė́, o]	1.0
[ę, i]	[ę̃, i]	0.6666666666666666
[e, ir]	[e, ir̃]	1.0
[e, ė, ų]	[e, ė́, ų]	1.0
[u, ė, e]	[ù, ė, e]	1.0
[u, ir, o]	[u, ir̃, o]	1.0
[e, ė, o]	[e, ė́, o]	0.6666666666666666
[a, y, i]	[a, ý, i]	0.9166666666666666
[ū, i, e]	[ū́, i, e]	1.0
[o, an]	[ó, an]	1.0
[in, a]	[ìn, a]	0.08333333333333333
[ar, ė]	[ár, ė]	0.9
[į, i, au, i]	[į, i, áu, i]	1.0
[ea, ei, ė]	[eà, ei, ė]	1.0
[e, ei, ė, ų]	[e, ei, ė́, ų]	1.0
