Vienà bùvo áišku: jìs sumokė́jo ùž sàvo žmónes.	Viena buvo aišku: jis sumokėjo už savo žmones.	One thing was sure: he paid his people well.	žmones	8	žmogus	Ncmpan-	exception
- Ìš kur̃ gavaĩ tàs núotraukas?	- Iš kur gavai tas nuotraukas?	- How did you get those photos?	nuotraukas	5	nuotrauka	Ncfpan-	2femIA
Jū̃s vẽdat ìš kẽlio màno mókinius.	Jūs vedat iš kelio mano mokinius.	You are corrupting my students.	mokinius	5	mokinys	Ncmpan-	1mascIS
Àš atėjaũ, nès jū̃s vẽdate ìš kẽlio màno mókinius.	Aš atėjau, nes jūs vedate iš kelio mano mokinius.	I am here because you harbor my students.	mokinius	9	mokinys	Ncmpan-	1mascIS
Tõ jūreĩvio pinigìnė plýšta per̃ siūlès.	To jūreivio piniginė plyšta per siūles.	That's sailor's wallet is bursting.	siūles	5	siūlė	Ncfpan-	2femĖ
Šìs výras nóri pateiktì jùms káltinimus.	Šis vyras nori pateikti jums kaltinimus.	This man wants to press charges against you.	kaltinimus	5	kaltinimas	Ncmpan-	1mascIAS
Manaũ, jū̃s suprañtate, kókias pãsekmes šìs į́vykis jùms turė̃s.	Manau, jūs suprantate, kokias pasekmes šis įvykis jums turės.	I assume you realize the consequences of this incident for you.	pasekmes	6	pasekmė	Ncfpan-	2femĖ
Ìš Augùsto nósies àš dabar̃ ištráuksiu kelìs kiaušiniùs.	Iš Augusto nosies aš dabar ištrauksiu kelis kiaušinius.	From under August's nose, I will now conjure up some eggs.	kiaušinius	7	kiaušinis	Ncmpan-	1mascIS
Jū̃s mãnote, kàd Augùstas tùri kiaušiniùs añt galvõs.	Jūs manote, kad Augustas turi kiaušinius ant galvos.	You all think August has the eggs under his head.	kiaušinius	6	kiaušinis	Ncmpan-	1mascIS
Paliẽka sàvo karstùs nãktį ir̃ miñta gyvų̃jų kraujù.	Palieka savo karstus naktį ir minta gyvųjų krauju.	They leave their coffins at night... and they feed on the blood of the living.	karstus	2	karstas	Ncmpan-	1mascIAS
Kaĩ jì pasislė̃ps, jiẽ palìks karstùs.	Kai ji pasislėps, jie paliks karstus.	When it is gone, they leave their coffins.	karstus	6	karstas	Ncmpan-	1mascIAS
Jì mán prìmena apgriùvusias dantýtas màno piliẽs Transilvãnijoje síenas.	Ji man primena apgriuvusias dantytas mano pilies Transilvanijoje sienas.	It reminds me of the broken battlements... of my own castle in Transylvania.	sienas	8	siena	Ncfpan-	2femIA
Jì mán prìmena apgriùvusias dantýtas màno piliẽs Transilvãnijoje síenas.	Ji man primena apgriuvusias dantytas mano pilies Transilvanijoje sienas.	It reminds me... of the broken battlements... of my own castle in Transylvania.	sienas	8	siena	Ncfpan-	2femIA
Jìs paliẽka dvì žaizdelès, báltas, raudónu vìduriu.	Jis palieka dvi žaizdeles, baltas, raudonu viduriu.	It leaves two little wounds, white with red centers.	žaizdeles	3	žaizdelė	Ncfpan-	2femĖ
Pajutaũ jõ kvėpãvimą, õ põ tõ – jõ lū́pas.	Pajutau jo kvėpavimą, o po to – jo lūpas.	I felt its breath on my face, and then its lips.	lūpas	9	lūpa	Ncfpan-	2femIA
Kaĩp seniaĩ tùrite šiàs nedìdeles žymès?	Kaip seniai turite šias nedideles žymes?	How long have you had those little marks?	žymes	5	žymė	Ncfpan-	2femĖ
Jìs turė́jo atsivèžti gim̃tojo dirvóžemio, pìlnas dėžès.	Jis turėjo atsivežti gimtojo dirvožemio, pilnas dėžes.	Then he must have brought his native soil with him, boxes of it.	dėžes	7	dėžė	Ncfpan-	2femĖ
Dėžès žẽmės, pakañkamai dìdeles, kàd galė́tų josè ilsė́tis.	Dėžes žemės, pakankamai dideles, kad galėtų jose ilsėtis.	Boxes of earth large enough for him to rest in.	Dėžes	0	dėžė	Ncfpan-	2femĖ
Jì gyveñs šim̃tmečius, kaĩp gyvenaũ àš.	Ji gyvens šimtmečius, kaip gyvenau aš.	She will live through the centuries to come, as I have lived.	šimtmečius	2	šimtmetis	Ncmpan-	1mascIS
Kalbõs apiẽ kãrą sugadìna visùs pókylius.	Kalbos apie karą sugadina visus pokylius.	This war talk's spoiling all the fun at every party.	pokylius	5	pokylis	Ncmpan-	1mascIS
Nórime šoktì sù tavimì visùs válsus.	Norime šokti su tavimi visus valsus.	We want all your waltzes.	valsus	5	valsas	Ncmpan-	1mascIAS
Visagãli ir̃ gailestìngas Dievè atléisk mùms mū́sų kaltès. Ãmen.	Visagali ir gailestingas Dieve atleisk mums mūsų kaltes. Amen.	Hear thee Almighty, most merciful Lord... grant us pardon, absolution and remission of our sins.	kaltes	7	kaltė	Ncfpan-	2femĖ
Tvar̃ko są́skaitas sù prižiūrė́toju, bèt jì ateĩs vėliaũ.	Tvarko sąskaitas su prižiūrėtoju, bet ji ateis vėliau.	She's settling accounts with the overseer, but she'll be along tonight.	sąskaitas	1	sąskaita	Ncfpan-	2femIA
Geraĩ išáuklėtos mergìnos tùri nusnū́sti per̃ póbūvius.	Gerai išauklėtos merginos turi nusnūsti per pobūvius.	Well-brought-up ladies takes naps at parties.	pobūvius	6	pobūvis	Ncmpan-	1mascIS
Laikýsime vérgus, nèt jéi jiẽ tám neprìtaria.	Laikysime vergus, net jei jie tam nepritaria.	We'll keep our slaves with or without their approval.	vergus	1	vergas	Ncmpan-	1mascIAS
