Šiojè pilyjè miegójau gañ sunkeĩ, bèt nesijáudink...	Šioje pilyje miegojau gan sunkei, bet nesijaudink...	One's dreams are heavy in this deserted castle, but do not fear...	pilyje	1	pilis	Ncfsln-	3fem
Sãko, kàd kajùtėje ỹra keistàs keleĩvis.	Sako, kad kajutėje yra keistas keleivis.	Mate has begun to hallicunate, says a strange passenger is below deck. Course: SE.	kajutėje	3	kajutė	Ncfsln-	2femĖ
- Padėjė́jas išprotė́ja - Žiùrkės laĩvo triumè.	- Padėjėjas išprotėja - Žiurkės laivo triume.	- Rats in the hold - I fear the plague...	triume	6	triumas	Ncmsln-	1mascIAS
Ką̃, põ gãlais, jū̃s dãrote màno miegamãjame?	Ką, po galais, jūs darote mano miegamajame?	What in the world are you doing in my bedroom?	mano	7	miegamasis	Ncmsln-	1mascIS
Atléiskite, bèt manè pasitiñka karietà vidùrnaktį Bòrgo pérėjoje.	Atleiskite, bet mane pasitinka karieta vidurnaktį Borgo perėjoje.	Well, I'm sorry, but there's a carriage meeting me at Borgo Pass at midnight.	perėjoje	8	perėja	Ncfsln-	2femIA
Mẽs, kalnų̃ gyvéntojai, tikìme, kàd pilyjè ỹra vampỹrų!	Mes, kalnų gyventojai, tikime, kad pilyje yra vampyrų!	We people of the mountains believe... at the castle there are vampires!	pilyje	8	pilis	Ncfsln-	3fem
Jì mán prìmena apgriùvusias dantýtas màno piliẽs Transilvãnijoje síenas.	Ji man primena apgriuvusias dantytas mano pilies Transilvanijoje sienas.	It reminds me of the broken battlements... of my own castle in Transylvania.	Transilvanijoje	7	Transilvanija	Npfslng	2femIA
Jì mán prìmena apgriùvusias dantýtas màno piliẽs Transilvãnijoje síenas.	Ji man primena apgriuvusias dantytas mano pilies Transilvanijoje sienas.	It reminds me... of the broken battlements... of my own castle in Transylvania.	Transilvanijoje	7	Transilvanija	Npfslng	2femIA
Galė́jau matýti tìk lémpą priẽ lóvos, kibirkštė̃lę rūkè.	Galėjau matyti tik lempą prie lovos, kibirkštėlę rūke.	I could just see the lamp by the bed, a tiny spark in the fog.	rūke	8	rūkas	Ncmsln-	1mascIAS
Véidas tamè sapnè, kaĩp sãkote, vìs artė́jo?	Veidas tame sapne, kaip sakote, vis artėjo?	And the face in the dream, you say it seemed to come closer and closer?	sapne	2	sapnas	Ncmsln-	1mascIAS
Dienõs valandomìs jìs tùri ilsė́tis žẽmėje, kuriojè bùvo paláidotas.	Dienos valandomis jis turi ilsėtis žemėje, kurioje buvo palaidotas.	During the hours of the day, it must rest in the earth in which it was buried.	žemėje	5	žemė	Ncfsln-	2femĖ
