Ar̃ jì tùri pinigų̃?	Ar ji turi pinigų?	Does she have money?	pinigų	3	pinigas	Ncmpgn-	1mascIAS
Jám reĩkia pinigų̃.	Jam reikia pinigų.	He needs money.	pinigų	2	pinigas	Ncmpgn-	1mascIAS
Mán reĩkia pinigų̃.	Man reikia pinigų.	I need the money.	pinigų	2	pinigas	Ncmpgn-	1mascIAS
Tàs žmogùs visái netùri pinigų̃.	Tas žmogus visai neturi pinigų.	That person doesn't have any money at all.	pinigų	4	pinigas	Ncmpgn-	1mascIAS
Àš neturiù pinigų̃.	Aš neturiu pinigų.	I don't have any money.	pinigų	2	pinigas	Ncmpgn-	1mascIAS
Àš visái neturiù pinigų̃.	Aš visai neturiu pinigų.	I don't have any money.	pinigų	3	pinigas	Ncmpgn-	1mascIAS
Jìs tùri šíek tíek pinigų̃.	Jis turi šiek tiek pinigų.	He has a little money.	tiek	3	pinigas	Ncmpgn-	1mascIAS
Vìsiškai neturiù pinigų̃.	Visiškai neturiu pinigų.	I don't have any money.	pinigų	2	pinigas	Ncmpgn-	1mascIAS
Àš turiù pakañkamai pinigų̃.	Aš turiu pakankamai pinigų.	I have enough money.	pinigų	3	pinigas	Ncmpgn-	1mascIAS
Àš nenorė́jau pinigų̃.	Aš nenorėjau pinigų.	I didn't want the money.	pinigų	2	pinigas	Ncmpgn-	1mascIAS
Jì negãli suprastì kitų̃ žmonių̃.	Ji negali suprasti kitų žmonių.	She can't understand other people.	žmonių	4	žmogus	Ncmpgn-	exception
Ar̃ kàs nórs žìno kíek dabar̃ valandų̃?	Ar kas nors žino kiek dabar valandų?	Does anybody know what hour it is?	dabar	5	valanda	Ncfpgn-	2femIA
Ar̃ norė́tum turė́ti daũg pinigų̃?	Ar norėtum turėti daug pinigų?	Would you like to have lots of money?	pinigų	4	pinigas	Ncmpgn-	1mascIAS
Àš tą̃ daraũ bè jokių̃ problèmų.	Aš tą darau be jokių problemų.	I do it without any problems.	problemų	5	problema	Ncfpgn-	2femIA
Atsiprašaũ, kíek dabar̃ valandų̃?	Atsiprašau, kiek dabar valandų?	Excuse me, what time is it?	valandų	4	valanda	Ncfpgn-	2femIA
Kíek kar̃tų àš turiù táu sakýti?	Kiek kartų aš turiu tau sakyti?	How many times do I have to tell you?	kartų	1	kartas	Ncmpgn-	1mascIAS
Àš niekadà nemačiaũ namõ bè dùrų.	Aš niekada nemačiau namo be durų.	I've never seen a house without a door.	durų	5	durys	Ncfpgn-	3fem
Àš čià turiù daũg draugų̃.	Aš čia turiu daug draugų.	I have a lot of friends here.	draugų	4	draugas	Ncmpgn-	1mascIAS
Àš turiù daũg draugų̃.	Aš turiu daug draugų.	I have many friends.	draugų	3	draugas	Ncmpgn-	1mascIAS
Jì čià tùri daũg draugų̃.	Ji čia turi daug draugų.	She has a lot of friends here.	draugų	4	draugas	Ncmpgn-	1mascIAS
Jíems reĩkia draugų̃.	Jiems reikia draugų.	They need friends.	draugų	2	draugas	Ncmpgn-	1mascIAS
Jì nėrà tokià kaĩp jì bùvo priẽš dẽšimt mẽtų.	Ji nėra tokia kaip ji buvo prieš dešimt metų.	She is not what she was ten years ago.	metų	8	metai	Ncmpgn-	1mascIAS
Jìs mìrė priẽš dẽšimt mẽtų.	Jis mirė prieš dešimt metų.	He died ten years ago.	metų	4	metai	Ncmpgn-	1mascIAS
Jì tùri dẽšimt vaikų̃.	Ji turi dešimt vaikų.	She has ten children.	vaikų	3	vaikas	Ncmpgn-	1mascIAS
Prãšom ateitì dár kar̃tą põ trijų̃ dienų̃.	Prašom ateiti dar kartą po trijų dienų.	Please come again in three days time.	dienų	6	diena	Ncfpgn-	2femIA
Ar̃ tùrite kláusimų?	Ar turite klausimų?	Do you have any questions?	klausimų	2	klausimas	Ncmpgn-	1mascIAS
Kíek žmonių̃ tù geraĩ pažį́sti?	Kiek žmonių tu gerai pažįsti?	How many people do you know well?	žmonių	1	žmogus	Ncmpgn-	exception
Tùrite kláusimų?	Turite klausimų?	Any questions?	klausimų	1	klausimas	Ncmpgn-	1mascIAS
Àš čià íeškau draugų̃.	Aš čia ieškau draugų.	I'm searching for friends here.	draugų	3	draugas	Ncmpgn-	1mascIAS
Àš neturė́jau jokių̃ problèmų.	Aš neturėjau jokių problemų.	I didn't have any problems.	problemų	3	problema	Ncfpgn-	2femIA
Kur̃ tù gyvenì, jéigu tù netùri namų̃?	Kur tu gyveni, jeigu tu neturi namų?	Where do you live if you have no home?	namų	7	namai	Ncmpgn-	1mascIAS
Ar̃ Tòmas pasãkė kám jám reikė́jo pinigų̃?	Ar Tomas pasakė kam jam reikėjo pinigų?	Did Tom say what he needed the money for?	pinigų	6	pinigas	Ncmpgn-	1mascIAS
Jìs netùri nė̃ žmonõs, nė̃ vaikų̃, nė̃ draugų̃.	Jis neturi nė žmonos, nė vaikų, nė draugų.	He has no wife, no children and no friends.	vaikų	6	vaikas	Ncmpgn-	1mascIAS
Jìs netùri nė̃ žmonõs, nė̃ vaikų̃, nė̃ draugų̃.	Jis neturi nė žmonos, nė vaikų, nė draugų.	He has no wife, no children and no friends.	draugų	9	draugas	Ncmpgn-	1mascIAS
Nedaũg žmonių̃ taĩp galvója.	Nedaug žmonių taip galvoja.	Few people think so.	žmonių	1	žmogus	Ncmpgn-	exception
Šiamè namè gyvẽna daũg žmonių̃.	Šiame name gyvena daug žmonių.	There are many people living in this house.	žmonių	4	žmogus	Ncmpgn-	exception
Daugumà jõ draugų̃ ỹra mergáitės.	Dauguma jo draugų yra mergaitės.	Most of his friends are girls.	draugų	2	draugas	Ncmpgn-	1mascIAS
Daugumà jõ draugų̃ ỹra mergìnos.	Dauguma jo draugų yra merginos.	Most of his friends are girls.	draugų	2	draugas	Ncmpgn-	1mascIAS
Jì bė́ga ìš namų̃.	Ji bėga iš namų.	She's running from home.	namų	3	namai	Ncmpgn-	1mascIAS
Jì bevéik neturė́jo pinigų̃.	Ji beveik neturėjo pinigų.	She was nearly without any money.	pinigų	3	pinigas	Ncmpgn-	1mascIAS
Jìs neturė́jo pakañkamai pinigų̃.	Jis neturėjo pakankamai pinigų.	He did not have enough money.	pinigų	3	pinigas	Ncmpgn-	1mascIAS
Tòmas neturė́jo pakañkamai pinigų̃.	Tomas neturėjo pakankamai pinigų.	Tom didn't have enough money.	pinigų	3	pinigas	Ncmpgn-	1mascIAS
Ar̃ padareĩ sàvo namų̃ dárbus pàts?	Ar padarei savo namų darbus pats?	Did you do your homework by yourself?	namų	3	namai	Ncmpgn-	1mascIAS
Àš láukiau dẽšimt minùčių.	Aš laukiau dešimt minučių.	I waited for ten minutes.	minučių	3	minutė	Ncfpgn-	2femĖ
Àš turiù kẽletą gerų̃ draugų̃.	Aš turiu keletą gerų draugų.	I have several good friends.	draugų	4	draugas	Ncmpgn-	1mascIAS
Ateĩsiu põ dẽšimt minùčių.	Ateisiu po dešimt minučių.	I'll join in ten minutes.	minučių	3	minutė	Ncfpgn-	2femĖ
Ìš jõ dár nėrà žinių̃.	Iš jo dar nėra žinių.	I have had no news from him yet.	žinių	4	žinios	Ncfpgn-	2femIA
Mán trū́ksta žõdžių.	Man trūksta žodžių.	I'm at a loss for words.	žodžių	2	žodis	Ncmpgn-	1mascIS
Ỹra daũg žõdžių kurių̃ nesuprantù.	Yra daug žodžių kurių nesuprantu.	There are many words that I don't understand.	žodžių	2	žodis	Ncmpgn-	1mascIS
Daviaũ jám tą̃ trupùtį pinigų̃ kuriuõs turė́jau sù savimì.	Daviau jam tą truputį pinigų kuriuos turėjau su savimi.	I gave him what little money I had with me.	pinigų	4	pinigas	Ncmpgn-	1mascIAS
Ar̃ tù norė́tum ateitì į̃ màno tėvų̃ nãmą?	Ar tu norėtum ateiti į mano tėvų namą?	Would you like to come to my parents' house?	tėvų	6	tėvai	Ncmpgn-	1mascIAS
Àš turiù daũg namų̃ darbų̃.	Aš turiu daug namų darbų.	I have a lot of homework.	namų	3	namai	Ncmpgn-	1mascIAS
Àš turiù daũg namų̃ darbų̃.	Aš turiu daug namų darbų.	I have a lot of homework.	darbų	4	darbas	Ncmpgn-	1mascIAS
Galbū́t jìs tùri daũg mergìnų.	Galbūt jis turi daug merginų.	Maybe he has lots of girlfriends.	merginų	4	mergina	Ncfpgn-	2femIA
Kadángi àš neturiù pinigų̃, àš negaliù teñ atvyktì.	Kadangi aš neturiu pinigų, aš negaliu ten atvykti.	Since I have no money, I can't come there.	pinigų	3	pinigas	Ncmpgn-	1mascIAS
Kodė̃l? Todė̃l kàd jõ šeĩmai reikė́jo pinigų̃, štaĩ kodė̃l.	Kodėl? Todėl kad jo šeimai reikėjo pinigų, štai kodėl.	Why? Because his family needed the money, that's why.	pinigų	7	pinigas	Ncmpgn-	1mascIAS
Àš nemokù ánglų kalbõs.	Aš nemoku anglų kalbos.	I don't know English.	anglų	2	anglas	Ncmpgn-	1mascIAS
Dẽšimt mẽtų ỹra ìlgas laĩkas.	Dešimt metų yra ilgas laikas.	Ten years is a long time.	metų	1	metai	Ncmpgn-	1mascIAS
Jám labaĩ patiñka ánglų kalbà.	Jam labai patinka anglų kalba.	He likes English very much.	anglų	3	anglas	Ncmpgn-	1mascIAS
Kodė̃l tù nóri mókytis ánglų kalbõs?	Kodėl tu nori mokytis anglų kalbos?	Why do you want to learn English?	anglų	4	anglas	Ncmpgn-	1mascIAS
