Atsiprašaũ, kíek dabar̃ laĩko?	Atsiprašau, kiek dabar laiko?	Excuse me, what time is it?	laiko	4	laikas	Ncmsgn-	1mascIAS
Mẽs dár tùrime daũg laĩko.	Mes dar turime daug laiko.	We still have plenty of time.	laiko	4	laikas	Ncmsgn-	1mascIAS
Mẽs tùrime laĩko.	Mes turime laiko.	We've got time.	laiko	2	laikas	Ncmsgn-	1mascIAS
Jìs netùri dárbo.	Jis neturi darbo.	He doesn't have a job.	darbo	2	darbas	Ncmsgn-	1mascIAS
Àš dabar̃ neturiù laĩko.	Aš dabar neturiu laiko.	I don't have time right now.	laiko	3	laikas	Ncmsgn-	1mascIAS
Àš tiesióg neturiù daũg laĩko.	Aš tiesiog neturiu daug laiko.	I just don't have much time.	laiko	4	laikas	Ncmsgn-	1mascIAS
Neturiù laĩko.	Neturiu laiko.	I didn't have time.	laiko	1	laikas	Ncmsgn-	1mascIAS
Ar̃ táu reĩkia mū́sų pagálbos?	Ar tau reikia mūsų pagalbos?	Do you require our help?	pagalbos	4	pagalba	Ncfsgn-	2femIA
Àš tikiúosi tàvo pagálbos.	Aš tikiuosi tavo pagalbos.	I expect your help.	pagalbos	3	pagalba	Ncfsgn-	2femIA
Jíems reĩkia pagálbos.	Jiems reikia pagalbos.	They need help.	pagalbos	2	pagalba	Ncfsgn-	2femIA
Jíems reĩkia tàvo pagálbos.	Jiems reikia tavo pagalbos.	They need your help.	pagalbos	3	pagalba	Ncfsgn-	2femIA
Mán reĩkia tàvo pagálbos.	Man reikia tavo pagalbos.	I need your help.	pagalbos	3	pagalba	Ncfsgn-	2femIA
Mán tikraĩ nereĩkia pagálbos.	Man tikrai nereikia pagalbos.	I really don't need help.	pagalbos	3	pagalba	Ncfsgn-	2femIA
Ar̃ àš galiù grįžtì priẽ dárbo?	Ar aš galiu grįžti prie darbo?	Can I get back to work?	darbo	5	darbas	Ncmsgn-	1mascIAS
Ar̃ jū̃s nórite dárbo?	Ar jūs norite darbo?	Do you want a job?	darbo	3	darbas	Ncmsgn-	1mascIAS
Bèt jám reikė́jo dárbo.	Bet jam reikėjo darbo.	But he needed a job.	darbo	3	darbas	Ncmsgn-	1mascIAS
Lìko tìk vienà dienà, patiñka taĩ mùms ar̃ nè.	Liko tik viena diena, patinka tai mums ar ne.	There is only one day left, whether we like it or not.	Liko	0	Likas	Npmsgns	1mascIAS
Àš galiù gyvénti bè vandeñs.	Aš galiu gyventi be vandens.	I can live without water.	vandens	4	vanduo	Ncmsgn-	5masc
Àš neturiù šeimõs.	Aš neturiu šeimos.	I have no family.	šeimos	2	šeima	Ncfsgn-	2femIA
Àš nežinaũ kẽlio nãmo.	Aš nežinau kelio namo.	I don't know the way home.	kelio	2	kelias	Ncmsgn-	1mascIAS
Àš nežinaũ kẽlio nãmo.	Aš nežinau kelio namo.	I don't know the way home.	namo	3	namas	Ncmsgn-	1mascIAS
Ar̃ jùms nepatiñka mergìnos?	Ar jums nepatinka merginos?	Don't you like girls?	merginos	3	mergina	Ncfsgn-	2femIA
Ar̃ táu nepatiñka mergìnos?	Ar tau nepatinka merginos?	Don't you like girls?	merginos	3	mergina	Ncfsgn-	2femIA
Àš nóriu mergìnos.	Aš noriu merginos.	I want a girlfriend.	merginos	2	mergina	Ncfsgn-	2femIA
Mẽs tùrime pakañkamai vandeñs.	Mes turime pakankamai vandens.	We have enough water.	vandens	3	vanduo	Ncmsgn-	5masc
Àš turiù laĩko, taĩgi àš tą̃ padarýsiu.	Aš turiu laiko, taigi aš tą padarysiu.	I have time, so I'll do it.	laiko	2	laikas	Ncmsgn-	1mascIAS
Gyvénti bè óro ỹra neįmãnoma.	Gyventi be oro yra neįmanoma.	To live without air is impossible.	oro	2	oras	Ncmsgn-	1mascIAS
Kókios jùms reĩkia pagálbos?	Kokios jums reikia pagalbos?	What kind of help do you need?	pagalbos	3	pagalba	Ncfsgn-	2femIA
Kokiõs pagálbos táu reĩkia?	Kokios pagalbos tau reikia?	What kind of help do you need?	pagalbos	1	pagalba	Ncfsgn-	2femIA
