Kuõ daugiaũ žmónės tùri, tuõ daugiaũ jiẽ nóri.	Kuo daugiau žmonės turi, tuo daugiau jie nori.	The more people have, the more they want.	žmonės	2	žmogus	Ncmpnn-	exception
Kuõ daugiaũ žmónės tùri, tuõ daugiaũ jiẽ nóri.	Kuo daugiau žmonės turi, tuo daugiau jie nori.	The more people have, the more they want.	žmonės	2	žmogus	Ncmpnn-	exception
Kaĩ kuriẽ ìš jų̃ ỹra màno draugaĩ.	Kai kurie iš jų yra mano draugai.	Some of them are my friends.	mano	5	draugas	Ncmpnn-	1mascIAS
Vìsą gyvẽnimą výrai ỹra vaikaĩ.	Visą gyvenimą vyrai yra vaikai.	Men are children their whole life.	vyrai	2	vyras	Ncmpnn-	1mascIAS
Vìsą gyvẽnimą výrai ỹra vaikaĩ.	Visą gyvenimą vyrai yra vaikai.	Men are children their whole life.	vaikai	4	vaikas	Ncmpnn-	1mascIAS
Mẽs abù ẽsame draugaĩ.	Mes abu esame draugai.	We both are friends.	draugai	3	draugas	Ncmpnn-	1mascIAS
Vaikìnai, mán reĩkia eitì.	Vaikinai, man reikia eiti.	Guys, I gotta go.	Vaikinai	0	vaikinas	Ncmpnn-	1mascIAS
Výrai turė́tų dirbtì.	Vyrai turėtų dirbti.	Men should work.	Vyrai	0	vyras	Ncmpnn-	1mascIAS
Žmónės turė́tų dirbtì.	Žmonės turėtų dirbti.	People ought to work.	Žmonės	0	žmogus	Ncmpnn-	exception
Pàs manè baĩgėsi pinigaĩ.	Pas mane baigėsi pinigai.	I have run out of money.	pinigai	3	pinigas	Ncmpnn-	1mascIAS
Výrai niẽko nežìno apiẽ móteris.	Vyrai nieko nežino apie moteris.	Men know nothing about women.	Vyrai	0	vyras	Ncmpnn-	1mascIAS
Màno namaĩ ỹra tàvo namaĩ.	Mano namai yra tavo namai.	My home is your home.	namai	1	namai	Ncmpnn-	1mascIAS
Màno namaĩ ỹra tàvo namaĩ.	Mano namai yra tavo namai.	My home is your home.	namai	4	namai	Ncmpnn-	1mascIAS
Màno tėvaĩ ỹra sveikì.	Mano tėvai yra sveiki.	My parents are healthy.	tėvai	1	tėvai	Ncmpnn-	1mascIAS
Šiẽ namaĩ nėrà màno.	Šie namai nėra mano.	This house is not mine.	namai	1	namai	Ncmpnn-	1mascIAS
Taĩ ỹra màno tė́vo namaĩ.	Tai yra mano tėvo namai.	It is my father's house.	namai	4	namai	Ncmpnn-	1mascIAS
Mẽs ẽsame gerì draugaĩ.	Mes esame geri draugai.	We are good friends.	draugai	3	draugas	Ncmpnn-	1mascIAS
Vieniñtelis dalỹkas, kurìs jám rū̃pi, ỹra pinigaĩ.	Vienintelis dalykas, kuris jam rūpi, yra pinigai.	The only thing he cares about is money.	pinigai	8	pinigas	Ncmpnn-	1mascIAS
Ar̃ vaikaĩ eĩna į̃ mokỹklą?	Ar vaikai eina į mokyklą?	Do the children go to school?	vaikai	1	vaikas	Ncmpnn-	1mascIAS
Namaĩ stõvi artì víenas priẽ kìto.	Namai stovi arti vienas prie kito.	The houses stand near to each other.	Namai	0	namai	Ncmpnn-	1mascIAS
Gerì dalỹkai ateĩna pàs tuõs kuriẽ láukia.	Geri dalykai ateina pas tuos kurie laukia.	Good things come to those who wait.	dalykai	1	dalykas	Ncmpnn-	1mascIAS
Mán patiñka móterys.	Man patinka moterys.	I like women.	moterys	2	moteris	Ncfpnn-	3fem
Àš niekadà neturė́jau mergìnos.	Aš niekada neturėjau merginos.	I've never even had a girlfriend.	merginos	3	mergina	Ncfpnn-	2femIA
Kaĩ kuriẽ žmónės màno, kàd taĩ ỹra blõga idė́ja.	Kai kurie žmonės mano, kad tai yra bloga idėja.	Some people think it's a bad idea.	kurie	1	žmogus	Ncmpnn-	exception
Kaĩ kuriẽ žmónės per̃ daũg kal̃ba ir̃ per̃ mažaĩ dãro.	Kai kurie žmonės per daug kalba ir per mažai daro.	Some people talk too much and do too little.	kurie	1	žmogus	Ncmpnn-	exception
Palìk tą̃ teñ kur̃ rãdai.	Palik tą ten kur radai.	Leave it where you found it.	radai	4	radas	Ncmpnn-	1mascIAS
Ar̃ mãnai, kàd Tòmas pasìkeitė?	Ar manai, kad Tomas pasikeitė?	Do you think Tom has changed?	manai	1	manai	Ncmpnn-	1mascIAS
Vaikaĩ miẽga.	Vaikai miega.	The kids are asleep.	Vaikai	0	vaikas	Ncmpnn-	1mascIAS
Žmónės mė́gsta kalbė́ti.	Žmonės mėgsta kalbėti.	People love to talk.	Žmonės	0	žmogus	Ncmpnn-	exception
Abù bróliai ỹra vìs dár gývi.	Abu broliai yra vis dar gyvi.	Both brothers are still alive.	broliai	1	brolis	Ncmpnn-	1mascIS
Mán visái nepatiñka màno plaukaĩ.	Man visai nepatinka mano plaukai.	I don't like my hair at all.	plaukai	4	plaukas	Ncmpnn-	1mascIAS
Kaĩ kuriẽ žmónės tìki Dievù, õ kitì nè.	Kai kurie žmonės tiki Dievu, o kiti ne.	Some people believe in God and others don't.	kurie	1	žmogus	Ncmpnn-	exception
Knỹgos ỹra màno geriáusi draugaĩ.	Knygos yra mano geriausi draugai.	Books are my best friends.	draugai	4	draugas	Ncmpnn-	1mascIAS
Mẽs bùvome geriáusi draugaĩ.	Mes buvome geriausi draugai.	We used to be best friends.	draugai	3	draugas	Ncmpnn-	1mascIAS
Šiẽ daiktaĩ nėrà màno!	Šie daiktai nėra mano!	These things aren't mine!	daiktai	1	daiktas	Ncmpnn-	1mascIAS
Màno tėvaĩ léido mán teñ eitì.	Mano tėvai leido man ten eiti.	My parents let me go there.	tėvai	1	tėvai	Ncmpnn-	1mascIAS
Tàvo tėvaĩ ilgaĩ tavę̃s nemãtė.	Tavo tėvai ilgai tavęs nematė.	Your parents haven't seen you for a long time.	tėvai	1	tėvai	Ncmpnn-	1mascIAS
Kókios spal̃vos ỹra tàvo plaukaĩ?	Kokios spalvos yra tavo plaukai?	What color is your hair?	plaukai	4	plaukas	Ncmpnn-	1mascIAS
Mergáitės laimė́jo.	Mergaitės laimėjo.	The girls won.	Mergaitės	0	mergaitė	Ncfpnn-	2femĖ
Neturė́tum sakýti tókio dalỹko kaĩ vaikaĩ ỹra šalià.	Neturėtum sakyti tokio dalyko kai vaikai yra šalia.	You shouldn't say that kind of thing when children are around.	vaikai	5	vaikas	Ncmpnn-	1mascIAS
Pinigaĩ pàkeitė jõ gyvẽnimą.	Pinigai pakeitė jo gyvenimą.	Money has changed his life.	Pinigai	0	pinigas	Ncmpnn-	1mascIAS
Šiõs núotraukos tikraĩ ỹra labaĩ grãžios.	Šios nuotraukos tikrai yra labai gražios.	These pictures are really very beautiful.	nuotraukos	1	nuotrauka	Ncfpnn-	2femIA
Bevéik visì šùnys ỹra gývi.	Beveik visi šunys yra gyvi.	Almost all of the dogs are alive.	šunys	2	šuo	Ncmpnn-	exception
Lìkite sù manimì, põnios ir̃ põnai.	Likite su manimi, ponios ir ponai.	Stay with me, ladies and gentlemen.	ponai	6	ponas	Ncmpnn-	1mascIAS
Mán labaĩ patiñka šùnys.	Man labai patinka šunys.	I like dogs very much.	šunys	3	šuo	Ncmpnn-	exception
Pinigaĩ negãli nupirktì draugų̃.	Pinigai negali nupirkti draugų.	Money can't buy friends.	Pinigai	0	pinigas	Ncmpnn-	1mascIAS
Šiẽ šùnys ỹra didelì.	Šie šunys yra dideli.	These dogs are big.	šunys	1	šuo	Ncmpnn-	exception
Šùnys mòka plauktì.	Šunys moka plaukti.	Dogs can swim.	Šunys	0	šuo	Ncmpnn-	exception
Vaikaĩ, klausýkite!	Vaikai, klausykite!	Children, listen!	Vaikai	0	vaikas	Ncmpnn-	1mascIAS
Visì šùnys ỹra gývi.	Visi šunys yra gyvi.	All the dogs are alive.	šunys	1	šuo	Ncmpnn-	exception
Kuriẽ bãtai táu patiñka?	Kurie batai tau patinka?	Which shoes do you like?	batai	1	batas	Ncmpnn-	1mascIAS
Màno draugaĩ ỹra nuostãbūs.	Mano draugai yra nuostabūs.	My friends are amazing.	draugai	1	draugas	Ncmpnn-	1mascIAS
Màno vaikaĩ bùvo ìš manę̃s atimtì.	Mano vaikai buvo iš manęs atimti.	My children were taken away from me.	vaikai	1	vaikas	Ncmpnn-	1mascIAS
Šiẽ bãtai ỹra per̃ mažì.	Šie batai yra per maži.	These shoes are too small.	batai	1	batas	Ncmpnn-	1mascIAS
Šiẽ bãtai ỹra sẽni, bèt àš vìs dár juõs mė́gstu.	Šie batai yra seni, bet aš vis dar juos mėgstu.	These shoes are old, but I still like them.	batai	1	batas	Ncmpnn-	1mascIAS
Bèt gál vaikìnai jų̃ nemė́gsta.	Bet gal vaikinai jų nemėgsta.	But maybe guys don't like them.	vaikinai	2	vaikinas	Ncmpnn-	1mascIAS
Gėlė̃s mìršta jéi jõs netùri vandeñs.	Gėlės miršta jei jos neturi vandens.	Flowers die if they don't have water.	Gėlės	0	gėlė	Ncfpnn-	2femĖ
Kur̃ ỹra jū́sų rãktai?	Kur yra jūsų raktai?	Where are your keys?	raktai	3	raktas	Ncmpnn-	1mascIAS
Tiẽ žmónės mùms niẽko apiẽ tavè nepasãkė.	Tie žmonės mums nieko apie tave nepasakė.	Those people didn't tell us anything about you.	žmonės	1	žmogus	Ncmpnn-	exception
Jõ drabùžiai visadà negeraĩ kvẽpia.	Jo drabužiai visada negerai kvepia.	His clothes always smell bad.	drabužiai	1	drabužis	Ncmpnn-	1mascIS
Jū̃s ẽsate jõs dùkros.	Jūs esate jos dukros.	You are her daughters.	dukros	3	dukra	Ncfpnn-	2femIA
Kareĩviai bùvo pasiruõšę mirtì ùž sàvo šãlį.	Kareiviai buvo pasiruošę mirti už savo šalį.	The soldiers were ready to die for their country.	Kareiviai	0	kareivis	Ncmpnn-	1mascIS
Mergáitės sėdė́jo vienà priẽ kitõs.	Mergaitės sėdėjo viena prie kitos.	The girls were sitting side by side.	Mergaitės	0	mergaitė	Ncfpnn-	2femĖ
Šiẽ drabùžiai táu tiñka.	Šie drabužiai tau tinka.	These clothes suit you.	drabužiai	1	drabužis	Ncmpnn-	1mascIS
Šiẽ var̃tai ỹra uždarýti visùs metùs.	Šie vartai yra uždaryti visus metus.	The gate is closed all the year round.	vartai	1	vartai	Ncmpnn-	1mascIAS
Ỹra rýtas. Vaikaĩ válgo pùsryčius.	Yra rytas. Vaikai valgo pusryčius.	It is morning. The children are eating breakfast.	Vaikai	3	vaikas	Ncmpnn-	1mascIAS
Bevéik visì studeñtai mė́gsta ánglų kal̃bą.	Beveik visi studentai mėgsta anglų kalbą.	Almost all the students like English.	studentai	2	studentas	Ncmpnn-	1mascIAS
Jū̃s ẽsate idiòtai.	Jūs esate idiotai.	You are morons.	idiotai	2	idiotas	Ncmpnn-	1mascIAS
Mẽs ẽsame studeñtai.	Mes esame studentai.	We are students.	studentai	2	studentas	Ncmpnn-	1mascIAS
Nè visì žmónės mė́gsta šunìs.	Ne visi žmonės mėgsta šunis.	Not all people like dogs.	žmonės	2	žmogus	Ncmpnn-	exception
Paũkščiai skreñda.	Paukščiai skrenda.	Birds fly.	Paukščiai	0	paukštis	Ncmpnn-	1mascIS
Pinigaĩ šnẽka.	Pinigai šneka.	Money talks.	Pinigai	0	pinigas	Ncmpnn-	1mascIAS
Táu reĩkia kantrýbės, Tòmai.	Tau reikia kantrybės, Tomai.	You need patience, Tom.	Tomai	4	tomas	Ncmpnn-	1mascIAS
Ar̃ pùsryčiai paruoštì?	Ar pusryčiai paruošti?	Is breakfast ready?	pusryčiai	1	pusrytis	Ncmpnn-	1mascIS
Dár niekadà nebuvaũ įsimylė́jęs jokiõs mergìnos.	Dar niekada nebuvau įsimylėjęs jokios merginos.	I have never fallen in love with any girl.	merginos	5	mergina	Ncfpnn-	2femIA
Gyvū̃nai bìjo ugniẽs.	Gyvūnai bijo ugnies.	Animals are afraid of fire.	Gyvūnai	0	gyvūnas	Ncmpnn-	1mascIAS
Mán nepatiñka žmónės kuriẽ lengvaĩ įpỹksta.	Man nepatinka žmonės kurie lengvai įpyksta.	I don't like people who get angry easily.	žmonės	2	žmogus	Ncmpnn-	exception
Màno dañtys ỹra vìsiškai sveikì ir̃ bè jokių̃ problèmų.	Mano dantys yra visiškai sveiki ir be jokių problemų.	My teeth are totally healthy and free of problems.	dantys	1	dantis	Ncmpnn-	3masc
