Ar̃ ỹra viẽtos dár vienám žmógui?	Ar yra vietos dar vienam žmogui?	Is there space for one more person?	žmogui	5	žmogus	Ncmsdn-	exception
Pasakýk tám žmógui kur̃ ỹra màno nãmas.	Pasakyk tam žmogui kur yra mano namas.	Tell that person where my house is.	žmogui	2	žmogus	Ncmsdn-	exception
Kodė̃l? Todė̃l kàd jõ šeĩmai reikė́jo pinigų̃, štaĩ kodė̃l.	Kodėl? Todėl kad jo šeimai reikėjo pinigų, štai kodėl.	Why? Because his family needed the money, that's why.	šeimai	5	šeima	Ncfsdn-	2femIA
Kodė̃l tù nenóri padėtì polìcijai?	Kodėl tu nenori padėti policijai?	Why don't you want to help the police?	policijai	4	policija	Ncfsdn-	2femIA
Mẽs tùrime paskam̃binti polìcijai.	Mes turime paskambinti policijai.	We have to call the police.	policijai	3	policija	Ncfsdn-	2femIA
Tókiu ãtveju, skam̃bink polìcijai.	Tokiu atveju, skambink policijai.	In that case, call the police.	policijai	4	policija	Ncfsdn-	2femIA
Àš nemanaũ kàd Džònas tiñka tám dárbui.	Aš nemanau kad Džonas tinka tam darbui.	I don't think John is suited for the job.	darbui	6	darbas	Ncmsdn-	1mascIAS
Jì pasãkė sàvo sū́nui palauktì minutė̃lę.	Ji pasakė savo sūnui palaukti minutėlę.	She told her son to wait a minute.	sūnui	3	sūnus	Ncmsdn-	4masc
Šì dovanà skìrta màno draũgui.	Ši dovana skirta mano draugui.	This gift is for my friend.	draugui	4	draugas	Ncmsdn-	1mascIAS
Tù gãli nãkčiai sù mumìs pasilìkti.	Tu gali nakčiai su mumis pasilikti.	You can stay with us for the night.	nakčiai	2	naktis	Ncfsdn-	3fem
Àš turiù padėtì sàvo mótinai.	Aš turiu padėti savo motinai.	I must help my mother.	motinai	4	motina	Ncfsdn-	2femIA
Íeškau dovanõs draũgui.	Ieškau dovanos draugui.	I'm looking for a gift for my friend.	draugui	2	draugas	Ncmsdn-	1mascIAS
Kàs pàdeda tàvo mótinai?	Kas padeda tavo motinai?	Who helps your mother?	motinai	3	motina	Ncfsdn-	2femIA
Tù tùri padėtì sàvo mótinai.	Tu turi padėti savo motinai.	You must help your mother.	motinai	4	motina	Ncfsdn-	2femIA
Kokiám dárbui jìs tiñka?	Kokiam darbui jis tinka?	What kind of job is he fit for?	darbui	1	darbas	Ncmsdn-	1mascIAS
Padė́jau mótinai išvalýti virtùvę.	Padėjau motinai išvalyti virtuvę.	I helped my mother clean the kitchen.	motinai	1	motina	Ncfsdn-	2femIA
Dė̃dė Bóbas pàkvietė mùs vakariẽnei.	Dėdė Bobas pakvietė mus vakarienei.	Uncle Bob invited us to have dinner.	vakarienei	4	vakarienė	Ncfsdn-	2femĖ
Kõ norė́tum vakariẽnei?	Ko norėtum vakarienei?	What would you like for supper?	vakarienei	2	vakarienė	Ncfsdn-	2femĖ
Mèrė pàdeda sàvo mãmai.	Merė padeda savo mamai.	Mary is helping her mother.	mamai	3	mama	Ncfsdn-	2femIA
Šiañdien vakariẽnei bùs žuvìs.	Šiandien vakarienei bus žuvis.	We have fish for dinner today.	vakarienei	1	vakarienė	Ncfsdn-	2femĖ
Ką̃ tù nupirkaĩ sàvo vaikìnui?	Ką tu nupirkai savo vaikinui?	What did you buy for your boyfriend?	vaikinui	4	vaikinas	Ncmsdn-	1mascIAS
Neléisk šùniui miegóti mū́sų lóvoje.	Neleisk šuniui miegoti mūsų lovoje.	Don't let the dog sleep in our bed.	šuniui	1	šuo	Ncmsdn-	exception
Ar̃ mãnai kàd turė́čiau pasakýti Tòmui?	Ar manai kad turėčiau pasakyti Tomui?	Do you think I should tell Tom?	Tomui	5	tomas	Ncmsdn-	1mascIAS
Àš daviaũ tą̃ knỹgą Tòmui šį̃ rýtą.	Aš daviau tą knygą Tomui šį rytą.	I gave that book to Tom this morning.	Tomui	4	tomas	Ncmsdn-	1mascIAS
Àš daviaũ Tòmui põrą bilietų̃ į̃ sàvo koncer̃tą.	Aš daviau Tomui porą bilietų į savo koncertą.	I gave Tom a couple of tickets for my concert.	Tomui	2	Tomas	Npmsdnf	1mascIAS
Àš daviaũ Tòmui šánsą.	Aš daviau Tomui šansą.	I gave Tom a chance.	Tomui	2	Tomas	Npmsdnf	1mascIAS
Àš manaũ, kàd tùrime paskam̃binti Tòmui.	Aš manau, kad turime paskambinti Tomui.	I think we should call Tom.	Tomui	6	tomas	Ncmsdn-	1mascIAS
Atnèškite knỹgą mán õ nè Tòmui.	Atneškite knygą man o ne Tomui.	Bring the book to me, not to Tom.	Tomui	5	tomas	Ncmsdn-	1mascIAS
Atródė, kàd taĩ patiñka Tòmui.	Atrodė, kad tai patinka Tomui.	Tom seemed to like that.	Tomui	5	tomas	Ncmsdn-	1mascIAS
Dabar̃ àš prìtariu Tòmui.	Dabar aš pritariu Tomui.	I now agree with Tom.	Tomui	3	tomas	Ncmsdn-	1mascIAS
