Kaĩp jùms sẽkasi, panelè?	Kaip jums sekasi, panele?	How are you doing, miss?	panele	4	panelė	Ncfsin-	2femĖ
Šiuõ metù jõ čià nėrà.	Šiuo metu jo čia nėra.	He's not here right now.	metu	1	metas	Ncmsin-	1mascIAS
Šiuõ metù niẽko negaliù pasakýti.	Šiuo metu nieko negaliu pasakyti.	I can't say anything at this time.	metu	1	metas	Ncmsin-	1mascIAS
Abù jõs sūnùs mìrė kãro metù.	Abu jos sūnus mirė karo metu.	Both of her sons died during the war.	metu	5	metas	Ncmsin-	1mascIAS
Mū́sų sūnùs mìrė kãro metù.	Mūsų sūnus mirė karo metu.	Our son died during the war.	metu	4	metas	Ncmsin-	1mascIAS
Kuriuõ metù jìs išė̃jo?	Kuriuo metu jis išėjo?	At what time did he leave?	metu	1	metas	Ncmsin-	1mascIAS
Mán skaũda rankà.	Man skauda ranka.	My arm hurts.	ranka	2	ranka	Ncfsin-	2femIA
Kuriuõ metù galė́tum pàs mùs rytój ateitì?	Kuriuo metu galėtum pas mus rytoj ateiti?	At what time would you be able to come to us tomorrow?	metu	1	metas	Ncmsin-	1mascIAS
Ar̃ tù tuõ metù buvaĩ mokỹkloje?	Ar tu tuo metu buvai mokykloje?	Were you at school at that time?	metu	3	metas	Ncmsin-	1mascIAS
Šiuõ metù Tòmas nėrà kalė́jime.	Šiuo metu Tomas nėra kalėjime.	Tom isn't currently in prison.	metu	1	metas	Ncmsin-	1mascIAS
Tòmas šiuõ metù nėrà kalė́jime.	Tomas šiuo metu nėra kalėjime.	Tom is not in prison at the moment.	metu	2	metas	Ncmsin-	1mascIAS
Tòmas turė́jo tuõ metù būtì namiẽ.	Tomas turėjo tuo metu būti namie.	Tom must have been at home at that time.	metu	3	metas	Ncmsin-	1mascIAS
Àš nèt negaliù prisimiñti, kuõ jìs bùvo vardù.	Aš net negaliu prisiminti, kuo jis buvo vardu.	I can't even remember what his name was.	vardu	8	vardas	Ncmsin-	1mascIAS
Ar̃ šiuõ metù esì užsiė̃męs?	Ar šiuo metu esi užsiėmęs?	Are you busy at the moment?	metu	2	metas	Ncmsin-	1mascIAS
Atėjaĩ pačiù laikù.	Atėjai pačiu laiku.	You came at just the right time.	laiku	2	laikas	Ncmsin-	1mascIAS
Atléisk mán, màno méile.	Atleisk man, mano meile.	Forgive me, my love.	meile	4	meilė	Ncfsin-	2femĖ
Jìs manè nužùdė víenu žodžiù.	Jis mane nužudė vienu žodžiu.	He killed me with one word.	žodžiu	4	žodis	Ncmsin-	1mascIS
Ką̃ tù padareĩ sù sàvo kãmera?	Ką tu padarei su savo kamera?	What did you do with your camera?	kamera	5	kamera	Ncfsin-	2femIA
Nóriu susitìkti sù tàvo tė́vu.	Noriu susitikti su tavo tėvu.	I'd like to see your father.	tėvu	4	tėvas	Ncmsin-	1mascIAS
Telefònas šiuõ metù neveikià.	Telefonas šiuo metu neveikia.	The phone doesn't work right now.	metu	2	metas	Ncmsin-	1mascIAS
Àš nètikiu Dievù.	Aš netikiu Dievu.	I don't believe in God.	Dievu	2	dievas	Ncmsin-	1mascIAS
