Taĩ ỹra geriáusias dalỹkas pasáulyje.	Tai yra geriausias dalykas pasaulyje.	This is the best thing on earth.	pasaulyje	4	pasaulis	Ncmsln-	1mascIS
Kàs ỹra svarbiáusia gyvẽnime?	Kas yra svarbiausia gyvenime?	What's the most important in life?	gyvenime	3	gyvenimas	Ncmsln-	1mascIAS
Niẽkas pasáulyje nenóri kãro.	Niekas pasaulyje nenori karo.	Nobody in the world wants war.	pasaulyje	1	pasaulis	Ncmsln-	1mascIS
Ateĩk rytój rytè.	Ateik rytoj ryte.	Come tomorrow morning.	ryte	2	rytas	Ncmsln-	1mascIAS
Ar̃ jì dìrba šiamè miestè?	Ar ji dirba šiame mieste?	Does she work in this city?	mieste	4	miestas	Ncmsln-	1mascIAS
Àš nóriu gyvénti miestè.	Aš noriu gyventi mieste.	I want to live in the city.	mieste	3	miestas	Ncmsln-	1mascIAS
Grį̃šiu rytój vakarè.	Grįšiu rytoj vakare.	I'll be back tomorrow evening.	vakare	2	vakaras	Ncmsln-	1mascIAS
Jéi táu manę̃s reikė̃s, àš bū́siu sàvo kambaryjè.	Jei tau manęs reikės, aš būsiu savo kambaryje.	If you need me, I'll be in my room.	kambaryje	8	kambarys	Ncmsln-	1mascIS
Ką̃ jìs veikià sàvo kambaryjè?	Ką jis veikia savo kambaryje?	What is he doing in his room?	kambaryje	4	kambarys	Ncmsln-	1mascIS
Kambaryjè niẽko nėrà.	Kambaryje nieko nėra.	There's no one in the room.	Kambaryje	0	kambarys	Ncmsln-	1mascIS
Prašaũ laikýk omenỹ tą̃ ką̃ àš pasakiaũ.	Prašau laikyk omeny tą ką aš pasakiau.	Please bear in mind what I said.	omeny	2	omenis	Ncfsln-	3fem
Ar̃ tù tuõ metù buvaĩ mokỹkloje?	Ar tu tuo metu buvai mokykloje?	Were you at school at that time?	mokykloje	5	mokykla	Ncfsln-	2femIA
Àš turė́čiau būtì mokỹkloje.	Aš turėčiau būti mokykloje.	I should be at school.	mokykloje	3	mokykla	Ncfsln-	2femIA
Màno knygà tùri būtì kažkur̃ kambaryjè.	Mano knyga turi būti kažkur kambaryje.	My book has to be somewhere in the room.	kambaryje	5	kambarys	Ncmsln-	1mascIS
Jõs výras ỹra kalė́jime.	Jos vyras yra kalėjime.	Her husband is in prison.	kalėjime	3	kalėjimas	Ncmsln-	1mascIAS
Palìk manè ramýbėje!	Palik mane ramybėje!	Leave me alone!	ramybėje	2	ramybė	Ncfsln-	2femĖ
Palìk màno šeĩmą ramýbėje.	Palik mano šeimą ramybėje.	Leave my family alone.	ramybėje	3	ramybė	Ncfsln-	2femĖ
Àš gyvenù miestè.	Aš gyvenu mieste.	I live in a city.	mieste	2	miestas	Ncmsln-	1mascIAS
Dvì šeĩmos gyvẽna tamè namè.	Dvi šeimos gyvena tame name.	Two families live in that house.	name	4	namas	Ncmsln-	1mascIAS
Jám patiñka gyvénti tojè viẽtoje.	Jam patinka gyventi toje vietoje.	He likes to live in that place.	vietoje	4	vieta	Ncfsln-	2femIA
Šiamè namè gyvẽna daũg žmonių̃.	Šiame name gyvena daug žmonių.	There are many people living in this house.	name	1	namas	Ncmsln-	1mascIAS
Šiuõ metù Tòmas nėrà kalė́jime.	Šiuo metu Tomas nėra kalėjime.	Tom isn't currently in prison.	kalėjime	4	kalėjimas	Ncmsln-	1mascIAS
Tòmas dabar̃ ỹra kalė́jime.	Tomas dabar yra kalėjime.	Tom is now in prison.	kalėjime	3	kalėjimas	Ncmsln-	1mascIAS
Tòmas miẽga sàvo kambaryjè.	Tomas miega savo kambaryje.	Tom is asleep in his room.	kambaryje	3	kambarys	Ncmsln-	1mascIS
