Ar̃ jì tùri pinigų̃?	Ar ji turi pinigų?	Does she have money?	pinigų	3	pinigas	Ncmpgn-
Jám reĩkia pinigų̃.	Jam reikia pinigų.	He needs money.	pinigų	2	pinigas	Ncmpgn-
Mán reĩkia pinigų̃.	Man reikia pinigų.	I need the money.	pinigų	2	pinigas	Ncmpgn-
Tàs žmogùs visái netùri pinigų̃.	Tas žmogus visai neturi pinigų.	That person doesn't have any money at all.	pinigų	4	pinigas	Ncmpgn-
Àš neturiù pinigų̃.	Aš neturiu pinigų.	I don't have any money.	pinigų	2	pinigas	Ncmpgn-
Àš visái neturiù pinigų̃.	Aš visai neturiu pinigų.	I don't have any money.	pinigų	3	pinigas	Ncmpgn-
Jìs tùri šíek tíek pinigų̃.	Jis turi šiek tiek pinigų.	He has a little money.	tiek	3	pinigas	Ncmpgn-
Vìsiškai neturiù pinigų̃.	Visiškai neturiu pinigų.	I don't have any money.	pinigų	2	pinigas	Ncmpgn-
Àš turiù pakañkamai pinigų̃.	Aš turiu pakankamai pinigų.	I have enough money.	pinigų	3	pinigas	Ncmpgn-
Àš nenorė́jau pinigų̃.	Aš nenorėjau pinigų.	I didn't want the money.	pinigų	2	pinigas	Ncmpgn-
Jì negãli suprastì kitų̃ žmonių̃.	Ji negali suprasti kitų žmonių.	She can't understand other people.	žmonių	4	žmogus	Ncmpgn-
Ar̃ kàs nórs žìno kíek dabar̃ valandų̃?	Ar kas nors žino kiek dabar valandų?	Does anybody know what hour it is?	dabar	5	valanda	Ncfpgn-
Ar̃ norė́tum turė́ti daũg pinigų̃?	Ar norėtum turėti daug pinigų?	Would you like to have lots of money?	pinigų	4	pinigas	Ncmpgn-
Àš tą̃ daraũ bè jokių̃ problèmų.	Aš tą darau be jokių problemų.	I do it without any problems.	problemų	5	problema	Ncfpgn-
Atsiprašaũ, kíek dabar̃ valandų̃?	Atsiprašau, kiek dabar valandų?	Excuse me, what time is it?	valandų	4	valanda	Ncfpgn-
Kíek kar̃tų àš turiù táu sakýti?	Kiek kartų aš turiu tau sakyti?	How many times do I have to tell you?	kartų	1	kartas	Ncmpgn-
Àš niekadà nemačiaũ namõ bè dùrų.	Aš niekada nemačiau namo be durų.	I've never seen a house without a door.	durų	5	durys	Ncfpgn-
Àš čià turiù daũg draugų̃.	Aš čia turiu daug draugų.	I have a lot of friends here.	draugų	4	draugas	Ncmpgn-
Àš turiù daũg draugų̃.	Aš turiu daug draugų.	I have many friends.	draugų	3	draugas	Ncmpgn-
