Àš kalbė́jau sù draugaĩs.	Aš kalbėjau su draugais.	I talked to friends.	draugais	3	draugas	Ncmpin-
Mẽs amžinaĩ bū́sime draugaĩs.	Mes amžinai būsime draugais.	We'll be friends forever.	draugais	3	draugas	Ncmpin-
Àš didžiúojuosi sàvo vaikaĩs.	Aš didžiuojuosi savo vaikais.	I'm proud of my children.	vaikais	3	vaikas	Ncmpin-
Àš negaliù patikė́ti sàvo akimìs.	Aš negaliu patikėti savo akimis.	I can't believe my eyes.	akimis	4	akis	Ncfpin-
Võs galė́jau patikė́ti sàvo akimìs.	Vos galėjau patikėti savo akimis.	I could hardly believe my eyes.	akimis	4	akis	Ncfpin-
Jiẽ nežìno ką̃ jiẽ turė́tų darýti sù taĩs pinigaĩs.	Jie nežino ką jie turėtų daryti su tais pinigais.	They don't know what they should do with the money.	pinigais	8	pinigas	Ncmpin-
Kur̃, põ velniaĩs, tù éini?	Kur, po velniais, tu eini?	Where the hell are you going?	velniais	3	velnias	Ncmpin-
Katė̃ žaĩdžia sù vaikaĩs.	Katė žaidžia su vaikais.	The cat is playing with the children.	vaikais	3	vaikas	Ncmpin-
Àš gyvenù kartù sù tėvaĩs.	Aš gyvenu kartu su tėvais.	I live with my parents.	tėvais	4	tėvai	Ncmpin-
Vìskas dãroma rañkomis.	Viskas daroma rankomis.	Everything is done by hand.	rankomis	2	ranka	Ncfpin-
Ar̃ padareĩ kažką̃ sù sàvo plaukaĩs?	Ar padarei kažką su savo plaukais?	Did you do something new with your hair?	plaukais	5	plaukas	Ncmpin-
Ar̃ bùvo taĩp pàt kaĩp praeitaĩs mẽtais?	Ar buvo taip pat kaip praeitais metais?	Was it like last year?	praeitais	5	metai	Ncmpin-
Àš nenóriu dirbtì šiomìs są́lygomis.	Aš nenoriu dirbti šiomis sąlygomis.	I don't want to work under these conditions.	sąlygomis	4	sąlyga	Ncfpin-
Šiomìs są́lygomis, mẽs negãlime dirbtì draugè.	Šiomis sąlygomis, mes negalime dirbti drauge.	Under these conditions we can not work together.	sąlygomis	1	sąlyga	Ncfpin-
Šiomìs są́lygomis, mẽs negãlime dirbtì kartù.	Šiomis sąlygomis, mes negalime dirbti kartu.	Under these conditions we can not work together.	sąlygomis	1	sąlyga	Ncfpin-
Àš ketinaũ kitaĩs mẽtais aplankýti Ròmą.	Aš ketinau kitais metais aplankyti Romą.	I intended to visit Rome last year.	metais	3	metai	Ncmpin-
Atsisvéikink sù sàvo draugaĩs.	Atsisveikink su savo draugais.	Say goodbye to your friends.	draugais	3	draugas	Ncmpin-
Jiẽ manè pàkvietė žaistì kõrtomis.	Jie mane pakvietė žaisti kortomis.	They invited me to play cards.	kortomis	4	korta	Ncfpin-
Jõs manè pàkvietė žaistì kõrtomis.	Jos mane pakvietė žaisti kortomis.	They invited me to play cards.	kortomis	4	korta	Ncfpin-
Ką̃ tù padareĩ sù màno akiniaĩs?	Ką tu padarei su mano akiniais?	What did you do with my glasses?	akiniais	5	akiniai	Ncmpin-
Šiamè pasáulyje ỹra dalỹkų kuriẽ tiesióg negãli būtì išreikštì žõdžiais.	Šiame pasaulyje yra dalykų kurie tiesiog negali būti išreikšti žodžiais.	There are things in this world which simply cannot be expressed in the form of words.	žodžiais	9	žodis	Ncmpin-
Tòmas negyvẽna sù sàvo tėvaĩs.	Tomas negyvena su savo tėvais.	Tom doesn't live with his parents.	tėvais	4	tėvai	Ncmpin-
Ar̃ tù tùri dirbtì sekmãdieniais?	Ar tu turi dirbti sekmadieniais?	Do you need to work on Sunday?	sekmadieniais	4	sekmadienis	Ncmpin-
Ar̃ tù žaidì šachmãtais?	Ar tu žaidi šachmatais?	Do you play chess?	šachmatais	3	šachmatai	Ncmpin-
Àš nedìrbu sekmãdieniais.	Aš nedirbu sekmadieniais.	I don't work on Sunday.	sekmadieniais	2	sekmadienis	Ncmpin-
Jéigu nórite, àš išmókysiu jùs žaistì šachmãtais.	Jeigu norite, aš išmokysiu jus žaisti šachmatais.	If you like, I will teach you to play chess.	šachmatais	7	šachmatai	Ncmpin-
Jì rytaĩs žaĩdžia tènisą.	Ji rytais žaidžia tenisą.	She plays tennis in the morning.	rytais	1	rytas	Ncmpin-
Jìs retaĩ liẽka namiẽ sekmãdieniais.	Jis retai lieka namie sekmadieniais.	He rarely stays home on Sunday.	sekmadieniais	4	sekmadienis	Ncmpin-
Jì treñkė dùrimis.	Ji trenkė durimis.	She slammed the door shut.	durimis	2	durys	Ncfpin-
Sekmãdieniais àš einù į̃ bažnýčią.	Sekmadieniais aš einu į bažnyčią.	I go to the church on Sundays.	Sekmadieniais	0	sekmadienis	Ncmpin-
Sekmãdieniais parduotùvė nedìrba.	Sekmadieniais parduotuvė nedirba.	The store is closed on Sundays.	Sekmadieniais	0	sekmadienis	Ncmpin-
Sekmãdieniais parduotùvė uždarýta.	Sekmadieniais parduotuvė uždaryta.	The store is closed on Sundays.	Sekmadieniais	0	sekmadienis	Ncmpin-
Tė̃ti, ar̃ tìki vaiduõkliais?	Tėti, ar tiki vaiduokliais?	Dad, do you believe in ghosts?	vaiduokliais	4	vaiduoklis	Ncmpin-
Tòmas žaĩdžia šachmãtais geriaũ ùž manè.	Tomas žaidžia šachmatais geriau už mane.	Tom is better at chess than I am.	šachmatais	2	šachmatai	Ncmpin-
Tòmas mán pasãkė, jóg nenóri grįžtì namõ tuščiomìs rañkomis.	Tomas man pasakė, jog nenori grįžti namo tuščiomis rankomis.	Tom told me that he didn't want to come home empty-handed.	rankomis	9	ranka	Ncfpin-
Tòmas susipažìno sù Mèrės draugaĩs.	Tomas susipažino su Merės draugais.	Tom got to know Mary's friends.	draugais	4	draugas	Ncmpin-
Ar̃ jū̃s žaĩdžiate šachmãtais?	Ar jūs žaidžiate šachmatais?	Do you play chess?	šachmatais	3	šachmatai	Ncmpin-
Tėtè, ar̃ tìki vaiduõkliais?	Tėte, ar tiki vaiduokliais?	Dad, do you believe in ghosts?	vaiduokliais	4	vaiduoklis	Ncmpin-
