ą	1457
iom	4
iol	1
ua	7
ui	88
yn	6
uon	1
ė	2288
ul	20
įei	6
ia	393
um	96
ę	333
un	65
uor	1
uo	505
ie	1255
ea	19
ur	107
ii	3
ee	1
iū	73
il	124
ei	684
im	79
in	438
io	394
el	60
ai	1812
em	4
en	254
ir	521
ių	240
al	411
am	214
iu	571
er	271
an	707
į	897
eu	16
ar	789
au	1377
ėl	75
ėm	5
ėn	1
ią	99
iui	11
aie	1
eie	1
iuo	84
uė	9
iun	6
aei	13
aim	7
ail	1
iur	2
aai	6
įė	7
eei	2
iim	6
iei	1
iil	2
iė	15
iem	18
iai	177
iel	2
oa	3
eė	1
ien	36
iam	13
aau	3
aė	14
oe	1
ian	38
ier	1
uei	11
iar	2
iau	407
ol	17
om	34
on	25
oo	3
a	10515
or	63
e	3943
ou	2
i	6873
eį	9
ū	457
o	6045
ų	589
u	3271
y	2104
