Taĩ ỹra tiesà.	Tai yra tiesa.	That's true.
Kuõ daugiaũ žmónės tùri, tuõ daugiaũ jiẽ nóri.	Kuo daugiau žmonės turi, tuo daugiau jie nori.	The more people have, the more they want.
Taĩ ỹra tiesà.	Tai yra tiesa.	That's true.
Kuõ daugiaũ žmónės tùri, tuõ daugiaũ jiẽ nóri.	Kuo daugiau žmonės turi, tuo daugiau jie nori.	The more people have, the more they want.
Nè, taĩ negãli būtì tiesà.	Ne, tai negali būti tiesa.	No, it cannot be true.
Taĩ negãli būtì tiesà.	Tai negali būti tiesa.	That can't be true.
Atsiprašaũ, kíek dabar̃ laĩko?	Atsiprašau, kiek dabar laiko?	Excuse me, what time is it?
Mẽs dár tùrime daũg laĩko.	Mes dar turime daug laiko.	We still have plenty of time.
Mẽs tùrime laĩko.	Mes turime laiko.	We've got time.
Àš nežinaũ kóks jìs per̃ žmogùs.	Aš nežinau koks jis per žmogus.	I don't know what kind of person he is.
Jìs ỹra labaĩ sveikàs žmogùs.	Jis yra labai sveikas žmogus.	He's a very healthy person.
Ar̃ jì tùri pinigų̃?	Ar ji turi pinigų?	Does she have money?
Jám reĩkia pinigų̃.	Jam reikia pinigų.	He needs money.
Maniaũ kàd taĩ bùvo tiesà.	Maniau kad tai buvo tiesa.	I thought it was true.
Mán reĩkia pinigų̃.	Man reikia pinigų.	I need the money.
Taĩ, ką̃ jiẽ sãko, ỹra tiesà.	Tai, ką jie sako, yra tiesa.	What they say is true.
Àš esù tàvo tė́vas.	Aš esu tavo tėvas.	I'm your father.
Àš esù výras.	Aš esu vyras.	I'm a man.
Àš suprataũ ką̃ jì sãkė.	Aš supratau ką ji sakė.	I got what she was saying.
Àš suprataũ ką̃ jìs sãkė.	Aš supratau ką jis sakė.	I understood what she said.
Jìs tìk ỹra výras.	Jis tik yra vyras.	He is only a man.
Jìs ỹra màno tė́vas.	Jis yra mano tėvas.	He is my father.
Taĩ nebùvo tiesà.	Tai nebuvo tiesa.	That wasn't the truth.
Jìs netùri dárbo.	Jis neturi darbo.	He doesn't have a job.
Tàs žmogùs visái netùri pinigų̃.	Tas žmogus visai neturi pinigų.	That person doesn't have any money at all.
Dúok mán sàvo pìnigus.	Duok man savo pinigus.	Give me your money.
Kur̃ ỹra màno tė̃tis?	Kur yra mano tėtis?	Where's my father?
Vìskas ką̃ jìs pasãkė bùvo tiesà.	Viskas ką jis pasakė buvo tiesa.	All he said was true.
Ar̃ àš esù jū́sų draũgas?	Ar aš esu jūsų draugas?	Am I your friend?
Ar̃ àš esù tàvo draũgas?	Ar aš esu tavo draugas?	Am I your friend?
Ar̃ tù esì màno draũgas?	Ar tu esi mano draugas?	Are you my friend?
Àš dabar̃ neturiù laĩko.	Aš dabar neturiu laiko.	I don't have time right now.
Àš nesù geràs žmogùs.	Aš nesu geras žmogus.	I'm not a good person.
Àš neturiù pinigų̃.	Aš neturiu pinigų.	I don't have any money.
Àš tiesióg neturiù daũg laĩko.	Aš tiesiog neturiu daug laiko.	I just don't have much time.
